trueR , trueI
0.013337 , -0.005524
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
46137344 , 369098752 , 0.234476 , -0.104006, 0.048903, 0.009699
46661632 , 373293056 , 0.222119 , -0.106190, 0.043590, 0.010134
47185920 , 377487360 , 0.209918 , -0.095987, 0.038644, 0.008184
47710208 , 381681664 , 0.198498 , -0.086278, 0.034285, 0.006521
48234496 , 385875968 , 0.203730 , -0.095099, 0.036250, 0.008024
48758784 , 390070272 , 0.210454 , -0.093446, 0.038855, 0.007730
49283072 , 394264576 , 0.187998 , -0.103765, 0.030507, 0.009651
49807360 , 398458880 , 0.207146 , -0.112716, 0.037562, 0.011490
50331648 , 402653184 , 0.219808 , -0.090119, 0.042630, 0.007156
50855936 , 406847488 , 0.214150 , -0.112005, 0.040326, 0.011338
51380224 , 411041792 , 0.192528 , -0.120060, 0.032110, 0.013119
51904512 , 415236096 , 0.197526 , -0.155352, 0.033926, 0.022448
52428800 , 419430400 , 0.188501 , -0.161263, 0.030682, 0.024255
52953088 , 423624704 , 0.163104 , -0.155413, 0.022430, 0.022467
53477376 , 427819008 , 0.161853 , -0.158015, 0.022057, 0.023253
54001664 , 432013312 , 0.143688 , -0.177485, 0.016992, 0.029570
54525952 , 436207616 , 0.157758 , -0.203230, 0.020857, 0.039088
55050240 , 440401920 , 0.159122 , -0.234271, 0.021253, 0.052325
55574528 , 444596224 , 0.175124 , -0.242821, 0.026175, 0.056310
56098816 , 448790528 , 0.182781 , -0.236009, 0.028711, 0.053123
56623104 , 452984832 , 0.176699 , -0.236728, 0.026687, 0.053455
57147392 , 457179136 , 0.173241 , -0.240765, 0.025569, 0.055338
57671680 , 461373440 , 0.162027 , -0.219604, 0.022109, 0.045830
58195968 , 465567744 , 0.168864 , -0.232687, 0.024189, 0.051603
58720256 , 469762048 , 0.181277 , -0.210632, 0.028204, 0.042069
59244544 , 473956352 , 0.179499 , -0.216452, 0.027610, 0.044491
59768832 , 478150656 , 0.184822 , -0.201320, 0.029407, 0.038336
60293120 , 482344960 , 0.184816 , -0.180343, 0.029405, 0.030562
60817408 , 486539264 , 0.182097 , -0.176364, 0.028480, 0.029186
61341696 , 490733568 , 0.195165 , -0.170894, 0.033061, 0.027347
61865984 , 494927872 , 0.204697 , -0.157863, 0.036619, 0.023207
62390272 , 499122176 , 0.204584 , -0.150103, 0.036575, 0.020903
62914560 , 503316480 , 0.202494 , -0.144669, 0.035780, 0.019361
63438848 , 507510784 , 0.208579 , -0.143871, 0.038120, 0.019140
63963136 , 511705088 , 0.207038 , -0.150260, 0.037520, 0.020948
64487424 , 515899392 , 0.201286 , -0.160522, 0.035325, 0.024024
65011712 , 520093696 , 0.212760 , -0.188993, 0.039770, 0.033661
65536000 , 524288000 , 0.217815 , -0.182936, 0.041812, 0.031475
66060288 , 528482304 , 0.217829 , -0.172681, 0.041817, 0.027941
66584576 , 532676608 , 0.228325 , -0.184425, 0.046220, 0.032005
67108864 , 536870912 , 0.222955 , -0.191000, 0.043940, 0.034401
