trueR , trueI
1.000000 , 0.000000
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
65536 , 65536 , 0.921875 , -0.000000, 0.006104, 0.000000
131072 , 131072 , 1.023437 , -0.000000, 0.000549, 0.000000
196608 , 196608 , 1.000000 , -0.000000, 0.000000, 0.000000
262144 , 262144 , 1.027344 , -0.000000, 0.000748, 0.000000
327680 , 327680 , 1.034375 , -0.000000, 0.001182, 0.000000
393216 , 393216 , 0.940104 , -0.000000, 0.003588, 0.000000
458752 , 458752 , 0.948661 , -0.000000, 0.002636, 0.000000
524288 , 524288 , 1.015625 , -0.000000, 0.000244, 0.000000
589824 , 589824 , 0.972222 , -0.000000, 0.000772, 0.000000
655360 , 655360 , 0.975000 , -0.000000, 0.000625, 0.000000
720896 , 720896 , 0.990057 , -0.000000, 0.000099, 0.000000
786432 , 786432 , 0.989583 , -0.000000, 0.000109, 0.000000
851968 , 851968 , 0.979567 , -0.000000, 0.000417, 0.000000
917504 , 917504 , 0.987723 , -0.000000, 0.000151, 0.000000
983040 , 983040 , 1.014583 , -0.000000, 0.000213, 0.000000
1048576 , 1048576 , 1.024414 , -0.000000, 0.000596, 0.000000
1114112 , 1114112 , 1.032169 , -0.000000, 0.001035, 0.000000
1179648 , 1179648 , 1.032118 , -0.000000, 0.001032, 0.000000
1245184 , 1245184 , 1.022204 , -0.000000, 0.000493, 0.000000
1310720 , 1310720 , 1.023437 , -0.000000, 0.000549, 0.000000
1376256 , 1376256 , 1.009673 , -0.000000, 0.000094, 0.000000
1441792 , 1441792 , 1.012074 , -0.000000, 0.000146, 0.000000
1507328 , 1507328 , 1.000679 , -0.000000, 0.000000, 0.000000
1572864 , 1572864 , 0.996745 , -0.000000, 0.000011, 0.000000
1638400 , 1638400 , 1.000000 , -0.000000, 0.000000, 0.000000
1703936 , 1703936 , 1.012019 , -0.000000, 0.000144, 0.000000
1769472 , 1769472 , 1.014467 , -0.000000, 0.000209, 0.000000
1835008 , 1835008 , 0.986049 , -0.000000, 0.000195, 0.000000
1900544 , 1900544 , 1.001078 , -0.000000, 0.000001, 0.000000
1966080 , 1966080 , 1.001562 , -0.000000, 0.000002, 0.000000
2031616 , 2031616 , 1.005040 , -0.000000, 0.000025, 0.000000
2097152 , 2097152 , 1.008789 , -0.000000, 0.000077, 0.000000
2162688 , 2162688 , 0.996686 , -0.000000, 0.000011, 0.000000
2228224 , 2228224 , 1.005515 , -0.000000, 0.000030, 0.000000
2293760 , 2293760 , 1.003571 , -0.000000, 0.000013, 0.000000
2359296 , 2359296 , 1.010417 , -0.000000, 0.000109, 0.000000
2424832 , 2424832 , 1.003801 , -0.000000, 0.000014, 0.000000
2490368 , 2490368 , 0.993832 , -0.000000, 0.000038, 0.000000
2555904 , 2555904 , 1.000401 , -0.000000, 0.000000, 0.000000
2621440 , 2621440 , 0.996094 , -0.000000, 0.000015, 0.000000
2686976 , 2686976 , 0.998475 , -0.000000, 0.000002, 0.000000
2752512 , 2752512 , 0.998512 , -0.000000, 0.000002, 0.000000
2818048 , 2818048 , 0.994549 , -0.000000, 0.000030, 0.000000
2883584 , 2883584 , 0.999645 , -0.000000, 0.000000, 0.000000
2949120 , 2949120 , 0.991667 , -0.000000, 0.000069, 0.000000
3014656 , 3014656 , 0.984375 , -0.000000, 0.000244, 0.000000
3080192 , 3080192 , 0.978391 , -0.000000, 0.000467, 0.000000
3145728 , 3145728 , 0.983724 , -0.000000, 0.000265, 0.000000
3211264 , 3211264 , 0.983418 , -0.000000, 0.000275, 0.000000
3276800 , 3276800 , 0.989687 , -0.000000, 0.000106, 0.000000
3342336 , 3342336 , 0.994485 , -0.000000, 0.000030, 0.000000
3407872 , 3407872 , 0.994892 , -0.000000, 0.000026, 0.000000
3473408 , 3473408 , 1.002064 , -0.000000, 0.000004, 0.000000
3538944 , 3538944 , 1.002893 , -0.000000, 0.000008, 0.000000
3604480 , 3604480 , 1.004545 , -0.000000, 0.000021, 0.000000
3670016 , 3670016 , 1.005022 , -0.000000, 0.000025, 0.000000
3735552 , 3735552 , 1.003838 , -0.000000, 0.000015, 0.000000
3801088 , 3801088 , 1.004849 , -0.000000, 0.000024, 0.000000
3866624 , 3866624 , 1.003972 , -0.000000, 0.000016, 0.000000
3932160 , 3932160 , 1.004948 , -0.000000, 0.000024, 0.000000
3997696 , 3997696 , 1.002818 , -0.000000, 0.000008, 0.000000
4063232 , 4063232 , 1.005544 , -0.000000, 0.000031, 0.000000
4128768 , 4128768 , 1.002480 , -0.000000, 0.000006, 0.000000
4194304 , 4194304 , 0.997559 , -0.000000, 0.000006, 0.000000
4259840 , 4259840 , 0.997356 , -0.000000, 0.000007, 0.000000
4325376 , 4325376 , 1.001657 , -0.000000, 0.000003, 0.000000
4390912 , 4390912 , 1.000000 , -0.000000, 0.000000, 0.000000
4456448 , 4456448 , 1.001379 , -0.000000, 0.000002, 0.000000
4521984 , 4521984 , 1.009511 , -0.000000, 0.000090, 0.000000
4587520 , 4587520 , 1.008482 , -0.000000, 0.000072, 0.000000
4653056 , 4653056 , 1.006602 , -0.000000, 0.000044, 0.000000
4718592 , 4718592 , 1.011936 , -0.000000, 0.000142, 0.000000
4784128 , 4784128 , 1.009846 , -0.000000, 0.000097, 0.000000
4849664 , 4849664 , 1.006968 , -0.000000, 0.000049, 0.000000
4915200 , 4915200 , 1.003750 , -0.000000, 0.000014, 0.000000
4980736 , 4980736 , 1.000206 , -0.000000, 0.000000, 0.000000
5046272 , 5046272 , 0.996347 , -0.000000, 0.000013, 0.000000
5111808 , 5111808 , 0.993990 , -0.000000, 0.000036, 0.000000
5177344 , 5177344 , 0.993275 , -0.000000, 0.000045, 0.000000
5242880 , 5242880 , 0.996875 , -0.000000, 0.000010, 0.000000
5308416 , 5308416 , 0.997106 , -0.000000, 0.000008, 0.000000
5373952 , 5373952 , 0.997523 , -0.000000, 0.000006, 0.000000
5439488 , 5439488 , 0.991340 , -0.000000, 0.000075, 0.000000
5505024 , 5505024 , 0.994606 , -0.000000, 0.000029, 0.000000
5570560 , 5570560 , 0.999081 , -0.000000, 0.000001, 0.000000
5636096 , 5636096 , 0.998910 , -0.000000, 0.000001, 0.000000
5701632 , 5701632 , 1.006645 , -0.000000, 0.000044, 0.000000
5767168 , 5767168 , 1.011719 , -0.000000, 0.000137, 0.000000
5832704 , 5832704 , 1.008427 , -0.000000, 0.000071, 0.000000
5898240 , 5898240 , 1.002083 , -0.000000, 0.000004, 0.000000
5963776 , 5963776 , 0.998970 , -0.000000, 0.000001, 0.000000
6029312 , 6029312 , 0.995924 , -0.000000, 0.000017, 0.000000
6094848 , 6094848 , 0.997144 , -0.000000, 0.000008, 0.000000
