trueR , trueI
-0.001282 , -0.000086
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
120236686 , 53564977 , 120236686 , 14744 ,-0.000806,0.001273,2.2657599999999998e-07,1.846881e-06,2.073457e-06,0.0014399503463661516
123032888 , 53585647 , 123032888 , 15109 ,-0.001536,0.002222,6.451600000000005e-08,5.3268640000000005e-06,5.391380000000001e-06,0.002321934538267606
125829090 , 53751118 , 125829090 , 15476 ,-0.002228,0.002595,8.94916e-07,7.187761000000001e-06,8.082677e-06,0.0028430049243713946
128625292 , 54216370 , 128625292 , 15792 ,-0.001221,0.001711,3.7209999999999825e-09,3.229209e-06,3.23293e-06,0.001798035038590739
131421494 , 54959847 , 131421494 , 16124 ,-0.000443,0.00172,7.039209999999999e-07,3.2616359999999995e-06,3.965557e-06,0.001991370633508489
134217696 , 55165610 , 134217696 , 16453 ,0.000414,0.000897,2.876416e-06,9.662889999999999e-07,3.842705e-06,0.0019602818674874286
137013898 , 79946511 , 137013898 , 16762 ,0.000395,0.000666,2.8123289999999995e-06,5.655040000000001e-07,3.3778329999999995e-06,0.0018378881902879726
139810100 , 79955951 , 139810100 , 17093 ,-0.000502,0.000214,6.084e-07,9.000000000000001e-08,6.984e-07,0.0008357032966310471
142606302 , 80030757 , 142606302 , 17423 ,-0.001045,-0.000296,5.6169000000000005e-08,4.409999999999999e-08,1.00269e-07,0.0003166528067142308
145402504 , 80039433 , 145402504 , 17730 ,-0.002769,-0.000764,2.2111690000000007e-06,4.59684e-07,2.6708530000000007e-06,0.0016342744567544342
148198706 , 80039479 , 148198706 , 18056 ,-0.002057,-0.001135,6.006249999999998e-07,1.1004010000000001e-06,1.7010259999999998e-06,0.0013042338747325955
150994908 , 80046512 , 150994908 , 18362 ,-0.002707,-0.000993,2.0306250000000006e-06,8.226489999999998e-07,2.8532740000000004e-06,0.0016891636984022597
153791110 , 80072635 , 153791110 , 18711 ,-0.002829,-0.000937,2.393209e-06,7.242009999999999e-07,3.11741e-06,0.0017656188716707805
156587312 , 80117654 , 156587312 , 19057 ,-0.002474,-0.001098,1.4208640000000003e-06,1.0241440000000002e-06,2.4450080000000005e-06,0.001563652135227014
159383514 , 80133329 , 159383514 , 19414 ,-0.001939,-0.001478,4.3164900000000006e-07,1.937664e-06,2.369313e-06,0.0015392572884349127
162179716 , 80156152 , 162179716 , 19737 ,-0.001976,-0.000594,4.816359999999999e-07,2.58064e-07,7.396999999999999e-07,0.0008600581375697807
164975918 , 80160379 , 164975918 , 20079 ,-0.001953,-1e-06,4.502410000000002e-07,7.225000000000001e-09,4.5746600000000024e-07,0.0006763623289332429
167772120 , 80203578 , 167772120 , 20451 ,-0.001743,-0.000963,2.1252100000000003e-07,7.691289999999999e-07,9.8165e-07,0.000990782519022212
170568322 , 80241384 , 170568322 , 20796 ,-0.002066,-0.001444,6.146560000000003e-07,1.8441640000000001e-06,2.4588200000000006e-06,0.0015680624987544345
173364524 , 80255410 , 173364524 , 21144 ,-0.002061,-0.001837,6.068409999999999e-07,3.0660010000000006e-06,3.6728420000000005e-06,0.0019164660184829785
176160726 , 80309630 , 176160726 , 21490 ,-0.001669,-0.000739,1.4976899999999997e-07,4.2640899999999994e-07,5.761779999999999e-07,0.0007590638971786235
178956928 , 80337468 , 178956928 , 21860 ,-0.002048,-0.001061,5.86756e-07,9.506250000000001e-07,1.537381e-06,0.0012399116904037964
181753130 , 80344576 , 181753130 , 22199 ,-0.001869,-0.001043,3.445690000000001e-07,9.158490000000001e-07,1.2604180000000001e-06,0.0011226833925911616
184549332 , 80505033 , 184549332 , 22574 ,-0.000302,-0.000865,9.604e-07,6.068409999999999e-07,1.5672409999999999e-06,0.0012518949636451135
187345534 , 80511047 , 187345534 , 22915 ,0.000418,-0.000764,2.89e-06,4.59684e-07,3.349684e-06,0.0018302141951148777
