trueR , trueI
-0.001282 , -0.000086
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
469646 , 1059424 , 25830530 , 470643 ,-0.000768,-0.001106,2.6419599999999994e-07,1.0404000000000002e-06,1.304596e-06,0.0011421891261958327
480568 , 1059769 , 26431240 , 481577 ,-0.0011,-0.000813,3.312399999999995e-08,5.28529e-07,5.616529999999999e-07,0.0007494351206075145
491490 , 1060604 , 27031950 , 492514 ,-0.000989,-0.000809,8.584899999999991e-08,5.22729e-07,6.08578e-07,0.0007801140942195571
502412 , 1068520 , 27632660 , 503442 ,-0.000715,-0.000827,3.2148899999999987e-07,5.490810000000001e-07,8.7057e-07,0.0009330434073503761
513334 , 1072125 , 28233370 , 514375 ,-0.000744,-0.001008,2.89444e-07,8.500839999999999e-07,1.1395279999999998e-06,0.0010674867680678763
524256 , 1075673 , 28834080 , 525351 ,-0.000799,-0.00089,2.332889999999999e-07,6.464159999999999e-07,8.797049999999997e-07,0.000937925903256755
535178 , 1321619 , 29434790 , 536282 ,-0.000742,-0.000698,2.915999999999999e-07,3.74544e-07,6.661439999999999e-07,0.0008161764515103336
546100 , 1323129 , 30035500 , 547246 ,-0.000929,-0.000586,1.2460899999999992e-07,2.5e-07,3.746089999999999e-07,0.0006120531022713634
557022 , 1323853 , 30636210 , 558302 ,-0.000834,-0.000534,2.0070399999999994e-07,2.0070399999999994e-07,4.014079999999999e-07,0.0006335676759431465
567944 , 1323965 , 31236920 , 569229 ,-0.000949,-0.000299,1.1088899999999998e-07,4.5369e-08,1.56258e-07,0.00039529482668003636
578866 , 1324036 , 31837630 , 580209 ,-0.000798,-0.000134,2.3425599999999995e-07,2.3040000000000003e-09,2.3655999999999994e-07,0.00048637434142849266
589788 , 1324174 , 32438340 , 591188 ,-0.00082,-0.000104,2.1344399999999996e-07,3.2399999999999966e-10,2.1376799999999996e-07,0.0004623505163834036
600710 , 1324213 , 33039050 , 602202 ,-0.000912,6.8e-05,1.368999999999999e-07,2.3716000000000002e-08,1.606159999999999e-07,0.0004007692602982418
611632 , 1324297 , 33639760 , 613169 ,-0.000867,6e-06,1.7222499999999992e-07,8.464e-09,1.806889999999999e-07,0.00042507528744917635
622554 , 1325226 , 34240470 , 624099 ,-0.000975,-4.2e-05,9.424899999999999e-08,1.9360000000000003e-09,9.618499999999998e-08,0.0003101370664722293
633476 , 1333874 , 34841180 , 635042 ,-0.001046,-0.000125,5.5695999999999945e-08,1.521e-09,5.721699999999994e-08,0.0002392007525071774
644398 , 1336815 , 35441890 , 646057 ,-0.001086,-0.000142,3.8416e-08,3.1360000000000008e-09,4.1552e-08,0.0002038430768998545
655320 , 1339815 , 36042600 , 656986 ,-0.000968,-0.000198,9.859599999999997e-08,1.2543999999999996e-08,1.1113999999999996e-07,0.00033337666385036604
666242 , 1585699 , 36643310 , 667913 ,-0.001144,-0.000223,1.904399999999997e-08,1.8768999999999998e-08,3.781299999999997e-08,0.00019445565047074352
677164 , 1588113 , 37244020 , 678889 ,-0.001105,-0.000223,3.132899999999995e-08,1.8768999999999998e-08,5.009799999999995e-08,0.0002238258251408893
688086 , 1588396 , 37844730 , 689812 ,-0.000958,-0.000206,1.0497599999999997e-07,1.4399999999999998e-08,1.1937599999999997e-07,0.0003455083211733112
699008 , 1588592 , 38445440 , 700749 ,-0.001057,-0.000436,5.062499999999997e-08,1.2250000000000004e-07,1.73125e-07,0.000416082924427331
709930 , 1588662 , 39046150 , 711680 ,-0.001101,-0.000378,3.2760999999999985e-08,8.526400000000003e-08,1.1802500000000001e-07,0.0003435476677260377
720852 , 1588687 , 39646860 , 722621 ,-0.001053,-0.000262,5.244100000000002e-08,3.0976000000000006e-08,8.341700000000002e-08,0.00028882001315698333
731774 , 1588795 , 40247570 , 733555 ,-0.000986,-0.000502,8.761600000000002e-08,1.7305599999999993e-07,2.6067199999999997e-07,0.0005105604763394832
742696 , 1588808 , 40848280 , 744480 ,-0.000917,-0.000393,1.3322499999999998e-07,9.424899999999999e-08,2.2747399999999996e-07,0.0004769423445239476
753618 , 1589958 , 41448990 , 755414 ,-0.00098,-0.000434,9.120399999999997e-08,1.21104e-07,2.1230799999999997e-07,0.0004607689225631433
764540 , 1599409 , 42049700 , 766345 ,-0.000853,-0.000532,1.8404099999999992e-07,1.98916e-07,3.8295699999999995e-07,0.0006188351961548405
775462 , 1601695 , 42650410 , 777271 ,-0.000799,-0.00048,2.332889999999999e-07,1.5523600000000003e-07,3.885249999999999e-07,0.0006233177359902412
786384 , 1604198 , 43251120 , 788197 ,-0.000694,-0.000487,3.45744e-07,1.6080099999999999e-07,5.065449999999999e-07,0.0007117197482155458
797306 , 1849288 , 43851830 , 799213 ,-0.00068,-0.000566,3.6240399999999986e-07,2.3039999999999997e-07,5.928039999999999e-07,0.0007699376598140917
808228 , 1852388 , 44452540 , 810140 ,-0.000815,-0.000509,2.1808899999999996e-07,1.7892899999999997e-07,3.9701799999999994e-07,0.0006300936438339939
819150 , 1853075 , 45053250 , 821108 ,-0.000874,-0.000507,1.6646399999999995e-07,1.7724099999999994e-07,3.437049999999999e-07,0.0005862635925929563
830072 , 1853125 , 45653960 , 832040 ,-0.000762,-0.000699,2.7039999999999993e-07,3.757689999999999e-07,6.461689999999998e-07,0.0008038463783584522
840994 , 1853186 , 46254670 , 842973 ,-0.000715,-0.000878,3.2148899999999987e-07,6.27264e-07,9.487529999999999e-07,0.0009740395269186975
