trueR , trueI
0.500000 , -0.000000
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 4096 , 0.401009 , -0.013296, 0.009799, 0.000177
2048 , 8192 , 0.397568 , -0.004665, 0.010492, 0.000022
3072 , 12288 , 0.390321 , -0.023833, 0.012029, 0.000568
4096 , 16384 , 0.396993 , -0.013593, 0.010610, 0.000185
5120 , 20480 , 0.393382 , -0.016866, 0.011367, 0.000284
6144 , 24576 , 0.391383 , -0.008624, 0.011798, 0.000074
7168 , 28672 , 0.386875 , -0.013037, 0.012797, 0.000170
8192 , 32768 , 0.382281 , -0.011764, 0.013858, 0.000138
9216 , 36864 , 0.379387 , -0.010742, 0.014547, 0.000115
10240 , 40960 , 0.381399 , -0.010059, 0.014066, 0.000101
11264 , 45056 , 0.383144 , -0.007046, 0.013655, 0.000050
12288 , 49152 , 0.382078 , -0.004080, 0.013906, 0.000017
13312 , 53248 , 0.384367 , -0.005112, 0.013371, 0.000026
14336 , 57344 , 0.383915 , -0.001810, 0.013476, 0.000003
15360 , 61440 , 0.382546 , -0.001334, 0.013795, 0.000002
16384 , 65536 , 0.381539 , 0.000748, 0.014033, 0.000001
17408 , 69632 , 0.380449 , 0.001632, 0.014292, 0.000003
18432 , 73728 , 0.381195 , 0.000760, 0.014115, 0.000001
19456 , 77824 , 0.379027 , 0.002506, 0.014635, 0.000006
20480 , 81920 , 0.379854 , 0.001926, 0.014435, 0.000004
21504 , 86016 , 0.380705 , 0.000635, 0.014231, 0.000000
22528 , 90112 , 0.381203 , -0.000852, 0.014113, 0.000001
23552 , 94208 , 0.380947 , -0.000595, 0.014174, 0.000000
24576 , 98304 , 0.379818 , -0.000764, 0.014444, 0.000001
25600 , 102400 , 0.378852 , -0.001629, 0.014677, 0.000003
26624 , 106496 , 0.380052 , -0.002368, 0.014388, 0.000006
27648 , 110592 , 0.378461 , -0.003516, 0.014772, 0.000012
28672 , 114688 , 0.376862 , -0.004285, 0.015163, 0.000018
29696 , 118784 , 0.377061 , -0.003998, 0.015114, 0.000016
30720 , 122880 , 0.377761 , -0.004123, 0.014942, 0.000017
31744 , 126976 , 0.377453 , -0.003860, 0.015018, 0.000015
32768 , 131072 , 0.376080 , -0.004153, 0.015356, 0.000017
33792 , 135168 , 0.376087 , -0.003566, 0.015355, 0.000013
34816 , 139264 , 0.376750 , -0.001565, 0.015190, 0.000002
35840 , 143360 , 0.376159 , -0.002240, 0.015336, 0.000005
36864 , 147456 , 0.376404 , -0.001832, 0.015276, 0.000003
37888 , 151552 , 0.375374 , -0.001516, 0.015532, 0.000002
38912 , 155648 , 0.375371 , -0.000336, 0.015532, 0.000000
39936 , 159744 , 0.374284 , 0.000260, 0.015805, 0.000000
40960 , 163840 , 0.375026 , 0.000359, 0.015619, 0.000000
41984 , 167936 , 0.374483 , 0.000859, 0.015755, 0.000001
43008 , 172032 , 0.374519 , 0.001259, 0.015746, 0.000002
44032 , 176128 , 0.374867 , 0.001051, 0.015658, 0.000001
45056 , 180224 , 0.375216 , -0.000112, 0.015571, 0.000000
46080 , 184320 , 0.374412 , -0.000184, 0.015772, 0.000000
47104 , 188416 , 0.373714 , 0.000025, 0.015948, 0.000000
48128 , 192512 , 0.374421 , 0.000020, 0.015770, 0.000000
49152 , 196608 , 0.373477 , -0.000771, 0.016008, 0.000001
50176 , 200704 , 0.373267 , -0.000324, 0.016061, 0.000000
51200 , 204800 , 0.373844 , 0.000512, 0.015915, 0.000000
52224 , 208896 , 0.373930 , 0.000875, 0.015894, 0.000001
53248 , 212992 , 0.373516 , 0.001119, 0.015998, 0.000001
54272 , 217088 , 0.373814 , 0.000911, 0.015923, 0.000001
55296 , 221184 , 0.373348 , 0.001065, 0.016041, 0.000001
56320 , 225280 , 0.373682 , 0.001017, 0.015956, 0.000001
57344 , 229376 , 0.372708 , 0.001399, 0.016203, 0.000002
58368 , 233472 , 0.372378 , 0.001886, 0.016287, 0.000004
59392 , 237568 , 0.372320 , 0.001830, 0.016302, 0.000003
60416 , 241664 , 0.372761 , 0.001279, 0.016190, 0.000002
61440 , 245760 , 0.372795 , 0.000149, 0.016181, 0.000000
62464 , 249856 , 0.373129 , 0.000689, 0.016096, 0.000000
63488 , 253952 , 0.372549 , 0.000513, 0.016244, 0.000000
64512 , 258048 , 0.372039 , 0.001320, 0.016374, 0.000002
65536 , 262144 , 0.372771 , 0.001488, 0.016187, 0.000002
