trueR , trueI
0.003646 , 0.000606
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
32768 , 720896 , 0.004966 , -0.001160, 0.000002, 0.000003
65536 , 1441792 , 0.005033 , -0.001870, 0.000002, 0.000006
98304 , 2162688 , 0.004625 , -0.001652, 0.000001, 0.000005
131072 , 2883584 , 0.005547 , -0.001774, 0.000004, 0.000006
163840 , 3604480 , 0.006299 , -0.001761, 0.000007, 0.000006
196608 , 4325376 , 0.005689 , -0.001198, 0.000004, 0.000003
229376 , 5046272 , 0.005139 , 0.000003, 0.000002, 0.000000
262144 , 5767168 , 0.005201 , -0.000125, 0.000002, 0.000001
294912 , 6488064 , 0.002725 , 0.000912, 0.000001, 0.000000
327680 , 7208960 , 0.003935 , 0.002029, 0.000000, 0.000002
360448 , 7929856 , 0.004011 , 0.002145, 0.000000, 0.000002
393216 , 8650752 , 0.003216 , 0.002643, 0.000000, 0.000004
425984 , 9371648 , -0.002325 , -0.005868, 0.000036, 0.000042
458752 , 10092544 , -0.001660 , -0.005590, 0.000028, 0.000038
491520 , 10813440 , -0.001025 , -0.005414, 0.000022, 0.000036
524288 , 11534336 , -0.000279 , -0.004921, 0.000015, 0.000031
557056 , 12255232 , -0.000063 , -0.004719, 0.000014, 0.000028
589824 , 12976128 , 0.000223 , -0.004555, 0.000012, 0.000027
622592 , 13697024 , 0.000200 , -0.004112, 0.000012, 0.000022
655360 , 14417920 , 0.000344 , -0.003942, 0.000011, 0.000021
688128 , 15138816 , 0.000172 , -0.003499, 0.000012, 0.000017
720896 , 15859712 , 0.000053 , -0.003123, 0.000013, 0.000014
753664 , 16580608 , 0.000142 , -0.002916, 0.000012, 0.000012
786432 , 17301504 , 0.000372 , -0.002855, 0.000011, 0.000012
819200 , 18022400 , 0.000340 , -0.002708, 0.000011, 0.000011
851968 , 18743296 , 0.000449 , -0.002631, 0.000010, 0.000010
884736 , 19464192 , 0.000616 , -0.002564, 0.000009, 0.000010
917504 , 20185088 , 0.000783 , -0.002479, 0.000008, 0.000010
950272 , 20905984 , 0.000683 , -0.002238, 0.000009, 0.000008
983040 , 21626880 , 0.000554 , -0.001927, 0.000010, 0.000006
1015808 , 22347776 , -0.000036 , -0.002262, 0.000014, 0.000008
1048576 , 23068672 , 0.000031 , -0.002085, 0.000013, 0.000007
1081344 , 23789568 , -0.000834 , -0.002459, 0.000020, 0.000009
1114112 , 24510464 , -0.000674 , -0.002385, 0.000019, 0.000009
1146880 , 25231360 , -0.000589 , -0.002246, 0.000018, 0.000008
1179648 , 25952256 , -0.000480 , -0.002159, 0.000017, 0.000008
1212416 , 26673152 , -0.000165 , -0.002156, 0.000015, 0.000008
1245184 , 27394048 , 0.000039 , -0.002125, 0.000013, 0.000007
1277952 , 28114944 , 0.000120 , -0.001962, 0.000012, 0.000007
1310720 , 28835840 , 0.000205 , -0.001860, 0.000012, 0.000006
1343488 , 29556736 , 0.000216 , -0.001758, 0.000012, 0.000006
1376256 , 30277632 , 0.000276 , -0.001730, 0.000011, 0.000005
1409024 , 30998528 , 0.000497 , -0.001764, 0.000010, 0.000006
1441792 , 31719424 , 0.000652 , -0.001756, 0.000009, 0.000006
1474560 , 32440320 , 0.000770 , -0.002247, 0.000008, 0.000008
1507328 , 33161216 , 0.000802 , -0.002165, 0.000008, 0.000008
1540096 , 33882112 , 0.000961 , -0.002245, 0.000007, 0.000008
1572864 , 34603008 , 0.001079 , -0.002213, 0.000007, 0.000008
1605632 , 35323904 , 0.001189 , -0.002189, 0.000006, 0.000008
1638400 , 36044800 , 0.001173 , -0.002063, 0.000006, 0.000007
1671168 , 36765696 , 0.001162 , -0.001967, 0.000006, 0.000007
1703936 , 37486592 , 0.001222 , -0.001922, 0.000006, 0.000006
1736704 , 38207488 , 0.001190 , -0.001786, 0.000006, 0.000006
1769472 , 38928384 , 0.001297 , -0.001781, 0.000006, 0.000006
1802240 , 39649280 , 0.001275 , -0.001740, 0.000006, 0.000006
1835008 , 40370176 , 0.001303 , -0.001711, 0.000005, 0.000005
1867776 , 41091072 , 0.001292 , -0.001628, 0.000006, 0.000005
1900544 , 41811968 , 0.001521 , -0.001818, 0.000005, 0.000006
1933312 , 42532864 , 0.001408 , -0.001832, 0.000005, 0.000006
1966080 , 43253760 , 0.001397 , -0.001714, 0.000005, 0.000005
1998848 , 43974656 , -0.001204 , -0.001235, 0.000024, 0.000003
2031616 , 44695552 , -0.001144 , -0.001193, 0.000023, 0.000003
2064384 , 45416448 , -0.001173 , -0.001105, 0.000023, 0.000003
2097152 , 46137344 , -0.001263 , -0.000929, 0.000024, 0.000002
2129920 , 46858240 , -0.001267 , -0.000951, 0.000024, 0.000002
2162688 , 47579136 , -0.001177 , -0.000955, 0.000023, 0.000002
2195456 , 48300032 , -0.001161 , -0.000927, 0.000023, 0.000002
2228224 , 49020928 , -0.001070 , -0.000929, 0.000022, 0.000002
2260992 , 49741824 , -0.001151 , -0.000958, 0.000023, 0.000002
2293760 , 50462720 , -0.001088 , -0.000930, 0.000022, 0.000002
2326528 , 51183616 , -0.001065 , -0.000849, 0.000022, 0.000002
2359296 , 51904512 , -0.000966 , -0.000842, 0.000021, 0.000002
2392064 , 52625408 , -0.001212 , -0.000923, 0.000024, 0.000002
2424832 , 53346304 , -0.001088 , -0.000925, 0.000022, 0.000002
2457600 , 54067200 , -0.000963 , -0.000951, 0.000021, 0.000002
2490368 , 54788096 , -0.000852 , -0.000974, 0.000020, 0.000002
2523136 , 55508992 , -0.000865 , -0.001022, 0.000020, 0.000003
2555904 , 56229888 , -0.001053 , -0.001108, 0.000022, 0.000003
2588672 , 56950784 , -0.000977 , -0.001112, 0.000021, 0.000003
2621440 , 57671680 , -0.001371 , -0.001799, 0.000025, 0.000006
2654208 , 58392576 , -0.001330 , -0.001744, 0.000025, 0.000006
2686976 , 59113472 , -0.001280 , -0.001710, 0.000024, 0.000005
2719744 , 59834368 , -0.001244 , -0.001648, 0.000024, 0.000005
2752512 , 60555264 , -0.001238 , -0.001568, 0.000024, 0.000005
2785280 , 61276160 , -0.001182 , -0.001615, 0.000023, 0.000005
2818048 , 61997056 , -0.001213 , -0.001529, 0.000024, 0.000005
2850816 , 62717952 , -0.001181 , -0.001490, 0.000023, 0.000004
2883584 , 63438848 , -0.001134 , -0.001427, 0.000023, 0.000004
2916352 , 64159744 , -0.001076 , -0.001426, 0.000022, 0.000004
2949120 , 64880640 , -0.001038 , -0.001411, 0.000022, 0.000004
2981888 , 65601536 , -0.000960 , -0.001414, 0.000021, 0.000004
3014656 , 66322432 , -0.000841 , -0.001434, 0.000020, 0.000004
3047424 , 67043328 , -0.000785 , -0.001408, 0.000020, 0.000004
3080192 , 67764224 , -0.000733 , -0.001366, 0.000019, 0.000004
3112960 , 68485120 , -0.000719 , -0.001324, 0.000019, 0.000004
3145728 , 69206016 , -0.000586 , -0.001170, 0.000018, 0.000003
3178496 , 69926912 , -0.000482 , -0.001182, 0.000017, 0.000003
3211264 , 70647808 , -0.000794 , -0.001185, 0.000020, 0.000003
3244032 , 71368704 , -0.001254 , -0.001843, 0.000024, 0.000006
3276800 , 72089600 , -0.001302 , -0.001720, 0.000024, 0.000005
3309568 , 72810496 , -0.001243 , -0.001693, 0.000024, 0.000005
3342336 , 73531392 , -0.001195 , -0.001686, 0.000023, 0.000005
3375104 , 74252288 , -0.001151 , -0.001664, 0.000023, 0.000005
3407872 , 74973184 , -0.001167 , -0.001558, 0.000023, 0.000005
3440640 , 75694080 , -0.001145 , -0.001438, 0.000023, 0.000004
3473408 , 76414976 , -0.001117 , -0.001409, 0.000023, 0.000004
3506176 , 77135872 , -0.001078 , -0.001395, 0.000022, 0.000004
3538944 , 77856768 , -0.002378 , -0.000607, 0.000036, 0.000001
3571712 , 78577664 , -0.002297 , -0.000614, 0.000035, 0.000001
3604480 , 79298560 , -0.002181 , -0.000642, 0.000034, 0.000002
3637248 , 80019456 , -0.002169 , -0.000616, 0.000034, 0.000001
3670016 , 80740352 , -0.002153 , -0.000584, 0.000034, 0.000001
3702784 , 81461248 , -0.002094 , -0.000568, 0.000033, 0.000001
3735552 , 82182144 , -0.002042 , -0.000534, 0.000032, 0.000001
3768320 , 82903040 , -0.001958 , -0.000452, 0.000031, 0.000001
3801088 , 83623936 , -0.001859 , -0.000468, 0.000030, 0.000001
3833856 , 84344832 , -0.001855 , -0.000431, 0.000030, 0.000001
3866624 , 85065728 , -0.001785 , -0.000449, 0.000029, 0.000001
3899392 , 85786624 , -0.001714 , -0.000461, 0.000029, 0.000001
3932160 , 86507520 , -0.001680 , -0.000435, 0.000028, 0.000001
3964928 , 87228416 , -0.001588 , -0.000446, 0.000027, 0.000001
3997696 , 87949312 , -0.001490 , -0.000540, 0.000026, 0.000001
4030464 , 88670208 , -0.001436 , -0.000546, 0.000026, 0.000001
4063232 , 89391104 , -0.001378 , -0.000552, 0.000025, 0.000001
4096000 , 90112000 , -0.001329 , -0.000559, 0.000025, 0.000001
4128768 , 90832896 , -0.001275 , -0.000556, 0.000024, 0.000001
4161536 , 91553792 , -0.001354 , -0.000361, 0.000025, 0.000001
4194304 , 92274688 , -0.001339 , -0.000351, 0.000025, 0.000001
4227072 , 92995584 , -0.001228 , -0.000615, 0.000024, 0.000001
4259840 , 93716480 , -0.001171 , -0.000626, 0.000023, 0.000002
4292608 , 94437376 , -0.001137 , -0.000627, 0.000023, 0.000002
4325376 , 95158272 , -0.001081 , -0.000637, 0.000022, 0.000002
4358144 , 95879168 , -0.001033 , -0.000647, 0.000022, 0.000002
4390912 , 96600064 , -0.001038 , -0.000624, 0.000022, 0.000002
4423680 , 97320960 , -0.001064 , -0.000589, 0.000022, 0.000001
4456448 , 98041856 , -0.001012 , -0.000600, 0.000022, 0.000001
4489216 , 98762752 , -0.000959 , -0.000605, 0.000021, 0.000001
4521984 , 99483648 , -0.000928 , -0.000593, 0.000021, 0.000001
4554752 , 100204544 , -0.000916 , -0.000564, 0.000021, 0.000001
4587520 , 100925440 , -0.000891 , -0.000557, 0.000021, 0.000001
4620288 , 101646336 , -0.000884 , -0.000532, 0.000021, 0.000001
4653056 , 102367232 , -0.000832 , -0.000528, 0.000020, 0.000001
4685824 , 103088128 , -0.000952 , -0.000630, 0.000021, 0.000002
4718592 , 103809024 , -0.001937 , 0.001034, 0.000031, 0.000000
4751360 , 104529920 , -0.001911 , 0.001048, 0.000031, 0.000000
4784128 , 105250816 , -0.001865 , 0.001031, 0.000030, 0.000000
4816896 , 105971712 , -0.001794 , 0.000999, 0.000030, 0.000000
4849664 , 106692608 , -0.001754 , 0.000986, 0.000029, 0.000000
4882432 , 107413504 , -0.001706 , 0.000975, 0.000029, 0.000000
4915200 , 108134400 , -0.001675 , 0.000957, 0.000028, 0.000000
4947968 , 108855296 , -0.001801 , 0.000805, 0.000030, 0.000000
4980736 , 109576192 , -0.001780 , 0.000825, 0.000029, 0.000000
5013504 , 110297088 , -0.001769 , 0.000848, 0.000029, 0.000000
5046272 , 111017984 , -0.001739 , 0.000836, 0.000029, 0.000000
5079040 , 111738880 , -0.001686 , 0.000911, 0.000028, 0.000000
5111808 , 112459776 , -0.001643 , 0.000910, 0.000028, 0.000000
5144576 , 113180672 , -0.001624 , 0.000906, 0.000028, 0.000000
5177344 , 113901568 , -0.001581 , 0.000913, 0.000027, 0.000000
5210112 , 114622464 , -0.001539 , 0.000899, 0.000027, 0.000000
5242880 , 115343360 , -0.001506 , 0.000890, 0.000027, 0.000000
5275648 , 116064256 , -0.001685 , 0.000812, 0.000028, 0.000000
5308416 , 116785152 , -0.001653 , 0.000816, 0.000028, 0.000000
5341184 , 117506048 , -0.001626 , 0.000825, 0.000028, 0.000000
5373952 , 118226944 , -0.001561 , 0.000803, 0.000027, 0.000000
5406720 , 118947840 , -0.001526 , 0.000778, 0.000027, 0.000000
5439488 , 119668736 , -0.001459 , 0.000750, 0.000026, 0.000000
5472256 , 120389632 , -0.001414 , 0.000739, 0.000026, 0.000000
5505024 , 121110528 , -0.001519 , 0.000656, 0.000027, 0.000000
5537792 , 121831424 , -0.001503 , 0.000654, 0.000027, 0.000000
5570560 , 122552320 , -0.001478 , 0.000643, 0.000026, 0.000000
5603328 , 123273216 , -0.001458 , 0.000639, 0.000026, 0.000000
5636096 , 123994112 , -0.001429 , 0.000723, 0.000026, 0.000000
5668864 , 124715008 , -0.001363 , 0.000711, 0.000025, 0.000000
5701632 , 125435904 , -0.001340 , 0.000712, 0.000025, 0.000000
5734400 , 126156800 , -0.001274 , 0.000689, 0.000024, 0.000000
5767168 , 126877696 , -0.001252 , 0.000683, 0.000024, 0.000000
5799936 , 127598592 , -0.001224 , 0.000677, 0.000024, 0.000000
5832704 , 128319488 , -0.001206 , 0.000686, 0.000024, 0.000000
5865472 , 129040384 , -0.001203 , 0.000696, 0.000024, 0.000000
5898240 , 129761280 , -0.001175 , 0.000723, 0.000023, 0.000000
5931008 , 130482176 , -0.001156 , 0.000721, 0.000023, 0.000000
5963776 , 131203072 , -0.001148 , 0.000704, 0.000023, 0.000000
5996544 , 131923968 , -0.001114 , 0.000692, 0.000023, 0.000000
6029312 , 132644864 , -0.001077 , 0.000686, 0.000022, 0.000000
6062080 , 133365760 , -0.001050 , 0.000690, 0.000022, 0.000000
6094848 , 134086656 , -0.001031 , 0.000695, 0.000022, 0.000000
6127616 , 134807552 , -0.001045 , 0.000678, 0.000022, 0.000000
6160384 , 135528448 , -0.001046 , 0.000699, 0.000022, 0.000000
6193152 , 136249344 , -0.001029 , 0.000695, 0.000022, 0.000000
6225920 , 136970240 , -0.001012 , 0.000692, 0.000022, 0.000000
6258688 , 137691136 , -0.000994 , 0.000704, 0.000022, 0.000000
6291456 , 138412032 , -0.000900 , 0.000586, 0.000021, 0.000000
