n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,variance,varianceVar
1261568,71512,27754496,983577,0.005263761666666666,-0.0022273549666666664,1.6188458676666667e-05,2.7430624186644414e-10
1277952,71522,28114944,996309,0.0052581979999999995,-0.002121860566666667,1.5295136756666665e-05,2.463215841395073e-10
1294336,71530,28475392,1009065,0.005288782666666668,-0.0021409991666666668,1.5035432766666667e-05,2.3316199433061954e-10
1310720,71531,28835840,1021813,0.005267485,-0.00211900329,1.4639717466666664e-05,2.1870982832434276e-10
1327104,71538,29196288,1034602,0.005238902333333333,-0.0020742648666666665,1.4456371533333333e-05,2.1995781307687442e-10
1343488,71546,29556736,1047314,0.005256072666666667,-0.0020759464999999997,1.4541436799999999e-05,2.2560415177526433e-10
1359872,71554,29917184,1060071,0.005219027333333334,-0.0020758944233333332,1.4170373166666665e-05,2.1258436133074556e-10
1376256,71554,30277632,1072908,0.005599509,-0.00201011207,1.5703215466666663e-05,2.6798606434725686e-10
1392640,71557,30638080,1085665,0.005590947,-0.00199088492,1.5532107e-05,2.620676455650905e-10
1409024,71558,30998528,1098377,0.005565815333333334,-0.0019528457866666666,1.4972541733333334e-05,2.3671264353559594e-10
1425408,71559,31358976,1111093,0.005469711333333333,-0.0021653051666666668,1.4946505900000001e-05,2.1731852810886866e-10
1441792,71565,31719424,1123819,0.005449763,-0.0021476569,1.4771878966666668e-05,2.135754656974405e-10
1458176,71566,32079872,1136618,0.005416577666666668,-0.0021058319,1.4503545333333334e-05,2.1325617658807507e-10
1474560,71575,32440320,1149412,0.005349466333333333,-0.002029128066666667,1.3753934533333332e-05,1.9818844489158158e-10
1490944,71592,32800768,1162197,0.005127143666666666,-0.0018850265,1.1430191266666666e-05,1.25278794762111e-10
1507328,71607,33161216,1174978,0.005196524666666666,-0.0018541627666666665,1.123023666666667e-05,1.1158702759853052e-10
1523712,71615,33521664,1187794,0.0051425563333333335,-0.001810375933333333,1.0915195366666666e-05,1.1136056185434672e-10
1540096,71616,33882112,1200582,0.005108624333333333,-0.0017880636000000003,1.0676303333333334e-05,1.0839976311327964e-10
1556480,71618,34242560,1213373,0.006189885333333333,-0.0015064053999999999,1.47868458e-05,1.0135844705310002e-10
1572864,71628,34603008,1226181,0.006195240666666667,-0.0014927567,1.4454018066666667e-05,9.364526290966512e-11
1589248,71633,34963456,1238957,0.006195018,-0.0014315122666666666,1.4006986666666666e-05,8.355123229714023e-11
1605632,71635,35323904,1251765,0.006153294333333333,-0.0013761229333333332,1.3669063599999998e-05,8.136183163528021e-11
1622016,71651,35684352,1264530,0.006180055,-0.0013884320999999998,1.3856639533333333e-05,8.49106552279148e-11
1638400,71653,36044800,1277245,0.006167531666666667,-0.0013931018,1.3615754033333333e-05,8.026264875461624e-11
1654784,71655,36405248,1290028,0.006167043666666667,-0.0013909949333333331,1.3618027600000001e-05,7.947029917690098e-11
1671168,71656,36765696,1302838,0.0061182269999999995,-0.0013704604666666667,1.3233348166666667e-05,7.546383138722171e-11
1687552,71658,37126144,1315688,0.006067777666666666,-0.0013442075666666668,1.2898879666666668e-05,7.383924077403754e-11
1703936,71664,37486592,1328433,0.006071054666666666,-0.0013529227666666665,1.2964201200000001e-05,7.378599995665685e-11
1720320,71671,37847040,1341243,0.0060941063333333325,-0.00122827683,1.24313517e-05,6.71305508066373e-11
1736704,71688,38207488,1353973,0.006099352333333333,-0.001232926,1.2354778866666667e-05,6.448589582528432e-11
1753088,71687,38567936,1366734,0.006088376333333333,-0.0012315356566666668,1.2301678833333334e-05,6.410615975042074e-11
1769472,71687,38928384,1379477,0.006048754666666667,-0.0012182191666666668,1.2014179199999998e-05,6.174653107202754e-11
1785856,71689,39288832,1392287,0.006013584333333333,-0.0011856545033333333,1.1559369466666666e-05,5.600152138397288e-11
1802240,71714,39649280,1405001,0.006025940666666667,-0.0011880121833333333,1.1532119500000001e-05,5.4262837750405487e-11
1818624,71714,40009728,1417727,0.005972724,-0.0012469342266666667,1.1768231566666666e-05,5.879660139100198e-11
1835008,71719,40370176,1430493,0.005752358666666666,-0.00170636421,1.2222441333333335e-05,6.22905123689882e-11
1851392,71733,40730624,1443293,0.005796389666666666,-0.0017094090280000002,1.2303092166666667e-05,6.11154927954684e-11
1867776,71734,41091072,1456090,0.005785569333333333,-0.0017003411696666665,1.2218647733333332e-05,6.087920096888175e-11
1884160,71734,41451520,1468944,0.005791590666666666,-0.0016895361113333333,1.2220578899999999e-05,6.167605472733469e-11
1900544,71744,41811968,1481721,0.0057817780000000004,-0.0016693528940000004,1.2005912899999999e-05,5.867910264136711e-11
1916928,71762,42172416,1494465,0.0058204653333333335,-0.0016893399333333334,1.2116725666666667e-05,5.706848637562952e-11
1933312,71771,42532864,1507276,0.005813668666666667,-0.0016931951700000002,1.2091378833333333e-05,5.67894117556871e-11
1949696,71778,42893312,1520111,0.005808739,-0.0016515570333333334,1.1741221899999999e-05,5.2791219860247744e-11
1966080,71795,43253760,1532839,0.0058559910000000005,-0.0017431510333333336,1.1851039666666665e-05,4.3152054984000884e-11
1982464,72736,43614208,1545554,0.005827188333333334,-0.0017351129000000001,1.1596085666666666e-05,3.9842373808000215e-11
1998848,72807,43974656,1558281,0.005817915333333333,-0.0016520548333333331,1.1105945666666668e-05,3.574897771042286e-11
2015232,116172,44335104,1571131,0.0059113379999999995,-0.0015638396333333335,1.0965998333333334e-05,3.3286106798868194e-11
2031616,122982,44695552,1583890,0.005834085333333333,-0.0015067556333333333,1.0398928633333334e-05,3.194087658494166e-11
2048000,123039,45056000,1596655,0.005812937666666667,-0.0014983210666666665,1.02844513e-05,3.1657681366612014e-11
2064384,123066,45416448,1609446,0.005815047,-0.0014752174000000002,1.0142285700000001e-05,2.996935607021924e-11
2080768,123081,45776896,1622175,0.005766693666666666,-0.001427119,9.589367666666666e-06,2.5011092110187563e-11
2097152,123093,46137344,1634997,0.005749682,-0.0014014845,9.379171333333334e-06,2.357475302000023e-11
2113536,123114,46497792,1647716,0.005755979666666667,-0.0014705080666666667,9.530873e-06,2.086425841808467e-11
2129920,123116,46858240,1660460,0.005736914666666666,-0.0014641159666666668,9.4281e-06,2.0660801163936005e-11
