trueR,trueI
3.645780e-03,6.058400e-04
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
1163264,24107,1163264,78,3.073628e-04,2.251560e-04,1.114503e-05,1.449203e-07
1179648,24111,1179648,80,2.814795e-04,3.368788e-04,1.131852e-05,7.234015e-08
1196032,24111,1196032,81,3.875158e-04,2.864596e-04,1.061629e-05,1.020038e-07
1212416,24112,1212416,83,3.612489e-04,3.943344e-04,1.078815e-05,4.473462e-08
1228800,24126,1228800,85,3.356825e-04,4.993326e-04,1.095675e-05,1.134384e-08
1245184,24223,1245184,86,4.368199e-04,4.487661e-04,1.029743e-05,2.467222e-08
1261568,29709,1261568,88,1.823583e-04,7.445721e-04,1.199529e-05,1.924661e-08
1277952,30878,1277952,89,2.828682e-04,6.921581e-04,1.130918e-05,7.450818e-09
1294336,32197,1294336,90,3.808335e-04,6.410711e-04,1.065988e-05,1.241228e-09
1310720,32297,1310720,91,2.563435e-04,7.782191e-04,1.148828e-05,2.971457e-08
1327104,35905,1327104,92,1.349274e-04,9.119809e-04,1.232609e-05,9.372223e-08
1343488,35930,1343488,92,1.332820e-04,9.008591e-04,1.233764e-05,8.703628e-08
1359872,36110,1359872,94,3.249804e-04,8.094339e-04,1.102771e-05,4.145046e-08
1376256,36168,1376256,95,2.070835e-04,9.380467e-04,1.182463e-05,1.103613e-07
1392640,36221,1392640,95,2.046473e-04,9.270109e-04,1.184140e-05,1.031507e-07
1409024,36224,1409024,96,2.955481e-04,8.773512e-04,1.122405e-05,7.371830e-08
1425408,36400,1425408,96,2.921511e-04,8.672667e-04,1.124683e-05,6.834390e-08
1441792,36448,1441792,96,2.888312e-04,8.574114e-04,1.126911e-05,6.328815e-08
1458176,36576,1458176,97,3.757221e-04,8.102076e-04,1.069328e-05,4.176612e-08
1474560,36639,1474560,99,3.542560e-04,8.930853e-04,1.083413e-05,8.250984e-08
1490944,36739,1490944,99,3.503630e-04,8.832712e-04,1.085977e-05,7.696805e-08
1507328,36749,1507328,99,3.465547e-04,8.736704e-04,1.088489e-05,7.173312e-08
1523712,36770,1523712,100,4.290878e-04,8.283221e-04,1.034711e-05,4.949828e-08
