n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,variance,varianceVar
557056,52540,12255232,434201,0.0017796886666666667,0.0011627185,4.8393326333333325e-06,1.4953738737750753e-12
573440,52541,12615680,446920,0.0021305123333333334,0.0006663063333333332,3.3562810333333334e-06,2.5086171471764685e-12
589824,52544,12976128,459667,0.0021225650000000003,0.0006924325666666666,3.2847104666666667e-06,2.1991755240535028e-12
606208,52553,13336576,472514,0.0022122866666666667,0.0006748340333333332,3.1624261999999997e-06,2.7455342804068466e-12
622592,52556,13697024,485277,0.002397383333333333,0.0005719475333333334,2.5830915000000004e-06,1.7665226833009246e-12
638976,52563,14057472,498090,0.0026515746666666666,0.0007108072999999999,2.04071785e-06,1.9966775012516617e-12
655360,52564,14417920,510849,0.0027811710000000003,0.0006344495999999999,1.7899263709999998e-06,1.7366257329301195e-12
671744,52567,14778368,523595,0.0029032466666666667,0.0005894986666666667,1.707646088e-06,1.425676132434496e-12
688128,52571,15138816,536360,0.0028931776666666666,0.0004929060333333334,1.5834369666666668e-06,1.2611684605586821e-12
704512,52575,15499264,549218,0.0029391943333333336,0.0004422387666666667,1.439603125e-06,1.1444999291633715e-12
720896,52586,15859712,561965,0.0029577709999999997,0.00044673506666666673,1.2383090753333334e-06,1.0652407371142003e-12
737280,52588,16220160,574714,0.0029445286666666664,0.0004925073666666667,1.2881003833333333e-06,9.433539607219073e-13
753664,52587,16580608,587577,0.0030873940000000002,0.0004641968999999999,1.0695884131333335e-06,8.141763440253045e-13
770048,52598,16941056,600345,0.003226018,0.00046714676666666666,8.231716536666667e-07,3.6605668233558354e-13
786432,52603,17301504,613130,0.0033340166666666667,0.0004209813333333334,7.720186066666666e-07,3.000460671879962e-13
802816,52609,17661952,625854,0.0032440546666666673,0.0005270763666666667,6.94886966e-07,2.4473305852013616e-13
819200,52614,18022400,638619,0.001706639,-0.0014624126333333332,2.379672198513333e-05,1.0803634372664628e-09
835584,52616,18382848,651337,0.0018592570000000002,-0.0013780385000000002,2.3078523103333336e-05,9.909190062336002e-10
851968,52619,18743296,664121,0.0016749103333333333,-0.0015314993566666669,2.2505187973333336e-05,9.36996234334491e-10
868352,52621,19103744,676862,0.0017544363333333337,-0.0015365500300000001,2.1716274913333333e-05,8.776493091833114e-10
884736,52621,19464192,689622,0.0017828836666666664,-0.0014986623666666664,2.096124785333333e-05,8.237556564841964e-10
901120,52626,19824640,702417,0.0018068796666666665,-0.0014874066333333336,2.0191961060333333e-05,7.533701032869826e-10
917504,52631,20185088,715158,0.0018949275666666667,-0.0015298534000000002,1.9262439036666668e-05,6.973633163987858e-10
933888,52630,20545536,727966,0.0019326668,-0.0015183673666666665,1.869362536e-05,6.529615664926516e-10
950272,52638,20905984,740777,0.0019112924333333336,-0.0014152134333333332,1.8296623460666668e-05,6.066202262826645e-10
966656,52640,21266432,753528,0.0021210216,-0.0014485908,1.7295256586666668e-05,5.508509890440685e-10
983040,52645,21626880,766325,0.0021320841666666664,-0.0012811392,1.6987053618933334e-05,5.584072296506805e-10
999424,52646,21987328,779081,0.002036917,-0.0011541040000000002,1.627241552e-05,5.133542284670367e-10
1015808,52651,22347776,791825,0.0020294919,-0.0011448268333333332,1.5721714996666668e-05,4.745424191139106e-10
1032192,52654,22708224,804559,0.0021676827333333335,-0.0012379993399999998,1.5436019241333335e-05,4.5454544581668873e-10
1048576,52656,23068672,817347,0.002219848366666666,-0.0012240614000000002,1.4827271782399998e-05,4.209554661733901e-10
1064960,52657,23429120,830145,0.0021431506666666667,-0.0010617068,1.4225415713333332e-05,3.872652618916676e-10
1081344,52663,23789568,842900,0.0021407601333333333,-0.0010287152666666665,1.3989464246666667e-05,3.700273921405336e-10
1097728,52664,24150016,855613,0.0021044006633333333,-0.0009716843333333333,1.3636319396666668e-05,3.44877199771231e-10
1114112,52670,24510464,868358,0.0021718829066666666,-0.0009759226,1.3524598816666666e-05,3.330475102890357e-10
