trueR,trueI
3.645780e-03,6.058400e-04
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
1130496,71411,24870912,881569,7.583224e-03,-5.676385e-03,1.550346e-05,3.946635e-05
1146880,71434,25231360,894307,7.553666e-03,-5.609550e-03,1.527157e-05,3.863107e-05
1163264,71435,25591808,906896,7.415785e-03,-5.507221e-03,1.421293e-05,3.736952e-05
1179648,71447,25952256,919788,6.784605e-03,-5.217860e-03,9.852224e-06,3.391549e-05
1196032,71480,26312704,932676,6.744290e-03,-5.115561e-03,9.600765e-06,3.273442e-05
1212416,71486,26673152,945411,6.672346e-03,-5.066886e-03,9.160105e-06,3.217982e-05
1228800,71507,27033600,958153,6.630797e-03,-4.993389e-03,8.910329e-06,3.135137e-05
1245184,71511,27394048,970905,6.605372e-03,-4.945704e-03,8.759183e-06,3.081964e-05
1261568,71512,27754496,983701,6.613691e-03,-4.921978e-03,8.808497e-06,3.055677e-05
1277952,71522,28114944,996439,6.755276e-03,-4.641456e-03,9.668963e-06,2.753411e-05
1294336,71530,28475392,1009262,6.720709e-03,-4.588339e-03,9.455189e-06,2.697949e-05
1310720,71531,28835840,1022064,6.633000e-03,-4.535651e-03,8.923480e-06,2.643493e-05
1327104,71538,29196288,1034834,6.660336e-03,-4.501941e-03,9.087548e-06,2.608943e-05
1343488,71546,29556736,1047543,6.722017e-03,-4.504207e-03,9.463235e-06,2.611258e-05
1359872,71554,29917184,1060345,6.657357e-03,-4.445313e-03,9.069598e-06,2.551414e-05
1376256,71554,30277632,1073131,7.617984e-03,-4.176017e-03,1.577841e-05,2.286616e-05
1392640,71557,30638080,1085816,7.592849e-03,-4.150231e-03,1.557936e-05,2.262022e-05
1409024,71558,30998528,1098557,7.506478e-03,-4.039033e-03,1.490499e-05,2.157484e-05
1425408,71559,31358976,1111280,7.438978e-03,-4.000408e-03,1.438835e-05,2.121752e-05
1441792,71565,31719424,1124027,7.424604e-03,-3.972016e-03,1.427951e-05,2.095677e-05
1458176,71566,32079872,1136837,7.413420e-03,-3.952282e-03,1.419511e-05,2.077647e-05
1474560,71575,32440320,1149621,7.311911e-03,-3.873608e-03,1.344052e-05,2.006545e-05
1490944,71592,32800768,1162405,6.691791e-03,-3.610225e-03,9.278181e-06,1.777521e-05
1507328,71607,33161216,1175298,6.702229e-03,-3.463998e-03,9.341883e-06,1.656359e-05
1523712,71615,33521664,1188115,6.685386e-03,-3.441039e-03,9.239207e-06,1.637723e-05
1540096,71616,33882112,1200848,6.649777e-03,-3.416861e-03,9.023996e-06,1.618212e-05
1556480,71618,34242560,1213620,6.656241e-03,-3.382551e-03,9.062876e-06,1.590726e-05
1572864,71628,34603008,1226427,6.630352e-03,-3.320188e-03,8.907668e-06,1.541370e-05
1589248,71633,34963456,1239242,6.547176e-03,-3.121218e-03,8.418097e-06,1.389096e-05
1605632,71635,35323904,1252157,6.499722e-03,-3.047077e-03,8.144983e-06,1.334380e-05
1622016,71651,35684352,1265021,6.591775e-03,-3.096243e-03,8.678883e-06,1.370542e-05
1638400,71653,36044800,1277764,6.563554e-03,-3.069314e-03,8.513402e-06,1.350676e-05
1654784,71655,36405248,1290485,6.529438e-03,-3.044949e-03,8.315483e-06,1.332826e-05
1671168,71656,36765696,1303281,6.477587e-03,-3.001217e-03,8.019130e-06,1.301086e-05
1687552,71658,37126144,1316113,6.462396e-03,-2.989656e-03,7.933324e-06,1.292759e-05
1703936,71664,37486592,1328848,6.432489e-03,-2.977307e-03,7.765747e-06,1.283895e-05
1720320,71671,37847040,1341675,6.340775e-03,-2.894569e-03,7.262999e-06,1.225286e-05
