Alg,Circuit,DType,R_label,qubits,depth,time,init,final,samples,nodes,threads,paths,nzero_paths,estR,estI,varR,varI
BD_MIS_V,305,SP,1,5,17,503999,0,0,33554432,1,128,570425344,56609591,-1.05110087e-01,1.06261976e-01,4.20019035e-07,1.86642936e-07
BD_MIS_V,305,SP,3,5,17,558851,0,0,33554432,1,128,570425344,56604312,-1.04408495e-01,1.06514871e-01,2.86253021e-09,3.20864331e-08
BD_MIS_V,305,SP,2,5,17,574888,0,0,33554432,1,128,570425344,56603653,-1.05202079e-01,1.07189186e-01,5.47719992e-07,2.45211083e-07
