trueR , trueI
-0.104462 , 0.106694
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
10922 , 29355 , 185674 , 18849 ,-0.115475,0.095183,0.00012128616899999988,0.00013250312099999986,0.00025378928999999974,0.01593076551832961
21844 , 33008 , 371348 , 37501 ,-0.081825,0.111375,0.0005124337690000001,2.1911761000000043e-05,0.0005343455300000001,0.023115915080307768
32766 , 33969 , 557022 , 55384 ,-0.090662,0.113639,0.0001904399999999998,4.8233025000000094e-05,0.0002386730249999999,0.015449046087056634
43688 , 41352 , 742696 , 73915 ,-0.091962,0.107056,0.00015624999999999992,1.3104400000000087e-07,0.0001563810439999999,0.012505240661418712
54610 , 45738 , 928370 , 92283 ,-0.090486,0.1012,0.00019532857600000007,3.018403599999999e-05,0.00022551261200000005,0.015017077345475718
65532 , 53338 , 1114044 , 110762 ,-0.091774,0.107234,0.00016098534400000013,2.915999999999987e-07,0.00016127694400000012,0.012699485973849498
76454 , 53350 , 1299718 , 129188 ,-0.095008,0.102119,8.937811600000008e-05,2.093062499999996e-05,0.00011030874100000004,0.010502796817990913
87376 , 53358 , 1485392 , 147547 ,-0.100517,0.098572,1.5563025000000032e-05,6.596688399999984e-05,8.152990899999988e-05,0.009029391396987944
98298 , 93254 , 1671066 , 165783 ,-0.098173,0.100683,3.9551521000000034e-05,3.613212100000003e-05,7.568364200000006e-05,0.008699634590027334
109220 , 93266 , 1856740 , 184586 ,-0.101298,0.10185,1.0010896000000002e-05,2.346433600000001e-05,3.347523200000001e-05,0.005785778426452227
120142 , 93274 , 2042414 , 202794 ,-0.102795,0.100505,2.778889000000006e-06,3.8303721e-05,4.1082610000000006e-05,0.006409571748564798
131064 , 93289 , 2228088 , 221656 ,-0.100936,0.102314,1.243267600000001e-05,1.9184399999999955e-05,3.1617075999999966e-05,0.005622906365928564
141986 , 93298 , 2413762 , 240203 ,-0.104221,0.102971,5.808100000000246e-08,1.386072900000003e-05,1.3918810000000033e-05,0.0037307921410874704
152908 , 93305 , 2599436 , 258637 ,-0.104056,0.1055,1.6483600000000292e-07,1.4256360000000014e-06,1.5904720000000044e-06,0.0012611391675782671
163830 , 93312 , 2785110 , 277238 ,-0.105963,0.10542,2.253001000000007e-06,1.6230759999999932e-06,3.8760770000000005e-06,0.0019687755077712646
174752 , 93320 , 2970784 , 295626 ,-0.104388,0.107089,5.476000000000684e-09,1.560250000000051e-07,1.6150100000000578e-07,0.0004018718701277881
185674 , 105319 , 3156458 , 313867 ,-0.105312,0.105634,7.22500000000006e-07,1.123599999999982e-06,1.846099999999988e-06,0.0013587126259809275
196596 , 105352 , 3342132 , 331987 ,-0.105236,0.104487,5.990759999999952e-07,4.8708490000000024e-06,5.4699249999999974e-06,0.002338787078808158
207518 , 118308 , 3527806 , 350581 ,-0.107131,0.105987,7.123561000000025e-06,4.99848999999999e-07,7.623410000000024e-06,0.0027610523356140903
218440 , 118320 , 3713480 , 369161 ,-0.105625,0.105749,1.3525689999999938e-06,8.930250000000027e-07,2.2455939999999966e-06,0.0014985306136345686
229362 , 118327 , 3899154 , 387568 ,-0.106474,0.105739,4.048144e-06,9.120249999999953e-07,4.9601689999999955e-06,0.0022271436864288742
240284 , 127347 , 4084828 , 405816 ,-0.106843,0.104921,5.669160999999973e-06,3.1435289999999888e-06,8.812689999999962e-06,0.0029686175233599836
251206 , 127429 , 4270502 , 424529 ,-0.106541,0.105218,4.322240999999989e-06,2.178575999999974e-06,6.500816999999963e-06,0.0025496699786442876
262128 , 127441 , 4456176 , 443072 ,-0.106848,0.104662,5.692995999999996e-06,4.129023999999968e-06,9.822019999999964e-06,0.003134010210576852
273050 , 128510 , 4641850 , 461619 ,-0.104575,0.10626,1.276900000000045e-08,1.8835600000000333e-07,2.0112500000000378e-07,0.0004484696199298273
283972 , 140319 , 4827524 , 479942 ,-0.10427,0.10598,3.6863999999999125e-08,5.097959999999892e-07,5.466599999999883e-07,0.0007393645920653681
294894 , 140372 , 5013198 , 498276 ,-0.104734,0.104875,7.398399999999699e-08,3.308761000000004e-06,3.3827450000000013e-06,0.0018392240211567489
305816 , 140381 , 5198872 , 516624 ,-0.106207,0.10554,3.045024999999988e-06,1.3317160000000052e-06,4.376740999999993e-06,0.002092066203541368
316738 , 146217 , 5384546 , 535185 ,-0.10657,0.104907,4.443663999999995e-06,3.193368999999989e-06,7.637032999999985e-06,0.0027635182286353723
327660 , 151316 , 5570220 , 553506 ,-0.105581,0.105222,1.2521609999999888e-06,2.166784000000003e-06,3.4189449999999917e-06,0.0018490389395575183
338582 , 151331 , 5755894 , 571826 ,-0.106424,0.103645,3.8494440000000215e-06,9.296400999999977e-06,1.3145844999999998e-05,0.00362571992851075
349504 , 155070 , 5941568 , 590255 ,-0.105666,0.104004,1.4496159999999922e-06,7.236099999999989e-06,8.68571599999998e-06,0.0029471538812895367
360426 , 160620 , 6127242 , 608478 ,-0.105047,0.104666,3.422250000000026e-07,4.112784000000008e-06,4.45500900000001e-06,0.0021106892239266327
371348 , 167317 , 6312916 , 626950 ,-0.104351,0.104802,1.2320999999999997e-08,3.5796639999999658e-06,3.5919849999999656e-06,0.0018952532812265398
382270 , 167331 , 6498590 , 645110 ,-0.105635,0.107223,1.3759290000000173e-06,2.7984100000000177e-07,1.6557700000000192e-06,0.001286767267224349
393192 , 167656 , 6684264 , 663550 ,-0.105805,0.106587,1.8036489999999918e-06,1.1448999999999142e-08,1.815097999999991e-06,0.0013472557292511288
404114 , 172346 , 6869938 , 681734 ,-0.105369,0.105555,8.226490000000092e-07,1.2973210000000025e-06,2.1199700000000115e-06,0.0014560116757773654
415036 , 172355 , 7055612 , 699861 ,-0.104806,0.104505,1.18335999999998e-07,4.791720999999985e-06,4.910056999999983e-06,0.0022158648424486505
425958 , 172362 , 7241286 , 718267 ,-0.103446,0.10357,1.032256000000006e-06,9.759376000000011e-06,1.0791632000000018e-05,0.0032850619476655256
436880 , 178613 , 7426960 , 736558 ,-0.10417,0.102979,8.526400000000035e-08,1.380122499999997e-05,1.3886488999999971e-05,0.00372645796970796
447802 , 178621 , 7612634 , 754770 ,-0.103608,0.103276,7.293159999999892e-07,1.1682723999999935e-05,1.2412039999999924e-05,0.003523072522671074
458724 , 183420 , 7798308 , 772963 ,-0.10301,0.103027,2.1083039999999855e-06,1.3446889000000027e-05,1.555519300000001e-05,0.00394400722615971
469646 , 188531 , 7983982 , 791199 ,-0.104122,0.102696,1.155999999999953e-07,1.5984004000000013e-05,1.609960400000001e-05,0.004012431183210499
480568 , 191300 , 8169656 , 809354 ,-0.103904,0.103757,3.113640000000033e-07,8.625968999999971e-06,8.937332999999975e-06,0.0029895372551617372
491490 , 192612 , 8355330 , 827930 ,-0.103642,0.103595,6.724000000000021e-07,9.603800999999941e-06,1.0276200999999943e-05,0.0032056514158591764
502412 , 195983 , 8541004 , 846195 ,-0.103168,0.104352,1.674436000000009e-06,5.4849639999999855e-06,7.1593999999999945e-06,0.0026757055144391345
513334 , 198978 , 8726678 , 864730 ,-0.102785,0.104038,2.812328999999993e-06,7.054335999999956e-06,9.866664999999948e-06,0.0031411247985395213
524256 , 200613 , 8912352 , 883395 ,-0.103165,0.10428,1.6822089999999807e-06,5.827395999999998e-06,7.509604999999978e-06,0.002740365851487713
535178 , 208311 , 9098026 , 901545 ,-0.10352,0.103993,8.87363999999997e-07,7.295400999999974e-06,8.182764999999971e-06,0.002860553268163341
546100 , 208325 , 9283700 , 919737 ,-0.102659,0.103823,3.2508089999999965e-06,8.242640999999992e-06,1.1493449999999987e-05,0.0033901991091969787
557022 , 212123 , 9469374 , 937936 ,-0.103148,0.104609,1.7265959999999888e-06,4.347225000000015e-06,6.0738210000000035e-06,0.002464512324984398
567944 , 217302 , 9655048 , 956179 ,-0.103559,0.104704,8.154090000000019e-07,3.960099999999967e-06,4.775508999999969e-06,0.0021852938017575506
578866 , 219482 , 9840722 , 974527 ,-0.103528,0.104986,8.72356000000008e-07,2.917264000000004e-06,3.789620000000012e-06,0.001946694634502292
589788 , 223553 , 10026396 , 993180 ,-0.103353,0.105513,1.2298809999999974e-06,1.3947610000000036e-06,2.624642000000001e-06,0.0016200746896362528
600710 , 223562 , 10212070 , 1011533 ,-0.103235,0.105842,1.5055290000000144e-06,7.259039999999858e-07,2.231433e-06,0.0014937981791393374
611632 , 223568 , 10397744 , 1030124 ,-0.102869,0.106216,2.537648999999991e-06,2.2848399999999266e-07,2.766132999999984e-06,0.0016631695644160832
622554 , 234328 , 10583418 , 1048966 ,-0.102484,0.10655,3.912483999999975e-06,2.073599999999751e-08,3.9332199999999725e-06,0.0019832347314425423
633476 , 234342 , 10769092 , 1067281 ,-0.102564,0.106576,3.6024039999999883e-06,1.3923999999998373e-08,3.616327999999987e-06,0.0019016645340332733
644398 , 234349 , 10954766 , 1086094 ,-0.103378,0.107146,1.1750560000000036e-06,2.043040000000072e-07,1.3793600000000108e-06,0.0011744615787670583
