trueR,trueI
-1.044620e-01,1.066940e-01
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
1146880,24993,1146880,143079,-1.052829e-01,1.051402e-01,6.738850e-07,2.414329e-06
1163264,25002,1163264,145088,-1.049630e-01,1.053780e-01,2.510452e-07,1.731963e-06
1179648,25003,1179648,147072,-1.050922e-01,1.050763e-01,3.971707e-07,2.616929e-06
1196032,25237,1196032,149127,-1.050272e-01,1.050833e-01,3.194859e-07,2.594343e-06
1212416,25245,1212416,151134,-1.049531e-01,1.049749e-01,2.411402e-07,2.955313e-06
1228800,25316,1228800,153198,-1.052136e-01,1.051129e-01,5.648797e-07,2.499768e-06
1245184,25470,1245184,155319,-1.051490e-01,1.049918e-01,4.720245e-07,2.897322e-06
1261568,25474,1261568,157402,-1.054060e-01,1.047794e-01,8.911285e-07,3.665514e-06
1277952,25528,1277952,159397,-1.054225e-01,1.046199e-01,9.226300e-07,4.301953e-06
1294336,25634,1294336,161435,-1.054115e-01,1.044816e-01,9.015257e-07,4.894803e-06
1310720,25643,1310720,163497,-1.052047e-01,1.044409e-01,5.516420e-07,5.076528e-06
1327104,25805,1327104,165545,-1.051101e-01,1.045852e-01,4.200383e-07,4.446933e-06
1343488,25899,1343488,167530,-1.049181e-01,1.046342e-01,2.080156e-07,4.242786e-06
1359872,25924,1359872,169549,-1.047136e-01,1.045298e-01,6.329439e-08,4.683826e-06
1376256,25967,1376256,171614,-1.044460e-01,1.046715e-01,2.551701e-10,4.090496e-06
1392640,26174,1392640,173611,-1.046224e-01,1.046983e-01,2.571496e-08,3.982839e-06
1409024,26258,1409024,175639,-1.046617e-01,1.045661e-01,3.986736e-08,4.528152e-06
1425408,26304,1425408,177704,-1.048325e-01,1.041978e-01,1.372445e-07,6.231004e-06
1441792,26341,1441792,179766,-1.045325e-01,1.045036e-01,4.966731e-09,4.797672e-06
1458176,26365,1458176,181850,-1.046322e-01,1.045545e-01,2.896333e-08,4.577338e-06
1474560,26482,1474560,183904,-1.046787e-01,1.047455e-01,4.694281e-08,3.796587e-06
