trueR , trueI
0.028675 , -0.032617
n_samples , estimateR , estimateI, varianceR, varianceI
111616 , 0.020811 , -0.035909, 0.000062, 0.000011
112640 , 0.020903 , -0.036138, 0.000060, 0.000012
113664 , 0.021590 , -0.035710, 0.000050, 0.000010
114688 , 0.021161 , -0.035265, 0.000056, 0.000007
115712 , 0.021400 , -0.034830, 0.000053, 0.000005
116736 , 0.021414 , -0.035538, 0.000053, 0.000009
117760 , 0.020733 , -0.035197, 0.000063, 0.000007
118784 , 0.021023 , -0.035419, 0.000059, 0.000008
119808 , 0.021303 , -0.035544, 0.000054, 0.000009
120832 , 0.021491 , -0.035601, 0.000052, 0.000009
121856 , 0.021170 , -0.034937, 0.000056, 0.000005
122880 , 0.021109 , -0.035005, 0.000057, 0.000006
123904 , 0.020224 , -0.034933, 0.000071, 0.000005
124928 , 0.020250 , -0.034718, 0.000071, 0.000004
125952 , 0.019923 , -0.034159, 0.000077, 0.000002
126976 , 0.020164 , -0.034163, 0.000072, 0.000002
128000 , 0.020272 , -0.034020, 0.000071, 0.000002
129024 , 0.020240 , -0.034360, 0.000071, 0.000003
130048 , 0.020122 , -0.034850, 0.000073, 0.000005
131072 , 0.019996 , -0.035106, 0.000075, 0.000006
132096 , 0.019438 , -0.035481, 0.000085, 0.000008
133120 , 0.019627 , -0.035759, 0.000082, 0.000010
134144 , 0.020366 , -0.035746, 0.000069, 0.000010
135168 , 0.020752 , -0.035716, 0.000063, 0.000010
136192 , 0.021277 , -0.035438, 0.000055, 0.000008
137216 , 0.020538 , -0.035344, 0.000066, 0.000007
138240 , 0.020449 , -0.035464, 0.000068, 0.000008
139264 , 0.019833 , -0.035524, 0.000078, 0.000008
140288 , 0.020062 , -0.035199, 0.000074, 0.000007
141312 , 0.019941 , -0.035470, 0.000076, 0.000008
142336 , 0.020242 , -0.035152, 0.000071, 0.000006
143360 , 0.019825 , -0.034969, 0.000078, 0.000006
144384 , 0.019575 , -0.035080, 0.000083, 0.000006
145408 , 0.019149 , -0.034772, 0.000091, 0.000005
146432 , 0.019311 , -0.034851, 0.000088, 0.000005
147456 , 0.019606 , -0.034885, 0.000082, 0.000005
148480 , 0.019648 , -0.034674, 0.000081, 0.000004
149504 , 0.019321 , -0.034604, 0.000087, 0.000004
150528 , 0.019188 , -0.034603, 0.000090, 0.000004
151552 , 0.019099 , -0.034669, 0.000092, 0.000004
152576 , 0.019438 , -0.034449, 0.000085, 0.000003
153600 , 0.019573 , -0.034147, 0.000083, 0.000002
154624 , 0.019527 , -0.033893, 0.000084, 0.000002
155648 , 0.019148 , -0.034002, 0.000091, 0.000002
156672 , 0.018442 , -0.033794, 0.000105, 0.000001
157696 , 0.017993 , -0.033682, 0.000114, 0.000001
158720 , 0.018591 , -0.033569, 0.000102, 0.000001
159744 , 0.018427 , -0.033284, 0.000105, 0.000000
160768 , 0.019210 , -0.033298, 0.000090, 0.000000
161792 , 0.019822 , -0.033472, 0.000078, 0.000001
162816 , 0.019789 , -0.033240, 0.000079, 0.000000
163840 , 0.019586 , -0.033466, 0.000083, 0.000001
164864 , 0.019444 , -0.033256, 0.000085, 0.000000
165888 , 0.019388 , -0.033374, 0.000086, 0.000001
166912 , 0.019808 , -0.032737, 0.000079, 0.000000
167936 , 0.020226 , -0.032604, 0.000071, 0.000000
168960 , 0.020050 , -0.032961, 0.000074, 0.000000
169984 , 0.020027 , -0.032912, 0.000075, 0.000000
171008 , 0.020447 , -0.032819, 0.000068, 0.000000
172032 , 0.020331 , -0.032707, 0.000070, 0.000000
173056 , 0.020447 , -0.032764, 0.000068, 0.000000
174080 , 0.020885 , -0.032895, 0.000061, 0.000000
175104 , 0.020755 , -0.032833, 0.000063, 0.000000
176128 , 0.020759 , -0.032225, 0.000063, 0.000000
177152 , 0.020582 , -0.032207, 0.000065, 0.000000
178176 , 0.020646 , -0.032217, 0.000064, 0.000000
179200 , 0.020703 , -0.032162, 0.000064, 0.000000
180224 , 0.020878 , -0.031844, 0.000061, 0.000001
181248 , 0.020938 , -0.032075, 0.000060, 0.000000
182272 , 0.020592 , -0.032026, 0.000065, 0.000000
183296 , 0.020606 , -0.031650, 0.000065, 0.000001
184320 , 0.020504 , -0.031616, 0.000067, 0.000001
185344 , 0.020295 , -0.031728, 0.000070, 0.000001
186368 , 0.020385 , -0.032087, 0.000069, 0.000000
187392 , 0.020683 , -0.032133, 0.000064, 0.000000
188416 , 0.020767 , -0.032248, 0.000063, 0.000000
189440 , 0.020923 , -0.032111, 0.000060, 0.000000
190464 , 0.020510 , -0.032489, 0.000067, 0.000000
191488 , 0.020397 , -0.032527, 0.000069, 0.000000
192512 , 0.020916 , -0.032508, 0.000060, 0.000000
193536 , 0.021329 , -0.032568, 0.000054, 0.000000
194560 , 0.021679 , -0.032646, 0.000049, 0.000000
195584 , 0.021407 , -0.032545, 0.000053, 0.000000
196608 , 0.021985 , -0.032455, 0.000045, 0.000000
197632 , 0.021834 , -0.032470, 0.000047, 0.000000
198656 , 0.022194 , -0.032402, 0.000042, 0.000000
199680 , 0.022112 , -0.032559, 0.000043, 0.000000
200704 , 0.021912 , -0.032715, 0.000046, 0.000000
201728 , 0.022409 , -0.032789, 0.000039, 0.000000
202752 , 0.022242 , -0.032752, 0.000041, 0.000000
203776 , 0.022004 , -0.032706, 0.000044, 0.000000
204800 , 0.022067 , -0.032507, 0.000044, 0.000000
205824 , 0.022678 , -0.032638, 0.000036, 0.000000
206848 , 0.022947 , -0.032622, 0.000033, 0.000000
207872 , 0.022991 , -0.032886, 0.000032, 0.000000
208896 , 0.022873 , -0.032874, 0.000034, 0.000000
209920 , 0.023164 , -0.033066, 0.000030, 0.000000
210944 , 0.023168 , -0.032935, 0.000030, 0.000000
211968 , 0.023214 , -0.033120, 0.000030, 0.000000
212992 , 0.023315 , -0.033150, 0.000029, 0.000000
214016 , 0.023512 , -0.033160, 0.000027, 0.000000
215040 , 0.022923 , -0.032841, 0.000033, 0.000000
216064 , 0.022530 , -0.033108, 0.000038, 0.000000
217088 , 0.022622 , -0.033226, 0.000037, 0.000000
218112 , 0.022710 , -0.033232, 0.000036, 0.000000
219136 , 0.022895 , -0.033536, 0.000033, 0.000001
220160 , 0.022876 , -0.033542, 0.000034, 0.000001
221184 , 0.022742 , -0.033570, 0.000035, 0.000001
222208 , 0.022840 , -0.033541, 0.000034, 0.000001
223232 , 0.023210 , -0.033858, 0.000030, 0.000002
224256 , 0.023024 , -0.033473, 0.000032, 0.000001
225280 , 0.022988 , -0.033416, 0.000032, 0.000001
226304 , 0.022775 , -0.033568, 0.000035, 0.000001
227328 , 0.023237 , -0.033701, 0.000030, 0.000001
228352 , 0.023228 , -0.033716, 0.000030, 0.000001
229376 , 0.023201 , -0.033855, 0.000030, 0.000002
230400 , 0.023100 , -0.033704, 0.000031, 0.000001
231424 , 0.023142 , -0.033460, 0.000031, 0.000001
232448 , 0.022994 , -0.033669, 0.000032, 0.000001
233472 , 0.022810 , -0.033654, 0.000034, 0.000001
234496 , 0.022960 , -0.033790, 0.000033, 0.000001
235520 , 0.023052 , -0.033814, 0.000032, 0.000001
236544 , 0.023128 , -0.033535, 0.000031, 0.000001
237568 , 0.023333 , -0.033425, 0.000029, 0.000001
238592 , 0.023443 , -0.033476, 0.000027, 0.000001
239616 , 0.023450 , -0.033583, 0.000027, 0.000001
240640 , 0.023507 , -0.033769, 0.000027, 0.000001
241664 , 0.023576 , -0.033788, 0.000026, 0.000001
242688 , 0.023655 , -0.033744, 0.000025, 0.000001
243712 , 0.023570 , -0.033601, 0.000026, 0.000001
244736 , 0.023810 , -0.033848, 0.000024, 0.000002
245760 , 0.023646 , -0.033789, 0.000025, 0.000001
246784 , 0.023787 , -0.033784, 0.000024, 0.000001
247808 , 0.024020 , -0.033887, 0.000022, 0.000002
248832 , 0.023943 , -0.033791, 0.000022, 0.000001
249856 , 0.023721 , -0.033701, 0.000025, 0.000001
250880 , 0.023735 , -0.033775, 0.000024, 0.000001
251904 , 0.023438 , -0.033679, 0.000027, 0.000001
252928 , 0.023853 , -0.033726, 0.000023, 0.000001
253952 , 0.024113 , -0.033608, 0.000021, 0.000001
254976 , 0.023966 , -0.033546, 0.000022, 0.000001
256000 , 0.024051 , -0.033439, 0.000021, 0.000001
257024 , 0.024017 , -0.033416, 0.000022, 0.000001
258048 , 0.024290 , -0.033233, 0.000019, 0.000000
259072 , 0.024662 , -0.033021, 0.000016, 0.000000
260096 , 0.024519 , -0.033085, 0.000017, 0.000000
261120 , 0.024517 , -0.033176, 0.000017, 0.000000
262144 , 0.024455 , -0.033127, 0.000018, 0.000000
263168 , 0.024720 , -0.032981, 0.000016, 0.000000
264192 , 0.024744 , -0.033087, 0.000015, 0.000000
265216 , 0.024659 , -0.033134, 0.000016, 0.000000
266240 , 0.024735 , -0.033127, 0.000016, 0.000000
267264 , 0.024782 , -0.033147, 0.000015, 0.000000
268288 , 0.024727 , -0.032923, 0.000016, 0.000000
269312 , 0.024515 , -0.032709, 0.000017, 0.000000
270336 , 0.024528 , -0.032578, 0.000017, 0.000000
