trueR , trueI
0.028675 , -0.032617
n_samples , estimateR , estimateI, varianceR, varianceI
488448 , 0.025159 , -0.032876, 0.000012, 0.000000
489472 , 0.025186 , -0.032781, 0.000012, 0.000000
490496 , 0.025223 , -0.032695, 0.000012, 0.000000
491520 , 0.025268 , -0.032608, 0.000012, 0.000000
492544 , 0.025319 , -0.032599, 0.000011, 0.000000
493568 , 0.025453 , -0.032604, 0.000010, 0.000000
494592 , 0.025441 , -0.032453, 0.000010, 0.000000
495616 , 0.025438 , -0.032370, 0.000010, 0.000000
496640 , 0.025315 , -0.032393, 0.000011, 0.000000
497664 , 0.025372 , -0.032314, 0.000011, 0.000000
498688 , 0.025365 , -0.032331, 0.000011, 0.000000
499712 , 0.025426 , -0.032265, 0.000011, 0.000000
500736 , 0.025562 , -0.032215, 0.000010, 0.000000
501760 , 0.025657 , -0.032165, 0.000009, 0.000000
502784 , 0.025589 , -0.032137, 0.000010, 0.000000
503808 , 0.025604 , -0.032167, 0.000009, 0.000000
504832 , 0.025742 , -0.032230, 0.000009, 0.000000
505856 , 0.025699 , -0.032176, 0.000009, 0.000000
506880 , 0.025781 , -0.032367, 0.000008, 0.000000
507904 , 0.025680 , -0.032379, 0.000009, 0.000000
508928 , 0.025691 , -0.032418, 0.000009, 0.000000
509952 , 0.025785 , -0.032423, 0.000008, 0.000000
510976 , 0.025727 , -0.032400, 0.000009, 0.000000
512000 , 0.025713 , -0.032560, 0.000009, 0.000000
513024 , 0.025745 , -0.032403, 0.000009, 0.000000
514048 , 0.025657 , -0.032352, 0.000009, 0.000000
515072 , 0.025516 , -0.032432, 0.000010, 0.000000
516096 , 0.025482 , -0.032309, 0.000010, 0.000000
517120 , 0.025435 , -0.032283, 0.000010, 0.000000
518144 , 0.025405 , -0.032311, 0.000011, 0.000000
519168 , 0.025288 , -0.032326, 0.000011, 0.000000
520192 , 0.025344 , -0.032456, 0.000011, 0.000000
521216 , 0.025374 , -0.032335, 0.000011, 0.000000
522240 , 0.025364 , -0.032376, 0.000011, 0.000000
523264 , 0.025335 , -0.032372, 0.000011, 0.000000
524288 , 0.025375 , -0.032304, 0.000011, 0.000000
525312 , 0.025509 , -0.032374, 0.000010, 0.000000
526336 , 0.025509 , -0.032365, 0.000010, 0.000000
527360 , 0.025377 , -0.032302, 0.000011, 0.000000
528384 , 0.025370 , -0.032323, 0.000011, 0.000000
529408 , 0.025326 , -0.032476, 0.000011, 0.000000
530432 , 0.025365 , -0.032485, 0.000011, 0.000000
531456 , 0.025264 , -0.032546, 0.000012, 0.000000
532480 , 0.025240 , -0.032425, 0.000012, 0.000000
533504 , 0.025241 , -0.032370, 0.000012, 0.000000
534528 , 0.025365 , -0.032373, 0.000011, 0.000000
535552 , 0.025353 , -0.032452, 0.000011, 0.000000
536576 , 0.025409 , -0.032356, 0.000011, 0.000000
537600 , 0.025367 , -0.032322, 0.000011, 0.000000
538624 , 0.025392 , -0.032346, 0.000011, 0.000000
539648 , 0.025561 , -0.032327, 0.000010, 0.000000
540672 , 0.025738 , -0.032379, 0.000009, 0.000000
541696 , 0.025694 , -0.032426, 0.000009, 0.000000
542720 , 0.025671 , -0.032350, 0.000009, 0.000000
543744 , 0.025710 , -0.032445, 0.000009, 0.000000
544768 , 0.025544 , -0.032446, 0.000010, 0.000000
545792 , 0.025570 , -0.032506, 0.000010, 0.000000
546816 , 0.025651 , -0.032472, 0.000009, 0.000000
547840 , 0.025798 , -0.032501, 0.000008, 0.000000
548864 , 0.025840 , -0.032467, 0.000008, 0.000000
549888 , 0.025803 , -0.032526, 0.000008, 0.000000
550912 , 0.025710 , -0.032560, 0.000009, 0.000000
551936 , 0.025775 , -0.032620, 0.000008, 0.000000
552960 , 0.025815 , -0.032633, 0.000008, 0.000000
553984 , 0.025814 , -0.032700, 0.000008, 0.000000
555008 , 0.025646 , -0.032608, 0.000009, 0.000000
556032 , 0.025556 , -0.032685, 0.000010, 0.000000
557056 , 0.025623 , -0.032629, 0.000009, 0.000000
558080 , 0.025845 , -0.032626, 0.000008, 0.000000
559104 , 0.025793 , -0.032639, 0.000008, 0.000000
560128 , 0.025865 , -0.032667, 0.000008, 0.000000
561152 , 0.025909 , -0.032775, 0.000008, 0.000000
562176 , 0.025940 , -0.032896, 0.000007, 0.000000
563200 , 0.025805 , -0.032802, 0.000008, 0.000000
564224 , 0.025755 , -0.032775, 0.000009, 0.000000
565248 , 0.025874 , -0.032855, 0.000008, 0.000000
566272 , 0.025898 , -0.032741, 0.000008, 0.000000
567296 , 0.025931 , -0.032587, 0.000008, 0.000000
568320 , 0.025981 , -0.032603, 0.000007, 0.000000
569344 , 0.026141 , -0.032603, 0.000006, 0.000000
570368 , 0.026189 , -0.032630, 0.000006, 0.000000
571392 , 0.026253 , -0.032669, 0.000006, 0.000000
572416 , 0.026124 , -0.032720, 0.000007, 0.000000
573440 , 0.026109 , -0.032832, 0.000007, 0.000000
574464 , 0.026221 , -0.032626, 0.000006, 0.000000
575488 , 0.026191 , -0.032617, 0.000006, 0.000000
576512 , 0.026084 , -0.032650, 0.000007, 0.000000
577536 , 0.026212 , -0.032641, 0.000006, 0.000000
578560 , 0.026259 , -0.032699, 0.000006, 0.000000
579584 , 0.026382 , -0.032680, 0.000005, 0.000000
580608 , 0.026432 , -0.032732, 0.000005, 0.000000
581632 , 0.026506 , -0.032562, 0.000005, 0.000000
582656 , 0.026491 , -0.032505, 0.000005, 0.000000
583680 , 0.026379 , -0.032482, 0.000005, 0.000000
584704 , 0.026391 , -0.032474, 0.000005, 0.000000
585728 , 0.026370 , -0.032495, 0.000005, 0.000000
586752 , 0.026341 , -0.032426, 0.000005, 0.000000
587776 , 0.026318 , -0.032476, 0.000006, 0.000000
588800 , 0.026283 , -0.032453, 0.000006, 0.000000
589824 , 0.026275 , -0.032405, 0.000006, 0.000000
590848 , 0.026088 , -0.032428, 0.000007, 0.000000
591872 , 0.026032 , -0.032448, 0.000007, 0.000000
592896 , 0.026121 , -0.032588, 0.000007, 0.000000
593920 , 0.026172 , -0.032679, 0.000006, 0.000000
594944 , 0.026176 , -0.032826, 0.000006, 0.000000
595968 , 0.026382 , -0.032859, 0.000005, 0.000000
596992 , 0.026364 , -0.032875, 0.000005, 0.000000
598016 , 0.026192 , -0.032769, 0.000006, 0.000000
599040 , 0.026252 , -0.032770, 0.000006, 0.000000
600064 , 0.026270 , -0.032806, 0.000006, 0.000000
601088 , 0.026349 , -0.032864, 0.000005, 0.000000
602112 , 0.026329 , -0.032845, 0.000006, 0.000000
603136 , 0.026373 , -0.032844, 0.000005, 0.000000
604160 , 0.026374 , -0.032852, 0.000005, 0.000000
605184 , 0.026420 , -0.032884, 0.000005, 0.000000
606208 , 0.026304 , -0.032956, 0.000006, 0.000000
607232 , 0.026097 , -0.033021, 0.000007, 0.000000
608256 , 0.026077 , -0.033002, 0.000007, 0.000000
609280 , 0.026102 , -0.033020, 0.000007, 0.000000
610304 , 0.026074 , -0.033157, 0.000007, 0.000000
611328 , 0.026230 , -0.033161, 0.000006, 0.000000
612352 , 0.026229 , -0.033213, 0.000006, 0.000000
613376 , 0.026414 , -0.033253, 0.000005, 0.000000
614400 , 0.026311 , -0.033289, 0.000006, 0.000000
615424 , 0.026320 , -0.033331, 0.000006, 0.000001
616448 , 0.026343 , -0.033312, 0.000005, 0.000000
617472 , 0.026349 , -0.033376, 0.000005, 0.000001
618496 , 0.026405 , -0.033389, 0.000005, 0.000001
619520 , 0.026350 , -0.033340, 0.000005, 0.000001
620544 , 0.026349 , -0.033351, 0.000005, 0.000001
621568 , 0.026274 , -0.033319, 0.000006, 0.000000
622592 , 0.026261 , -0.033394, 0.000006, 0.000001
623616 , 0.026251 , -0.033280, 0.000006, 0.000000
624640 , 0.026307 , -0.033264, 0.000006, 0.000000
625664 , 0.026174 , -0.033231, 0.000006, 0.000000
626688 , 0.026141 , -0.033159, 0.000006, 0.000000
627712 , 0.026175 , -0.033106, 0.000006, 0.000000
628736 , 0.026323 , -0.033021, 0.000006, 0.000000
629760 , 0.026379 , -0.033058, 0.000005, 0.000000
630784 , 0.026519 , -0.033112, 0.000005, 0.000000
631808 , 0.026570 , -0.033174, 0.000004, 0.000000
632832 , 0.026476 , -0.033274, 0.000005, 0.000000
633856 , 0.026441 , -0.033281, 0.000005, 0.000000
634880 , 0.026407 , -0.033173, 0.000005, 0.000000
635904 , 0.026373 , -0.033161, 0.000005, 0.000000
636928 , 0.026425 , -0.033132, 0.000005, 0.000000
637952 , 0.026382 , -0.033158, 0.000005, 0.000000
638976 , 0.026491 , -0.033119, 0.000005, 0.000000
640000 , 0.026458 , -0.033178, 0.000005, 0.000000
641024 , 0.026524 , -0.033219, 0.000005, 0.000000
642048 , 0.026307 , -0.033164, 0.000006, 0.000000
643072 , 0.026270 , -0.033240, 0.000006, 0.000000
644096 , 0.026452 , -0.033230, 0.000005, 0.000000
645120 , 0.026497 , -0.033170, 0.000005, 0.000000
646144 , 0.026457 , -0.033182, 0.000005, 0.000000
647168 , 0.026370 , -0.033157, 0.000005, 0.000000
648192 , 0.026282 , -0.033156, 0.000006, 0.000000
649216 , 0.026280 , -0.033248, 0.000006, 0.000000
650240 , 0.026299 , -0.033259, 0.000006, 0.000000
651264 , 0.026272 , -0.033207, 0.000006, 0.000000
652288 , 0.026236 , -0.033153, 0.000006, 0.000000
653312 , 0.026205 , -0.033111, 0.000006, 0.000000
654336 , 0.026065 , -0.033023, 0.000007, 0.000000
655360 , 0.025968 , -0.032956, 0.000007, 0.000000
656384 , 0.025932 , -0.032910, 0.000008, 0.000000
657408 , 0.025869 , -0.032914, 0.000008, 0.000000
658432 , 0.025842 , -0.032952, 0.000008, 0.000000
659456 , 0.025857 , -0.032993, 0.000008, 0.000000
660480 , 0.025836 , -0.032904, 0.000008, 0.000000
661504 , 0.025969 , -0.032919, 0.000007, 0.000000
662528 , 0.025998 , -0.032894, 0.000007, 0.000000
663552 , 0.026019 , -0.032865, 0.000007, 0.000000
664576 , 0.025989 , -0.032897, 0.000007, 0.000000
665600 , 0.025897 , -0.032813, 0.000008, 0.000000
666624 , 0.025816 , -0.032818, 0.000008, 0.000000
667648 , 0.025917 , -0.032711, 0.000008, 0.000000
668672 , 0.025881 , -0.032712, 0.000008, 0.000000
669696 , 0.025842 , -0.032704, 0.000008, 0.000000
670720 , 0.025957 , -0.032624, 0.000007, 0.000000
671744 , 0.026025 , -0.032537, 0.000007, 0.000000
672768 , 0.026056 , -0.032425, 0.000007, 0.000000
673792 , 0.026017 , -0.032396, 0.000007, 0.000000
674816 , 0.026139 , -0.032282, 0.000006, 0.000000
675840 , 0.026201 , -0.032308, 0.000006, 0.000000
676864 , 0.026212 , -0.032338, 0.000006, 0.000000
677888 , 0.026251 , -0.032329, 0.000006, 0.000000
678912 , 0.026265 , -0.032403, 0.000006, 0.000000
679936 , 0.026184 , -0.032359, 0.000006, 0.000000
680960 , 0.026156 , -0.032392, 0.000006, 0.000000
681984 , 0.026132 , -0.032386, 0.000006, 0.000000
683008 , 0.026050 , -0.032413, 0.000007, 0.000000
684032 , 0.026076 , -0.032415, 0.000007, 0.000000
685056 , 0.026095 , -0.032357, 0.000007, 0.000000
686080 , 0.026026 , -0.032392, 0.000007, 0.000000
687104 , 0.026104 , -0.032411, 0.000007, 0.000000
688128 , 0.026177 , -0.032387, 0.000006, 0.000000
689152 , 0.026100 , -0.032447, 0.000007, 0.000000
690176 , 0.026143 , -0.032537, 0.000006, 0.000000
691200 , 0.026247 , -0.032540, 0.000006, 0.000000
692224 , 0.026215 , -0.032567, 0.000006, 0.000000
693248 , 0.026245 , -0.032615, 0.000006, 0.000000
694272 , 0.026248 , -0.032611, 0.000006, 0.000000
695296 , 0.026091 , -0.032667, 0.000007, 0.000000
696320 , 0.026064 , -0.032734, 0.000007, 0.000000
697344 , 0.026137 , -0.032802, 0.000006, 0.000000
698368 , 0.026194 , -0.032851, 0.000006, 0.000000
699392 , 0.026216 , -0.032846, 0.000006, 0.000000
700416 , 0.026244 , -0.032921, 0.000006, 0.000000
701440 , 0.026320 , -0.032905, 0.000006, 0.000000
702464 , 0.026123 , -0.032830, 0.000007, 0.000000
703488 , 0.025945 , -0.032879, 0.000007, 0.000000
704512 , 0.025948 , -0.032836, 0.000007, 0.000000
705536 , 0.025994 , -0.032615, 0.000007, 0.000000
706560 , 0.026001 , -0.032589, 0.000007, 0.000000
707584 , 0.025999 , -0.032682, 0.000007, 0.000000
708608 , 0.026111 , -0.032682, 0.000007, 0.000000
709632 , 0.026137 , -0.032675, 0.000006, 0.000000
710656 , 0.026091 , -0.032720, 0.000007, 0.000000
711680 , 0.026008 , -0.032646, 0.000007, 0.000000
712704 , 0.026032 , -0.032635, 0.000007, 0.000000
713728 , 0.026039 , -0.032618, 0.000007, 0.000000
714752 , 0.025963 , -0.032658, 0.000007, 0.000000
715776 , 0.025976 , -0.032660, 0.000007, 0.000000
716800 , 0.025933 , -0.032629, 0.000008, 0.000000
717824 , 0.025883 , -0.032657, 0.000008, 0.000000
718848 , 0.025876 , -0.032670, 0.000008, 0.000000
719872 , 0.025821 , -0.032615, 0.000008, 0.000000
720896 , 0.025741 , -0.032598, 0.000009, 0.000000
721920 , 0.025562 , -0.032585, 0.000010, 0.000000
722944 , 0.025539 , -0.032640, 0.000010, 0.000000
723968 , 0.025572 , -0.032648, 0.000010, 0.000000
724992 , 0.025685 , -0.032558, 0.000009, 0.000000
726016 , 0.025666 , -0.032636, 0.000009, 0.000000
727040 , 0.025698 , -0.032656, 0.000009, 0.000000
728064 , 0.025750 , -0.032741, 0.000009, 0.000000
729088 , 0.025718 , -0.032844, 0.000009, 0.000000
730112 , 0.025829 , -0.032882, 0.000008, 0.000000
731136 , 0.025801 , -0.032942, 0.000008, 0.000000
732160 , 0.025704 , -0.032973, 0.000009, 0.000000
733184 , 0.025684 , -0.033020, 0.000009, 0.000000
734208 , 0.025758 , -0.033027, 0.000009, 0.000000
735232 , 0.025736 , -0.033025, 0.000009, 0.000000
736256 , 0.025656 , -0.033014, 0.000009, 0.000000
737280 , 0.025708 , -0.033040, 0.000009, 0.000000
738304 , 0.025864 , -0.033020, 0.000008, 0.000000
739328 , 0.025894 , -0.032985, 0.000008, 0.000000
740352 , 0.025884 , -0.033034, 0.000008, 0.000000
741376 , 0.025850 , -0.033032, 0.000008, 0.000000
742400 , 0.025793 , -0.033011, 0.000008, 0.000000
743424 , 0.025843 , -0.033068, 0.000008, 0.000000
744448 , 0.025950 , -0.033104, 0.000007, 0.000000
745472 , 0.025972 , -0.033138, 0.000007, 0.000000
746496 , 0.026014 , -0.033160, 0.000007, 0.000000
747520 , 0.025954 , -0.033213, 0.000007, 0.000000
748544 , 0.025955 , -0.033137, 0.000007, 0.000000
749568 , 0.025907 , -0.033104, 0.000008, 0.000000
750592 , 0.025923 , -0.033151, 0.000008, 0.000000
751616 , 0.025930 , -0.033171, 0.000008, 0.000000
752640 , 0.026013 , -0.033267, 0.000007, 0.000000
753664 , 0.026061 , -0.033284, 0.000007, 0.000000
754688 , 0.026024 , -0.033362, 0.000007, 0.000001
755712 , 0.026011 , -0.033475, 0.000007, 0.000001
756736 , 0.026002 , -0.033420, 0.000007, 0.000001
757760 , 0.026043 , -0.033443, 0.000007, 0.000001
758784 , 0.025995 , -0.033466, 0.000007, 0.000001
759808 , 0.025966 , -0.033410, 0.000007, 0.000001
760832 , 0.026072 , -0.033405, 0.000007, 0.000001
761856 , 0.026060 , -0.033445, 0.000007, 0.000001
762880 , 0.026116 , -0.033420, 0.000007, 0.000001
763904 , 0.026167 , -0.033385, 0.000006, 0.000001
764928 , 0.026228 , -0.033359, 0.000006, 0.000001
765952 , 0.026152 , -0.033345, 0.000006, 0.000001
766976 , 0.026101 , -0.033322, 0.000007, 0.000000
768000 , 0.026061 , -0.033326, 0.000007, 0.000001
769024 , 0.025942 , -0.033382, 0.000007, 0.000001
770048 , 0.025903 , -0.033396, 0.000008, 0.000001
771072 , 0.025777 , -0.033365, 0.000008, 0.000001
772096 , 0.025858 , -0.033418, 0.000008, 0.000001
773120 , 0.025727 , -0.033407, 0.000009, 0.000001
774144 , 0.025708 , -0.033446, 0.000009, 0.000001
775168 , 0.025727 , -0.033491, 0.000009, 0.000001
776192 , 0.025690 , -0.033405, 0.000009, 0.000001
777216 , 0.025715 , -0.033312, 0.000009, 0.000000
778240 , 0.025704 , -0.033253, 0.000009, 0.000000
779264 , 0.025670 , -0.033275, 0.000009, 0.000000
780288 , 0.025734 , -0.033267, 0.000009, 0.000000
781312 , 0.025719 , -0.033274, 0.000009, 0.000000
782336 , 0.025763 , -0.033251, 0.000008, 0.000000
783360 , 0.025758 , -0.033265, 0.000009, 0.000000
784384 , 0.025738 , -0.033286, 0.000009, 0.000000
785408 , 0.025748 , -0.033282, 0.000009, 0.000000
786432 , 0.025679 , -0.033254, 0.000009, 0.000000
787456 , 0.025563 , -0.033217, 0.000010, 0.000000
788480 , 0.025575 , -0.033174, 0.000010, 0.000000
789504 , 0.025521 , -0.033202, 0.000010, 0.000000
790528 , 0.025507 , -0.033131, 0.000010, 0.000000
791552 , 0.025437 , -0.033177, 0.000010, 0.000000
792576 , 0.025491 , -0.033116, 0.000010, 0.000000
793600 , 0.025544 , -0.033177, 0.000010, 0.000000
794624 , 0.025608 , -0.033121, 0.000009, 0.000000
795648 , 0.025678 , -0.033185, 0.000009, 0.000000
796672 , 0.025576 , -0.033188, 0.000010, 0.000000
797696 , 0.025540 , -0.033223, 0.000010, 0.000000
798720 , 0.025556 , -0.033225, 0.000010, 0.000000
799744 , 0.025510 , -0.033178, 0.000010, 0.000000
800768 , 0.025526 , -0.033158, 0.000010, 0.000000
801792 , 0.025458 , -0.033200, 0.000010, 0.000000
802816 , 0.025514 , -0.033249, 0.000010, 0.000000
803840 , 0.025475 , -0.033196, 0.000010, 0.000000
804864 , 0.025520 , -0.033294, 0.000010, 0.000000
805888 , 0.025497 , -0.033321, 0.000010, 0.000000
806912 , 0.025514 , -0.033316, 0.000010, 0.000000
807936 , 0.025615 , -0.033366, 0.000009, 0.000001
808960 , 0.025718 , -0.033422, 0.000009, 0.000001
809984 , 0.025685 , -0.033405, 0.000009, 0.000001
811008 , 0.025701 , -0.033378, 0.000009, 0.000001
812032 , 0.025741 , -0.033348, 0.000009, 0.000001
813056 , 0.025793 , -0.033300, 0.000008, 0.000000
814080 , 0.025859 , -0.033299, 0.000008, 0.000000
815104 , 0.025875 , -0.033314, 0.000008, 0.000000
816128 , 0.025810 , -0.033264, 0.000008, 0.000000
817152 , 0.025819 , -0.033198, 0.000008, 0.000000
818176 , 0.025866 , -0.033203, 0.000008, 0.000000
819200 , 0.025949 , -0.033171, 0.000007, 0.000000
820224 , 0.025950 , -0.033225, 0.000007, 0.000000
821248 , 0.025931 , -0.033184, 0.000008, 0.000000
822272 , 0.025912 , -0.033118, 0.000008, 0.000000
823296 , 0.025904 , -0.033066, 0.000008, 0.000000
824320 , 0.025814 , -0.032967, 0.000008, 0.000000
825344 , 0.025791 , -0.032985, 0.000008, 0.000000
826368 , 0.025827 , -0.032919, 0.000008, 0.000000
827392 , 0.025831 , -0.033016, 0.000008, 0.000000
828416 , 0.025866 , -0.032943, 0.000008, 0.000000
829440 , 0.025833 , -0.032902, 0.000008, 0.000000
830464 , 0.025833 , -0.032812, 0.000008, 0.000000
831488 , 0.025872 , -0.032919, 0.000008, 0.000000
832512 , 0.025825 , -0.032913, 0.000008, 0.000000
833536 , 0.025973 , -0.032898, 0.000007, 0.000000
834560 , 0.025912 , -0.032818, 0.000008, 0.000000
835584 , 0.025888 , -0.032811, 0.000008, 0.000000
836608 , 0.025861 , -0.032792, 0.000008, 0.000000
837632 , 0.025917 , -0.032876, 0.000008, 0.000000
838656 , 0.025939 , -0.032834, 0.000007, 0.000000
839680 , 0.025986 , -0.032917, 0.000007, 0.000000
840704 , 0.025993 , -0.032864, 0.000007, 0.000000
841728 , 0.025985 , -0.032835, 0.000007, 0.000000
842752 , 0.025987 , -0.032755, 0.000007, 0.000000
843776 , 0.025995 , -0.032726, 0.000007, 0.000000
844800 , 0.026021 , -0.032764, 0.000007, 0.000000
845824 , 0.026050 , -0.032742, 0.000007, 0.000000
846848 , 0.026009 , -0.032721, 0.000007, 0.000000
847872 , 0.025965 , -0.032702, 0.000007, 0.000000
848896 , 0.025969 , -0.032751, 0.000007, 0.000000
849920 , 0.025986 , -0.032752, 0.000007, 0.000000
850944 , 0.026044 , -0.032664, 0.000007, 0.000000
851968 , 0.026041 , -0.032678, 0.000007, 0.000000
852992 , 0.026090 , -0.032679, 0.000007, 0.000000
854016 , 0.026132 , -0.032703, 0.000006, 0.000000
855040 , 0.026188 , -0.032701, 0.000006, 0.000000
856064 , 0.026172 , -0.032752, 0.000006, 0.000000
857088 , 0.026196 , -0.032751, 0.000006, 0.000000
858112 , 0.026263 , -0.032709, 0.000006, 0.000000
859136 , 0.026478 , -0.032766, 0.000005, 0.000000
860160 , 0.026536 , -0.032859, 0.000005, 0.000000
861184 , 0.026661 , -0.032847, 0.000004, 0.000000
862208 , 0.026709 , -0.032849, 0.000004, 0.000000
863232 , 0.026697 , -0.032871, 0.000004, 0.000000
864256 , 0.026691 , -0.032857, 0.000004, 0.000000
865280 , 0.026645 , -0.032870, 0.000004, 0.000000
866304 , 0.026597 , -0.032812, 0.000004, 0.000000
867328 , 0.026642 , -0.032827, 0.000004, 0.000000
868352 , 0.026587 , -0.032908, 0.000004, 0.000000
869376 , 0.026577 , -0.032917, 0.000004, 0.000000
870400 , 0.026569 , -0.032936, 0.000004, 0.000000
871424 , 0.026492 , -0.032975, 0.000005, 0.000000
872448 , 0.026396 , -0.032926, 0.000005, 0.000000
873472 , 0.026305 , -0.032879, 0.000006, 0.000000
874496 , 0.026299 , -0.032917, 0.000006, 0.000000
875520 , 0.026304 , -0.032898, 0.000006, 0.000000
876544 , 0.026321 , -0.032827, 0.000006, 0.000000
877568 , 0.026363 , -0.032892, 0.000005, 0.000000
878592 , 0.026309 , -0.032907, 0.000006, 0.000000
879616 , 0.026419 , -0.032823, 0.000005, 0.000000
880640 , 0.026342 , -0.032800, 0.000005, 0.000000
881664 , 0.026359 , -0.032780, 0.000005, 0.000000
882688 , 0.026467 , -0.032833, 0.000005, 0.000000
883712 , 0.026376 , -0.032780, 0.000005, 0.000000
884736 , 0.026480 , -0.032816, 0.000005, 0.000000
885760 , 0.026458 , -0.032894, 0.000005, 0.000000
886784 , 0.026551 , -0.032988, 0.000005, 0.000000
887808 , 0.026627 , -0.032995, 0.000004, 0.000000
888832 , 0.026623 , -0.033056, 0.000004, 0.000000
889856 , 0.026585 , -0.033086, 0.000004, 0.000000
890880 , 0.026668 , -0.033078, 0.000004, 0.000000
891904 , 0.026670 , -0.033126, 0.000004, 0.000000
892928 , 0.026653 , -0.033151, 0.000004, 0.000000
893952 , 0.026652 , -0.033102, 0.000004, 0.000000
894976 , 0.026678 , -0.033052, 0.000004, 0.000000
896000 , 0.026625 , -0.033093, 0.000004, 0.000000
897024 , 0.026604 , -0.033144, 0.000004, 0.000000
898048 , 0.026673 , -0.033157, 0.000004, 0.000000
899072 , 0.026714 , -0.033117, 0.000004, 0.000000
900096 , 0.026754 , -0.033114, 0.000004, 0.000000
901120 , 0.026798 , -0.033155, 0.000004, 0.000000
902144 , 0.026800 , -0.033122, 0.000004, 0.000000
903168 , 0.026757 , -0.033168, 0.000004, 0.000000
904192 , 0.026746 , -0.033238, 0.000004, 0.000000
905216 , 0.026807 , -0.033184, 0.000003, 0.000000
906240 , 0.026814 , -0.033162, 0.000003, 0.000000
907264 , 0.026813 , -0.033207, 0.000003, 0.000000
908288 , 0.026813 , -0.033205, 0.000003, 0.000000
909312 , 0.026789 , -0.033220, 0.000004, 0.000000
910336 , 0.026860 , -0.033228, 0.000003, 0.000000
911360 , 0.026767 , -0.033089, 0.000004, 0.000000
912384 , 0.026799 , -0.033046, 0.000004, 0.000000
913408 , 0.026689 , -0.033026, 0.000004, 0.000000
914432 , 0.026647 , -0.033078, 0.000004, 0.000000
915456 , 0.026629 , -0.033093, 0.000004, 0.000000
916480 , 0.026608 , -0.033109, 0.000004, 0.000000
917504 , 0.026554 , -0.033085, 0.000004, 0.000000
918528 , 0.026553 , -0.033090, 0.000005, 0.000000
919552 , 0.026602 , -0.033172, 0.000004, 0.000000
920576 , 0.026489 , -0.033140, 0.000005, 0.000000
921600 , 0.026609 , -0.033174, 0.000004, 0.000000
922624 , 0.026581 , -0.033153, 0.000004, 0.000000
923648 , 0.026469 , -0.033110, 0.000005, 0.000000
924672 , 0.026484 , -0.033133, 0.000005, 0.000000
925696 , 0.026404 , -0.033126, 0.000005, 0.000000
926720 , 0.026429 , -0.033159, 0.000005, 0.000000
927744 , 0.026453 , -0.033139, 0.000005, 0.000000
928768 , 0.026335 , -0.033196, 0.000005, 0.000000
929792 , 0.026312 , -0.033190, 0.000006, 0.000000
930816 , 0.026312 , -0.033221, 0.000006, 0.000000
931840 , 0.026298 , -0.033251, 0.000006, 0.000000
932864 , 0.026235 , -0.033210, 0.000006, 0.000000
933888 , 0.026346 , -0.033176, 0.000005, 0.000000
934912 , 0.026289 , -0.033150, 0.000006, 0.000000
935936 , 0.026313 , -0.033231, 0.000006, 0.000000
936960 , 0.026275 , -0.033154, 0.000006, 0.000000
937984 , 0.026280 , -0.033163, 0.000006, 0.000000
939008 , 0.026097 , -0.033109, 0.000007, 0.000000
940032 , 0.025987 , -0.033107, 0.000007, 0.000000
941056 , 0.025897 , -0.033074, 0.000008, 0.000000
942080 , 0.025977 , -0.033070, 0.000007, 0.000000
943104 , 0.025926 , -0.033091, 0.000008, 0.000000
944128 , 0.025864 , -0.033118, 0.000008, 0.000000
945152 , 0.025864 , -0.033157, 0.000008, 0.000000
946176 , 0.025888 , -0.033163, 0.000008, 0.000000
947200 , 0.025973 , -0.033168, 0.000007, 0.000000
948224 , 0.025921 , -0.033113, 0.000008, 0.000000
949248 , 0.025902 , -0.033039, 0.000008, 0.000000
950272 , 0.025923 , -0.032954, 0.000008, 0.000000
951296 , 0.026006 , -0.032925, 0.000007, 0.000000
952320 , 0.026068 , -0.032918, 0.000007, 0.000000
953344 , 0.026039 , -0.032924, 0.000007, 0.000000
954368 , 0.026053 , -0.032832, 0.000007, 0.000000
955392 , 0.026109 , -0.032806, 0.000007, 0.000000
956416 , 0.026010 , -0.032762, 0.000007, 0.000000
957440 , 0.026064 , -0.032778, 0.000007, 0.000000
958464 , 0.026069 , -0.032817, 0.000007, 0.000000
959488 , 0.026078 , -0.032778, 0.000007, 0.000000
960512 , 0.026097 , -0.032808, 0.000007, 0.000000
961536 , 0.026072 , -0.032892, 0.000007, 0.000000
962560 , 0.026067 , -0.032876, 0.000007, 0.000000
963584 , 0.026081 , -0.032801, 0.000007, 0.000000
964608 , 0.026152 , -0.032865, 0.000006, 0.000000
965632 , 0.026117 , -0.032827, 0.000007, 0.000000
966656 , 0.026108 , -0.032871, 0.000007, 0.000000
967680 , 0.026197 , -0.032873, 0.000006, 0.000000
968704 , 0.026090 , -0.032856, 0.000007, 0.000000
969728 , 0.026111 , -0.032828, 0.000007, 0.000000
970752 , 0.026084 , -0.032817, 0.000007, 0.000000
971776 , 0.026108 , -0.032883, 0.000007, 0.000000
972800 , 0.026056 , -0.032946, 0.000007, 0.000000
973824 , 0.026003 , -0.032943, 0.000007, 0.000000
974848 , 0.026004 , -0.032924, 0.000007, 0.000000
975872 , 0.025977 , -0.032924, 0.000007, 0.000000
976896 , 0.025958 , -0.032955, 0.000007, 0.000000
977920 , 0.025978 , -0.033010, 0.000007, 0.000000
978944 , 0.025900 , -0.032969, 0.000008, 0.000000
979968 , 0.025923 , -0.032966, 0.000008, 0.000000
