trueR , trueI
0.318325 , -0.041093
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 10240 , 0.324353 , -0.039359, 0.000036, 0.000003
2048 , 20480 , 0.304042 , -0.035360, 0.000204, 0.000033
3072 , 30720 , 0.311030 , -0.037100, 0.000053, 0.000016
4096 , 40960 , 0.315417 , -0.038258, 0.000008, 0.000008
5120 , 51200 , 0.325555 , -0.039772, 0.000052, 0.000002
6144 , 61440 , 0.333132 , -0.042683, 0.000219, 0.000003
7168 , 71680 , 0.333354 , -0.042267, 0.000226, 0.000001
8192 , 81920 , 0.332461 , -0.043428, 0.000200, 0.000005
9216 , 92160 , 0.331471 , -0.043166, 0.000173, 0.000004
10240 , 102400 , 0.335549 , -0.043654, 0.000297, 0.000007
11264 , 112640 , 0.328696 , -0.043143, 0.000108, 0.000004
12288 , 122880 , 0.327418 , -0.042710, 0.000083, 0.000003
13312 , 133120 , 0.329051 , -0.042783, 0.000115, 0.000003
14336 , 143360 , 0.328817 , -0.042320, 0.000110, 0.000002
15360 , 153600 , 0.326334 , -0.042242, 0.000064, 0.000001
16384 , 163840 , 0.329226 , -0.043414, 0.000119, 0.000005
17408 , 174080 , 0.323558 , -0.042957, 0.000027, 0.000003
18432 , 184320 , 0.322973 , -0.042485, 0.000022, 0.000002
19456 , 194560 , 0.322074 , -0.042202, 0.000014, 0.000001
20480 , 204800 , 0.328227 , -0.047019, 0.000098, 0.000035
21504 , 215040 , 0.324191 , -0.045468, 0.000034, 0.000019
22528 , 225280 , 0.324769 , -0.045380, 0.000042, 0.000018
23552 , 235520 , 0.325160 , -0.045186, 0.000047, 0.000017
24576 , 245760 , 0.326610 , -0.045468, 0.000069, 0.000019
25600 , 256000 , 0.326961 , -0.045229, 0.000075, 0.000017
26624 , 266240 , 0.327429 , -0.045456, 0.000083, 0.000019
27648 , 276480 , 0.324171 , -0.044661, 0.000034, 0.000013
28672 , 286720 , 0.323758 , -0.044420, 0.000030, 0.000011
29696 , 296960 , 0.322445 , -0.043829, 0.000017, 0.000007
30720 , 307200 , 0.323557 , -0.043861, 0.000027, 0.000008
31744 , 317440 , 0.321668 , -0.043526, 0.000011, 0.000006
32768 , 327680 , 0.320810 , -0.043222, 0.000006, 0.000005
33792 , 337920 , 0.320646 , -0.043053, 0.000005, 0.000004
34816 , 348160 , 0.320827 , -0.043015, 0.000006, 0.000004
35840 , 358400 , 0.321090 , -0.042942, 0.000008, 0.000003
36864 , 368640 , 0.320509 , -0.042542, 0.000005, 0.000002
