Alg,Circuit,DType,R_label,qubits,depth,time,init,final,samples,nodes,threads,paths,nzero_paths,estR,estI,varR,varI
IS_V,191,SP,1,3,10,66993,0,0,33554432,1,64,33554432,4031101,-2.94287711e-01,-1.86913416e-01,1.31698499e-07,7.13345472e-09
IS_V,191,SP,3,3,10,82668,0,0,33554432,1,64,33554432,4031620,-2.94485241e-01,-1.87140062e-01,2.73482570e-08,2.02171080e-08
IS_V,191,SP,2,3,10,82459,0,0,33554432,1,64,33554432,4031888,-2.94874340e-01,-1.86959982e-01,5.00533375e-08,1.43592893e-09
