trueR , trueI
-0.294651 , -0.186998
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
5461 , 5202 , 54610 , 20031 ,-0.291574,-0.188323,9.467928999999979e-06,1.755624999999981e-06,1.1223553999999959e-05,0.003350157309739344
10922 , 5482 , 109220 , 39864 ,-0.29951,-0.186365,2.360988100000002e-05,4.0068899999999327e-07,2.4010570000000015e-05,0.004900058162920111
16383 , 9371 , 163830 , 59836 ,-0.293603,-0.187046,1.098303999999986e-06,2.3039999999992794e-09,1.1006079999999853e-06,0.0010490986607559773
21844 , 9385 , 218440 , 80035 ,-0.294856,-0.188875,4.20250000000044e-08,3.523128999999962e-06,3.5651539999999663e-06,0.0018881615396993887
27305 , 9392 , 273050 , 100171 ,-0.296341,-0.188942,2.856100000000084e-06,3.779136000000005e-06,6.635236000000089e-06,0.002575895184202977
32766 , 9399 , 327660 , 120212 ,-0.298176,-0.189581,1.2425625000000002e-05,6.6718890000000105e-06,1.9097514000000013e-05,0.004370070251151578
38227 , 9405 , 382270 , 140202 ,-0.298235,-0.188931,1.2845055999999829e-05,3.7364889999999624e-06,1.658154499999979e-05,0.004072044326870692
43688 , 9412 , 436880 , 160293 ,-0.297321,-0.188577,7.12890000000003e-06,2.493240999999991e-06,9.622141000000021e-06,0.0031019576077051764
49149 , 9418 , 491490 , 180152 ,-0.295638,-0.188135,9.741690000000308e-07,1.292768999999998e-06,2.266938000000029e-06,0.001505635414036223
54610 , 13580 , 546100 , 200204 ,-0.294428,-0.188423,4.972899999998806e-08,2.0306250000000273e-06,2.0803540000000153e-06,0.0014423432323826446
60071 , 13591 , 600710 , 220386 ,-0.293492,-0.189067,1.343281000000049e-06,4.280761000000063e-06,5.624042000000112e-06,0.0023715062723931625
65532 , 13602 , 655320 , 240816 ,-0.291768,-0.188613,8.31168899999982e-06,2.6082250000000173e-06,1.0919913999999838e-05,0.0033045293159540646
70993 , 13608 , 709930 , 260979 ,-0.294647,-0.189627,1.6000000000032004e-11,6.911640999999961e-06,6.911656999999961e-06,0.002629003042980354
76454 , 13614 , 764540 , 281044 ,-0.294656,-0.189665,2.499999999977245e-11,7.1128890000000144e-06,7.1129140000000145e-06,0.00266700468691002
81915 , 13620 , 819150 , 301196 ,-0.295007,-0.188779,1.2673600000001636e-07,3.1719610000000172e-06,3.2986970000000334e-06,0.0018162315381030122
87376 , 13626 , 873760 , 321276 ,-0.294177,-0.188561,2.2467599999997577e-07,2.4429690000000275e-06,2.6676450000000032e-06,0.0016332926865690678
92837 , 13632 , 928370 , 341197 ,-0.294096,-0.186966,3.0802499999996914e-07,1.024000000000272e-09,3.090489999999694e-07,0.0005559217570845464
98298 , 13639 , 982980 , 361154 ,-0.293827,-0.187447,6.789759999999859e-07,2.0160100000000445e-07,8.805769999999903e-07,0.0009383906436021143
103759 , 13645 , 1037590 , 381174 ,-0.294358,-0.187145,8.58489999999928e-08,2.160900000000242e-08,1.0745799999999522e-07,0.0003278078705583428
109220 , 13652 , 1092200 , 401034 ,-0.295297,-0.187862,4.1731599999997404e-07,7.464960000000063e-07,1.1638119999999804e-06,0.0010788011865028608
114681 , 17644 , 1146810 , 420889 ,-0.294974,-0.187655,1.0432900000001144e-07,4.316489999999881e-07,5.359779999999995e-07,0.0007321051836997192
120142 , 23197 , 1201420 , 441195 ,-0.293316,-0.187644,1.7822249999999334e-06,4.1731600000000993e-07,2.199540999999943e-06,0.001483084960479319
