trueR , trueI
0.318325 , -0.041093
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
95232 , 95232 , 0.343488 , -0.043671, 0.000633, 0.000007
96256 , 96256 , 0.343087 , -0.043619, 0.000613, 0.000006
97280 , 97280 , 0.342753 , -0.043576, 0.000597, 0.000006
98304 , 98304 , 0.342075 , -0.043489, 0.000564, 0.000006
99328 , 99328 , 0.341793 , -0.043359, 0.000551, 0.000005
100352 , 100352 , 0.341242 , -0.043243, 0.000525, 0.000005
101376 , 101376 , 0.340969 , -0.043209, 0.000513, 0.000004
102400 , 102400 , 0.341318 , -0.043253, 0.000529, 0.000005
103424 , 103424 , 0.341232 , -0.043198, 0.000525, 0.000004
104448 , 104448 , 0.341049 , -0.043176, 0.000516, 0.000004
105472 , 105472 , 0.338825 , -0.043587, 0.000420, 0.000006
106496 , 106496 , 0.338550 , -0.043503, 0.000409, 0.000006
107520 , 107520 , 0.338643 , -0.043424, 0.000413, 0.000005
108544 , 108544 , 0.338783 , -0.043437, 0.000419, 0.000005
109568 , 109568 , 0.337655 , -0.043164, 0.000374, 0.000004
110592 , 110592 , 0.336882 , -0.043021, 0.000344, 0.000004
111616 , 111616 , 0.337738 , -0.043426, 0.000377, 0.000005
112640 , 112640 , 0.337070 , -0.043254, 0.000351, 0.000005
113664 , 113664 , 0.335758 , -0.042827, 0.000304, 0.000003
114688 , 114688 , 0.335289 , -0.042765, 0.000288, 0.000003
115712 , 115712 , 0.334735 , -0.042613, 0.000269, 0.000002
116736 , 116736 , 0.334776 , -0.042617, 0.000271, 0.000002
117760 , 117760 , 0.334368 , -0.042600, 0.000257, 0.000002
118784 , 118784 , 0.334629 , -0.042631, 0.000266, 0.000002
119808 , 119808 , 0.334430 , -0.042605, 0.000259, 0.000002
120832 , 120832 , 0.334130 , -0.042527, 0.000250, 0.000002
121856 , 121856 , 0.334164 , -0.042728, 0.000251, 0.000003
122880 , 122880 , 0.333997 , -0.042704, 0.000246, 0.000003
123904 , 123904 , 0.334204 , -0.042728, 0.000252, 0.000003
124928 , 124928 , 0.333709 , -0.042625, 0.000237, 0.000002
125952 , 125952 , 0.333609 , -0.042574, 0.000234, 0.000002
