trueR , trueI
0.000633 , -0.009456
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 8192 , 0.000585 , -0.009360, 0.000000, 0.000000
2048 , 16384 , 0.000655 , -0.008992, 0.000000, 0.000000
3072 , 24576 , 0.000755 , -0.009402, 0.000000, 0.000000
4096 , 32768 , 0.000848 , -0.009953, 0.000000, 0.000000
5120 , 40960 , 0.000794 , -0.009439, 0.000000, 0.000000
6144 , 49152 , 0.000741 , -0.008963, 0.000000, 0.000000
7168 , 57344 , 0.000723 , -0.008893, 0.000000, 0.000000
8192 , 65536 , 0.000649 , -0.008508, 0.000000, 0.000001
9216 , 73728 , 0.000657 , -0.008658, 0.000000, 0.000001
10240 , 81920 , 0.000620 , -0.008533, 0.000000, 0.000001
11264 , 90112 , 0.000653 , -0.008915, 0.000000, 0.000000
12288 , 98304 , 0.000668 , -0.009038, 0.000000, 0.000000
13312 , 106496 , 0.000658 , -0.009084, 0.000000, 0.000000
14336 , 114688 , 0.000697 , -0.009215, 0.000000, 0.000000
15360 , 122880 , 0.000692 , -0.009122, 0.000000, 0.000000
16384 , 131072 , 0.000683 , -0.009046, 0.000000, 0.000000
17408 , 139264 , 0.000715 , -0.009207, 0.000000, 0.000000
18432 , 147456 , 0.000704 , -0.009227, 0.000000, 0.000000
19456 , 155648 , 0.000701 , -0.009354, 0.000000, 0.000000
20480 , 163840 , 0.000700 , -0.009458, 0.000000, 0.000000
21504 , 172032 , 0.000705 , -0.009441, 0.000000, 0.000000
22528 , 180224 , 0.000687 , -0.009423, 0.000000, 0.000000
23552 , 188416 , 0.000715 , -0.009585, 0.000000, 0.000000
24576 , 196608 , 0.000728 , -0.009607, 0.000000, 0.000000
25600 , 204800 , 0.000733 , -0.009623, 0.000000, 0.000000
26624 , 212992 , 0.000733 , -0.009754, 0.000000, 0.000000
27648 , 221184 , 0.000713 , -0.009776, 0.000000, 0.000000
28672 , 229376 , 0.000728 , -0.009921, 0.000000, 0.000000
29696 , 237568 , 0.000733 , -0.009910, 0.000000, 0.000000
30720 , 245760 , 0.000750 , -0.010025, 0.000000, 0.000000
31744 , 253952 , 0.000753 , -0.009996, 0.000000, 0.000000
32768 , 262144 , 0.000755 , -0.010005, 0.000000, 0.000000
33792 , 270336 , 0.000749 , -0.009929, 0.000000, 0.000000
34816 , 278528 , 0.000738 , -0.009844, 0.000000, 0.000000
35840 , 286720 , 0.000734 , -0.009846, 0.000000, 0.000000
36864 , 294912 , 0.000720 , -0.009737, 0.000000, 0.000000
37888 , 303104 , 0.000722 , -0.009724, 0.000000, 0.000000
38912 , 311296 , 0.000713 , -0.009719, 0.000000, 0.000000
39936 , 319488 , 0.000713 , -0.009759, 0.000000, 0.000000
40960 , 327680 , 0.000708 , -0.009681, 0.000000, 0.000000
41984 , 335872 , 0.000711 , -0.009643, 0.000000, 0.000000
43008 , 344064 , 0.000707 , -0.009659, 0.000000, 0.000000
44032 , 352256 , 0.000718 , -0.009779, 0.000000, 0.000000
45056 , 360448 , 0.000708 , -0.009835, 0.000000, 0.000000
46080 , 368640 , 0.000701 , -0.009885, 0.000000, 0.000000
47104 , 376832 , 0.000692 , -0.009842, 0.000000, 0.000000
48128 , 385024 , 0.000692 , -0.009815, 0.000000, 0.000000
49152 , 393216 , 0.000694 , -0.009794, 0.000000, 0.000000
50176 , 401408 , 0.000690 , -0.009784, 0.000000, 0.000000
51200 , 409600 , 0.000685 , -0.009716, 0.000000, 0.000000
52224 , 417792 , 0.000681 , -0.009703, 0.000000, 0.000000
53248 , 425984 , 0.000676 , -0.009689, 0.000000, 0.000000
54272 , 434176 , 0.000679 , -0.009692, 0.000000, 0.000000
55296 , 442368 , 0.000681 , -0.009709, 0.000000, 0.000000
56320 , 450560 , 0.000662 , -0.009719, 0.000000, 0.000000
57344 , 458752 , 0.000639 , -0.009671, 0.000000, 0.000000
58368 , 466944 , 0.000638 , -0.009643, 0.000000, 0.000000
59392 , 475136 , 0.000638 , -0.009630, 0.000000, 0.000000
60416 , 483328 , 0.000621 , -0.009670, 0.000000, 0.000000
61440 , 491520 , 0.000620 , -0.009695, 0.000000, 0.000000
62464 , 499712 , 0.000614 , -0.009615, 0.000000, 0.000000
