trueR , trueI
-0.001721 , 0.001279
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
223901 , 18981 , 1791208 , 224469 ,-0.001685,0.001238,1.2960000000000005e-09,1.6810000000000017e-09,2.9770000000000024e-09,5.456189146281498e-05
229362 , 18987 , 1834896 , 229946 ,-0.001693,0.00125,7.840000000000016e-10,8.409999999999969e-10,1.6249999999999984e-09,4.0311288741492725e-05
234823 , 18992 , 1878584 , 235425 ,-0.001705,0.001259,2.5600000000000553e-10,4.000000000000021e-10,6.560000000000077e-10,2.5612496949731543e-05
240284 , 18997 , 1922272 , 240907 ,-0.001723,0.001282,3.999999999999327e-12,8.999999999999786e-12,1.2999999999999113e-11,3.6055512754638664e-06
245745 , 19001 , 1965960 , 246383 ,-0.001727,0.001321,3.5999999999999145e-11,1.7639999999999947e-09,1.7999999999999938e-09,4.242640687119278e-05
251206 , 19006 , 2009648 , 251864 ,-0.001731,0.00131,9.999999999999619e-11,9.609999999999997e-10,1.0609999999999958e-09,3.25729949498046e-05
256667 , 19011 , 2053336 , 257341 ,-0.001739,0.001312,3.240000000000001e-10,1.0890000000000028e-09,1.4130000000000029e-09,3.7589892258425045e-05
262128 , 22029 , 2097024 , 262811 ,-0.001721,0.001292,0.0,1.6899999999999975e-10,1.6899999999999975e-10,1.299999999999999e-05
267589 , 22037 , 2140712 , 268289 ,-0.001726,0.001298,2.500000000000013e-11,3.6099999999999694e-10,3.8599999999999706e-10,1.9646882704388425e-05
273050 , 22042 , 2184400 , 273760 ,-0.001719,0.001305,4.000000000000195e-12,6.75999999999999e-10,6.799999999999992e-10,2.6076809620810578e-05
278511 , 22047 , 2228088 , 279236 ,-0.00172,0.001303,1.0000000000002655e-12,5.759999999999968e-10,5.769999999999971e-10,2.4020824298928567e-05
283972 , 22052 , 2271776 , 284705 ,-0.001705,0.001292,2.5600000000000553e-10,1.6899999999999975e-10,4.2500000000000525e-10,2.061552812808843e-05
289433 , 22057 , 2315464 , 290181 ,-0.001711,0.001287,1.0000000000000052e-10,6.399999999999964e-11,1.6400000000000016e-10,1.2806248474865704e-05
294894 , 22062 , 2359152 , 295656 ,-0.001712,0.001277,8.100000000000198e-11,4.000000000000195e-12,8.500000000000218e-11,9.219544457293006e-06
300355 , 22067 , 2402840 , 301127 ,-0.0017,0.001297,4.410000000000078e-10,3.240000000000001e-10,7.650000000000079e-10,2.7658633371878804e-05
305816 , 22072 , 2446528 , 306601 ,-0.001694,0.001274,7.290000000000062e-10,2.500000000000013e-11,7.540000000000063e-10,2.7459060435492076e-05
311277 , 22077 , 2490216 , 312073 ,-0.001687,0.001265,1.156000000000012e-09,1.9599999999999738e-10,1.3520000000000094e-09,3.67695526217006e-05
316738 , 22082 , 2533904 , 317552 ,-0.001686,0.001275,1.2250000000000064e-09,1.5999999999999043e-11,1.2410000000000055e-09,3.5227829907617156e-05
322199 , 22087 , 2577592 , 323025 ,-0.001683,0.001261,1.4440000000000043e-09,3.240000000000001e-10,1.7680000000000044e-09,4.204759208325733e-05
327660 , 22092 , 2621280 , 328500 ,-0.001681,0.001261,1.6000000000000083e-09,3.240000000000001e-10,1.9240000000000087e-09,4.386342439892272e-05
333121 , 22096 , 2664968 , 333969 ,-0.001672,0.001242,2.401e-09,1.3689999999999943e-09,3.769999999999994e-09,6.140032573203496e-05
338582 , 24925 , 2708656 , 339442 ,-0.001672,0.001229,2.401e-09,2.4999999999999914e-09,4.900999999999991e-09,7.000714249274849e-05
344043 , 24949 , 2752344 , 344922 ,-0.001686,0.00123,1.2250000000000064e-09,2.401e-09,3.6260000000000063e-09,6.021627686929844e-05
349504 , 24957 , 2796032 , 350395 ,-0.001688,0.001234,1.0890000000000028e-09,2.0249999999999912e-09,3.113999999999994e-09,5.580322571321477e-05
354965 , 24962 , 2839720 , 355869 ,-0.001682,0.001253,1.5210000000000147e-09,6.75999999999999e-10,2.197000000000014e-09,4.687216658103201e-05
360426 , 24975 , 2883408 , 361349 ,-0.001696,0.001258,6.250000000000033e-10,4.409999999999987e-10,1.066000000000002e-09,3.264965543462904e-05
365887 , 24980 , 2927096 , 366830 ,-0.001707,0.001287,1.9600000000000346e-10,6.399999999999964e-11,2.600000000000031e-10,1.6124515496597194e-05
371348 , 24985 , 2970784 , 372303 ,-0.001708,0.001289,1.6899999999999975e-10,1.0000000000000052e-10,2.6900000000000026e-10,1.6401219466856734e-05
376809 , 27988 , 3014472 , 377778 ,-0.001709,0.001287,1.440000000000018e-10,6.399999999999964e-11,2.0800000000000145e-10,1.4422205101856008e-05
382270 , 28013 , 3058160 , 383256 ,-0.001716,0.001287,2.500000000000013e-11,6.399999999999964e-11,8.899999999999977e-11,9.433981132056592e-06
387731 , 28021 , 3101848 , 388727 ,-0.001707,0.00129,1.9600000000000346e-10,1.2099999999999873e-10,3.170000000000022e-10,1.780449381476492e-05
393192 , 28027 , 3145536 , 394211 ,-0.001726,0.001298,2.500000000000013e-11,3.6099999999999694e-10,3.8599999999999706e-10,1.9646882704388425e-05
398653 , 28032 , 3189224 , 399691 ,-0.001723,0.001303,3.999999999999327e-12,5.759999999999968e-10,5.799999999999961e-10,2.408318915758451e-05
404114 , 28037 , 3232912 , 405169 ,-0.001724,0.001303,8.999999999999786e-12,5.759999999999968e-10,5.849999999999965e-10,2.4186773244895578e-05
409575 , 28042 , 3276600 , 410642 ,-0.001728,0.001291,4.899999999999783e-11,1.440000000000018e-10,1.9299999999999964e-10,1.3892443989449791e-05
415036 , 28047 , 3320288 , 416115 ,-0.001724,0.001285,8.999999999999786e-12,3.5999999999999145e-11,4.4999999999998933e-11,6.708203932499289e-06
420497 , 28051 , 3363976 , 421593 ,-0.001714,0.001289,4.9000000000000865e-11,1.0000000000000052e-10,1.490000000000014e-10,1.220655561573376e-05
425958 , 28056 , 3407664 , 427073 ,-0.001721,0.001291,0.0,1.440000000000018e-10,1.440000000000018e-10,1.2000000000000075e-05
431419 , 28061 , 3451352 , 432541 ,-0.001711,0.001292,1.0000000000000052e-10,1.6899999999999975e-10,2.6900000000000026e-10,1.6401219466856734e-05
436880 , 28066 , 3495040 , 438018 ,-0.001711,0.001282,1.0000000000000052e-10,8.999999999999786e-12,1.0900000000000031e-10,1.0440306508910565e-05
442341 , 31025 , 3538728 , 443487 ,-0.001705,0.001288,2.5600000000000553e-10,8.100000000000198e-11,3.370000000000075e-10,1.8357559750686026e-05
447802 , 31045 , 3582416 , 448960 ,-0.001703,0.001296,3.240000000000001e-10,2.89000000000003e-10,6.130000000000032e-10,2.475883680627996e-05
453263 , 31051 , 3626104 , 454433 ,-0.001703,0.00129,3.240000000000001e-10,1.2099999999999873e-10,4.449999999999989e-10,2.109502310972896e-05
458724 , 31055 , 3669792 , 459905 ,-0.001697,0.001291,5.760000000000072e-10,1.440000000000018e-10,7.20000000000009e-10,2.6832815729997645e-05
464185 , 31059 , 3713480 , 465381 ,-0.0017,0.001294,4.410000000000078e-10,2.250000000000012e-10,6.66000000000009e-10,2.5806975801128055e-05
469646 , 31063 , 3757168 , 470854 ,-0.0017,0.001275,4.410000000000078e-10,1.5999999999999043e-11,4.5700000000000685e-10,2.137755832643211e-05
475107 , 31067 , 3800856 , 476326 ,-0.001696,0.00129,6.250000000000033e-10,1.2099999999999873e-10,7.460000000000021e-10,2.7313000567495365e-05
480568 , 31072 , 3844544 , 481803 ,-0.0017,0.001281,4.410000000000078e-10,4.000000000000195e-12,4.45000000000008e-10,2.1095023109729175e-05
486029 , 31075 , 3888232 , 487281 ,-0.0017,0.001281,4.410000000000078e-10,4.000000000000195e-12,4.45000000000008e-10,2.1095023109729175e-05
491490 , 31079 , 3931920 , 492755 ,-0.0017,0.00129,4.410000000000078e-10,1.2099999999999873e-10,5.620000000000065e-10,2.3706539182259533e-05
496951 , 31083 , 3975608 , 498233 ,-0.001702,0.00129,3.6100000000000516e-10,1.2099999999999873e-10,4.820000000000039e-10,2.1954498400100237e-05
502412 , 33926 , 4019296 , 503705 ,-0.001699,0.001283,4.840000000000044e-10,1.600000000000078e-11,5.000000000000052e-10,2.2360679774998013e-05
507873 , 33934 , 4062984 , 509178 ,-0.0017,0.001278,4.410000000000078e-10,9.999999999998318e-13,4.420000000000076e-10,2.102379604162882e-05
513334 , 33940 , 4106672 , 514652 ,-0.001698,0.001286,5.290000000000008e-10,4.9000000000000865e-11,5.780000000000016e-10,2.4041630560342648e-05
518795 , 33945 , 4150360 , 520121 ,-0.001692,0.001279,8.410000000000094e-10,0.0,8.410000000000094e-10,2.9000000000000163e-05
524256 , 33950 , 4194048 , 525600 ,-0.001696,0.00128,6.250000000000033e-10,1.0000000000002655e-12,6.260000000000036e-10,2.5019992006393678e-05
529717 , 33955 , 4237736 , 531074 ,-0.001701,0.001297,4.000000000000021e-10,3.240000000000001e-10,7.240000000000023e-10,2.690724809414746e-05
535178 , 33960 , 4281424 , 536545 ,-0.001699,0.001295,4.840000000000044e-10,2.5599999999999855e-10,7.40000000000003e-10,2.720294101747094e-05
540639 , 36809 , 4325112 , 542016 ,-0.0017,0.001288,4.410000000000078e-10,8.100000000000198e-11,5.220000000000098e-10,2.284731931759194e-05
546100 , 36817 , 4368800 , 547497 ,-0.001698,0.00129,5.290000000000008e-10,1.2099999999999873e-10,6.499999999999995e-10,2.5495097567963914e-05
551561 , 36822 , 4412488 , 552965 ,-0.001697,0.001287,5.760000000000072e-10,6.399999999999964e-11,6.400000000000069e-10,2.5298221281347172e-05
557022 , 36827 , 4456176 , 558438 ,-0.001695,0.001298,6.760000000000103e-10,3.6099999999999694e-10,1.0370000000000073e-09,3.220248437620935e-05
