trueR , trueI
0.000633 , -0.009456
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 1024 , 0.000000 , 0.000000, 0.000000, 0.000089
2048 , 2048 , 0.000000 , 0.000000, 0.000000, 0.000089
3072 , 3072 , 0.000000 , 0.000000, 0.000000, 0.000089
4096 , 4096 , 0.000000 , 0.000000, 0.000000, 0.000089
5120 , 5120 , 0.000000 , 0.000000, 0.000000, 0.000089
6144 , 6144 , 0.000000 , 0.000000, 0.000000, 0.000089
7168 , 7168 , 0.000000 , 0.000000, 0.000000, 0.000089
8192 , 8192 , 0.000000 , 0.000000, 0.000000, 0.000089
9216 , 9216 , 0.003161 , -0.027211, 0.000006, 0.000315
10240 , 10240 , 0.002844 , -0.024490, 0.000005, 0.000226
11264 , 11264 , 0.002586 , -0.022264, 0.000004, 0.000164
12288 , 12288 , 0.002370 , -0.020409, 0.000003, 0.000120
13312 , 13312 , 0.002188 , -0.018839, 0.000002, 0.000088
14336 , 14336 , 0.002032 , -0.017493, 0.000002, 0.000065
15360 , 15360 , 0.001896 , -0.016327, 0.000002, 0.000047
16384 , 16384 , 0.001778 , -0.015306, 0.000001, 0.000034
17408 , 17408 , 0.001673 , -0.014406, 0.000001, 0.000025
18432 , 18432 , 0.001580 , -0.013606, 0.000001, 0.000017
19456 , 19456 , 0.001497 , -0.012890, 0.000001, 0.000012
20480 , 20480 , 0.002133 , -0.018368, 0.000002, 0.000079
21504 , 21504 , 0.002032 , -0.017493, 0.000002, 0.000065
22528 , 22528 , 0.001939 , -0.016698, 0.000002, 0.000052
23552 , 23552 , 0.001855 , -0.015972, 0.000001, 0.000042
24576 , 24576 , 0.001778 , -0.015306, 0.000001, 0.000034
25600 , 25600 , 0.001707 , -0.014694, 0.000001, 0.000027
26624 , 26624 , 0.001641 , -0.014129, 0.000001, 0.000022
27648 , 27648 , 0.002107 , -0.018141, 0.000002, 0.000075
28672 , 28672 , 0.002032 , -0.017493, 0.000002, 0.000065
29696 , 29696 , 0.001962 , -0.016890, 0.000002, 0.000055
30720 , 30720 , 0.001896 , -0.016327, 0.000002, 0.000047
31744 , 31744 , 0.001835 , -0.015800, 0.000001, 0.000040
32768 , 32768 , 0.001778 , -0.015306, 0.000001, 0.000034
33792 , 33792 , 0.001724 , -0.014843, 0.000001, 0.000029
34816 , 34816 , 0.001673 , -0.014406, 0.000001, 0.000025
35840 , 35840 , 0.001625 , -0.013994, 0.000001, 0.000021
36864 , 36864 , 0.001580 , -0.013606, 0.000001, 0.000017
37888 , 37888 , 0.001538 , -0.013238, 0.000001, 0.000014
38912 , 38912 , 0.001497 , -0.012890, 0.000001, 0.000012
39936 , 39936 , 0.001459 , -0.012559, 0.000001, 0.000010
40960 , 40960 , 0.001422 , -0.012245, 0.000001, 0.000008
41984 , 41984 , 0.001388 , -0.011946, 0.000001, 0.000006
43008 , 43008 , 0.001355 , -0.011662, 0.000001, 0.000005
44032 , 44032 , 0.001323 , -0.011391, 0.000000, 0.000004
45056 , 45056 , 0.001293 , -0.011132, 0.000000, 0.000003
46080 , 46080 , 0.001264 , -0.010885, 0.000000, 0.000002
47104 , 47104 , 0.001237 , -0.010648, 0.000000, 0.000001
48128 , 48128 , 0.001210 , -0.010421, 0.000000, 0.000001
49152 , 49152 , 0.001185 , -0.010204, 0.000000, 0.000001
50176 , 50176 , 0.001161 , -0.009996, 0.000000, 0.000000
51200 , 51200 , 0.001138 , -0.009796, 0.000000, 0.000000
52224 , 52224 , 0.001115 , -0.009604, 0.000000, 0.000000
53248 , 53248 , 0.001368 , -0.011774, 0.000001, 0.000005
54272 , 54272 , 0.001342 , -0.011552, 0.000001, 0.000004
55296 , 55296 , 0.001317 , -0.011338, 0.000000, 0.000004
56320 , 56320 , 0.001293 , -0.011132, 0.000000, 0.000003
57344 , 57344 , 0.001270 , -0.010933, 0.000000, 0.000002
58368 , 58368 , 0.001248 , -0.010741, 0.000000, 0.000002
59392 , 59392 , 0.001226 , -0.010556, 0.000000, 0.000001
60416 , 60416 , 0.001205 , -0.010377, 0.000000, 0.000001
61440 , 61440 , 0.001185 , -0.010204, 0.000000, 0.000001
62464 , 62464 , 0.001166 , -0.010037, 0.000000, 0.000000
63488 , 63488 , 0.001376 , -0.011850, 0.000001, 0.000006
64512 , 64512 , 0.001355 , -0.011662, 0.000001, 0.000005
65536 , 65536 , 0.001333 , -0.011480, 0.000000, 0.000004
66560 , 66560 , 0.001313 , -0.011303, 0.000000, 0.000003
67584 , 67584 , 0.001293 , -0.011132, 0.000000, 0.000003
68608 , 68608 , 0.001274 , -0.010966, 0.000000, 0.000002
69632 , 69632 , 0.001255 , -0.010805, 0.000000, 0.000002
70656 , 70656 , 0.001237 , -0.010648, 0.000000, 0.000001
71680 , 71680 , 0.001219 , -0.010496, 0.000000, 0.000001
