trueR,trueI
2.209709e-02,5.334709e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,36692,212992,1982,2.207902e-01,-7.008196e-01,3.947894e-02,5.687674e-01
32768,36757,425984,3926,6.382518e-02,-3.623581e-02,1.741233e-03,8.025096e-03
49152,36759,638976,5788,-1.049567e-01,1.485989e-01,1.614267e-02,9.072901e-03
65536,36888,851968,7679,-9.150703e-02,2.814422e-01,1.290589e-02,5.202738e-02
81920,36916,1064960,9595,-2.966967e-01,3.430602e-01,1.016295e-01,8.393367e-02
98304,36918,1277952,11442,-4.148593e-01,1.266593e-01,1.909309e-01,5.374679e-03
114688,36918,1490944,13281,-3.113606e-01,1.536440e-01,1.111940e-01,1.005947e-02
131072,36933,1703936,15143,-3.548161e-01,1.445350e-01,1.420635e-01,8.315239e-03
147456,36948,1916928,17046,-2.173830e-01,2.746598e-01,5.735073e-02,4.897934e-02
163840,36957,2129920,18900,-1.946861e-01,2.008216e-01,4.699495e-02,2.174873e-02
180224,36960,2342912,20740,-2.122923e-01,2.194351e-01,5.493840e-02,2.758524e-02
196608,36966,2555904,22550,-1.447719e-01,1.756731e-01,2.784525e-02,1.496366e-02
212992,36968,2768896,24457,-1.941142e-01,1.215623e-01,4.674732e-02,4.653316e-03
229376,36977,2981888,26290,-1.348523e-01,1.188505e-01,2.463311e-02,4.290697e-03
245760,36980,3194880,28180,-2.099929e-01,1.988432e-01,5.386579e-02,2.116911e-02
262144,36982,3407872,30076,-2.199812e-01,2.437545e-01,5.860189e-02,3.625496e-02
278528,36985,3620864,31964,-2.218688e-01,2.663641e-01,5.951937e-02,4.537624e-02
294912,36997,3833856,33926,-1.421718e-01,2.152027e-01,2.698428e-02,2.619723e-02
311296,37000,4046848,35835,-1.109093e-01,2.238594e-01,1.769070e-02,2.907444e-02
327680,37003,4259840,37682,-7.400768e-02,2.070392e-01,9.236127e-03,2.362127e-02
344064,37007,4472832,39641,-7.384213e-02,1.796386e-01,9.204334e-03,1.594955e-02
360448,37012,4685824,41550,-4.412119e-02,2.047441e-01,4.384861e-03,2.292104e-02
376832,37023,4898816,43482,-3.156471e-02,1.699277e-01,2.879589e-03,1.359103e-02
393216,37024,5111808,45342,-3.707108e-02,1.712305e-01,3.500873e-03,1.389649e-02
409600,37026,5324800,47175,-5.924441e-02,1.473999e-01,6.616441e-03,8.845937e-03
425984,37032,5537792,49025,-2.595502e-02,1.333221e-01,2.309005e-03,6.396008e-03
442368,37041,5750784,50813,-2.570290e-02,1.247756e-01,2.284839e-03,5.102029e-03
458752,37043,5963776,52691,-2.562836e-02,1.455502e-01,2.277718e-03,8.501421e-03
475136,37047,6176768,54633,-1.676479e-02,1.978500e-01,1.510246e-03,2.088108e-02
491520,37049,6389760,56517,-1.726980e-02,1.823336e-01,1.549752e-03,1.663751e-02
507904,37055,6602752,58331,-1.459399e-02,1.657222e-01,1.346235e-03,1.262817e-02
524288,37054,6815744,60248,-6.831528e-02,1.867055e-01,8.174397e-03,1.778446e-02
540672,37060,7028736,62075,-8.361294e-02,1.688150e-01,1.117461e-02,1.333283e-02
557056,37060,7241728,63872,-8.799093e-02,1.657782e-01,1.211937e-02,1.264076e-02
573440,37062,7454720,65607,-1.021911e-01,1.587570e-01,1.544756e-02,1.111125e-02
589824,37065,7667712,67456,-1.264869e-01,1.826423e-01,2.207720e-02,1.671724e-02
606208,37068,7880704,69374,-1.027587e-01,2.013045e-01,1.558897e-02,2.189139e-02
622592,37076,8093696,71284,-1.101487e-01,2.275652e-01,1.748894e-02,3.035196e-02
638976,37076,8306688,73138,-1.053091e-01,2.593170e-01,1.623233e-02,4.242362e-02
655360,37082,8519680,74976,-6.873686e-02,2.627187e-01,8.250806e-03,4.383647e-02
671744,37084,8732672,76895,-7.231154e-02,2.516346e-01,8.912988e-03,3.931793e-02
688128,37087,8945664,78727,-8.534084e-02,2.479791e-01,1.154291e-02,3.788164e-02
704512,37097,9158656,80625,-8.443569e-02,2.427192e-01,1.134923e-02,3.586179e-02
720896,37103,9371648,82533,-8.829442e-02,2.304644e-01,1.218628e-02,3.137054e-02
737280,37103,9584640,84441,-8.144969e-02,2.220906e-01,1.072194e-02,2.847438e-02
753664,37104,9797632,86308,-8.420698e-02,2.045811e-01,1.130055e-02,2.287173e-02
770048,37106,10010624,88101,-7.369556e-02,1.868752e-01,9.176232e-03,1.782976e-02
786432,37112,10223616,90070,-6.805176e-02,1.927910e-01,8.126816e-03,1.944461e-02
802816,37112,10436608,91934,-6.103335e-02,1.981166e-01,6.910671e-03,2.095822e-02
819200,37120,10649600,93781,-6.251785e-02,2.046250e-01,7.159688e-03,2.288502e-02
835584,37123,10862592,95546,-6.596063e-02,2.194862e-01,7.754162e-03,2.760220e-02
851968,37125,11075584,97483,-8.523049e-02,2.350898e-01,1.151921e-02,3.303040e-02
868352,37130,11288576,99381,-7.718934e-02,2.285127e-01,9.857795e-03,3.068298e-02
884736,37131,11501568,101260,-8.239907e-02,2.257797e-01,1.091945e-02,2.973302e-02
901120,37141,11714560,103225,-5.809316e-02,2.115953e-01,6.430477e-03,2.504251e-02
917504,37141,11927552,105009,-7.229661e-02,2.200206e-01,8.910171e-03,2.778005e-02
933888,37151,12140544,106862,-6.035779e-02,2.224776e-01,6.798807e-03,2.860512e-02
950272,37166,12353536,108757,-6.273250e-02,2.175062e-01,7.196059e-03,2.694821e-02
966656,37166,12566528,110669,-7.062787e-02,2.082251e-01,8.597918e-03,2.398721e-02
983040,37174,12779520,112662,-5.599885e-02,1.997531e-01,6.098976e-03,2.143471e-02
999424,37179,12992512,114561,-5.622467e-02,2.087276e-01,6.134299e-03,2.414309e-02
1015808,37183,13205504,116404,-6.875160e-02,2.174066e-01,8.253483e-03,2.691552e-02
1032192,37185,13418496,118224,-7.644524e-02,1.963952e-01,9.710589e-03,2.046277e-02
1048576,37186,13631488,120080,-5.827023e-02,2.009568e-01,6.458907e-03,2.178864e-02
1064960,37191,13844480,122052,-4.904344e-02,1.930171e-01,5.060975e-03,1.950770e-02
1081344,37194,14057472,123926,-3.997662e-02,2.088526e-01,3.853146e-03,2.418195e-02
1097728,37200,14270464,125804,-3.503228e-02,2.028419e-01,3.263765e-03,2.234870e-02
1114112,37209,14483456,127617,-3.609148e-02,1.946252e-01,3.385910e-03,1.995950e-02
1130496,37214,14696448,129540,-3.816472e-02,1.835237e-01,3.631487e-03,1.694596e-02
1146880,37224,14909440,131415,-4.264688e-02,1.616457e-01,4.191781e-03,1.172860e-02
1163264,37233,15122432,133291,-4.191276e-02,1.688657e-01,4.097260e-03,1.334455e-02
1179648,37235,15335424,135133,-4.540721e-02,1.655334e-01,4.556830e-03,1.258578e-02
1196032,37241,15548416,136959,-4.228975e-02,1.695463e-01,4.145665e-03,1.350226e-02
1212416,37249,15761408,138783,-3.749121e-02,1.689328e-01,3.550765e-03,1.336007e-02
1228800,37257,15974400,140692,-4.671156e-02,1.692521e-01,4.734631e-03,1.343398e-02
1245184,37265,16187392,142560,-3.553662e-02,1.651178e-01,3.321644e-03,1.249269e-02
1261568,37265,16400384,144461,-2.790395e-02,1.676740e-01,2.500104e-03,1.307064e-02
1277952,37272,16613376,146298,-1.987918e-02,1.627384e-01,1.762007e-03,1.196647e-02
1294336,37277,16826368,148139,-1.728536e-02,1.559509e-01,1.550977e-03,1.052755e-02
1310720,37278,17039360,149990,-3.813667e-03,1.579947e-01,6.713673e-04,1.095113e-02
1327104,37279,17252352,151890,6.536812e-04,1.650017e-01,4.598198e-04,1.246675e-02
1343488,37279,17465344,153770,-6.330439e-03,1.714612e-01,8.081245e-04,1.395094e-02
1359872,37280,17678336,155611,-8.821554e-03,1.844534e-01,9.559626e-04,1.718886e-02
1376256,37283,17891328,157525,-2.507643e-03,1.919642e-01,6.053929e-04,1.921471e-02
1392640,37282,18104320,159396,7.141257e-03,1.902642e-01,2.236770e-04,1.874630e-02
1409024,37282,18317312,161164,1.598701e-02,1.946319e-01,3.733303e-05,1.996141e-02
1425408,37283,18530304,163078,1.688514e-02,1.983818e-01,2.716438e-05,2.103506e-02
1441792,37291,18743296,164964,2.822924e-02,1.885995e-01,3.760322e-05,1.829322e-02
1458176,37296,18956288,166789,3.943180e-02,1.794127e-01,3.004923e-04,1.589255e-02
1474560,37302,19169280,168688,4.612738e-02,1.718247e-01,5.774547e-04,1.403694e-02
1490944,37302,19382272,170468,4.732687e-02,1.679575e-01,6.365420e-04,1.313554e-02
1507328,37307,19595264,172398,4.955470e-02,1.801080e-01,7.539204e-04,1.606833e-02
1523712,37310,19808256,174263,6.113451e-02,1.903112e-01,1.523920e-03,1.875917e-02
1540096,37312,20021248,176103,6.034043e-02,1.853676e-01,1.462553e-03,1.742943e-02
1556480,37313,20234240,178019,7.108200e-02,1.774764e-01,2.399522e-03,1.540809e-02
1572864,37314,20447232,179945,7.635979e-02,1.751397e-01,2.944441e-03,1.483343e-02
1589248,37318,20660224,181823,8.137739e-02,1.680062e-01,3.514155e-03,1.314671e-02
1605632,37331,20873216,183808,8.054794e-02,1.639652e-01,3.416502e-03,1.223637e-02
1622016,37350,21086208,185672,8.644946e-02,1.602648e-01,4.141228e-03,1.143139e-02
1638400,37351,21299200,187671,8.005893e-02,1.723628e-01,3.359575e-03,1.416475e-02
1654784,37352,21512192,189533,8.337042e-02,1.781532e-01,3.754422e-03,1.557656e-02
1671168,37355,21725184,191426,8.231815e-02,1.712831e-01,3.626576e-03,1.390891e-02
1687552,37358,21938176,193283,7.893046e-02,1.699379e-01,3.230032e-03,1.359341e-02
1703936,37359,22151168,195086,8.159537e-02,1.678853e-01,3.540045e-03,1.311900e-02
1720320,37364,22364160,196860,8.526330e-02,1.576585e-01,3.989970e-03,1.088087e-02
1736704,37368,22577152,198686,8.183353e-02,1.609252e-01,3.568442e-03,1.157305e-02
1753088,37370,22790144,200575,7.626933e-02,1.560135e-01,2.934632e-03,1.054039e-02
1769472,37372,23003136,202426,8.353270e-02,1.531754e-01,3.774334e-03,9.965685e-03
1785856,37374,23216128,204131,8.601892e-02,1.511279e-01,4.086000e-03,9.561094e-03
1802240,37376,23429120,205978,8.074493e-02,1.454564e-01,3.439569e-03,8.484126e-03
1818624,37385,23642112,207795,7.710291e-02,1.400231e-01,3.025640e-03,7.512733e-03
1835008,37411,23855104,209777,7.846277e-02,1.377216e-01,3.177090e-03,7.119050e-03
1851392,37413,24068096,211630,8.074183e-02,1.299929e-01,3.439206e-03,5.874578e-03
1867776,37463,24281088,213452,8.012836e-02,1.369167e-01,3.367628e-03,6.983887e-03
1884160,37470,24494080,215410,7.626436e-02,1.334777e-01,2.934093e-03,6.420922e-03
1900544,37474,24707072,217385,6.928522e-02,1.317146e-01,2.226720e-03,6.141462e-03
1916928,37511,24920064,219308,7.034867e-02,1.381425e-01,2.328215e-03,7.190266e-03
1933312,37533,25133056,221125,7.210090e-02,1.289892e-01,2.500381e-03,5.721727e-03
1949696,37551,25346048,223049,6.824208e-02,1.316633e-01,2.129360e-03,6.133430e-03
1966080,37576,25559040,224899,7.453743e-02,1.229468e-01,2.749989e-03,4.844124e-03
1982464,37576,25772032,226766,7.291318e-02,1.187840e-01,2.582276e-03,4.281996e-03
1998848,37581,25985024,228642,7.790211e-02,1.203937e-01,3.114200e-03,4.495251e-03
2015232,37630,26198016,230457,7.990640e-02,1.182304e-01,3.341916e-03,4.209845e-03
2031616,37656,26411008,232372,7.211602e-02,1.205698e-01,2.501894e-03,4.518890e-03
2048000,46735,26624000,234273,6.857724e-02,1.247017e-01,2.160405e-03,5.091475e-03
2064384,48733,26836992,236100,6.681300e-02,1.270032e-01,1.999513e-03,5.425226e-03
2080768,50230,27049984,237869,6.636953e-02,1.327742e-01,1.960049e-03,6.308659e-03
2097152,60585,27262976,239749,7.058869e-02,1.255765e-01,2.351435e-03,5.217083e-03
2113536,60661,27475968,241564,6.558930e-02,1.278002e-01,1.891573e-03,5.543263e-03
2129920,60723,27688960,243349,6.457384e-02,1.370192e-01,1.804274e-03,7.001025e-03
2146304,60745,27901952,245326,6.583644e-02,1.339884e-01,1.913131e-03,6.503013e-03
2162688,60783,28114944,247253,6.735895e-02,1.407256e-01,2.048636e-03,7.635009e-03
2179072,60804,28327936,249105,6.487423e-02,1.306894e-01,1.829884e-03,5.981826e-03
2195456,60808,28540928,250963,6.401180e-02,1.325896e-01,1.756843e-03,6.279379e-03
2211840,60816,28753920,252817,5.790619e-02,1.305037e-01,1.282292e-03,5.953149e-03
2228224,60826,28966912,254630,5.758384e-02,1.341155e-01,1.259309e-03,6.523537e-03
2244608,60826,29179904,256530,6.261745e-02,1.373080e-01,1.641900e-03,7.049430e-03
2260992,60844,29392896,258388,5.719532e-02,1.358974e-01,1.231885e-03,6.814559e-03
2277376,60844,29605888,260308,5.821199e-02,1.349470e-01,1.304286e-03,6.658551e-03
2293760,60868,29818880,262208,6.824367e-02,1.402905e-01,2.129507e-03,7.559154e-03
2310144,60869,30031872,263977,6.721563e-02,1.331899e-01,2.035683e-03,6.374870e-03
2326528,60871,30244864,265864,6.909377e-02,1.433172e-01,2.208688e-03,8.094614e-03
2342912,60873,30457856,267702,6.740307e-02,1.460503e-01,2.052632e-03,8.593883e-03
2359296,60874,30670848,269466,7.111157e-02,1.420670e-01,2.402420e-03,7.871223e-03
2375680,60876,30883840,271318,7.068065e-02,1.421634e-01,2.360362e-03,7.888341e-03
2392064,60878,31096832,273153,6.809143e-02,1.404897e-01,2.115479e-03,7.593826e-03
2408448,60893,31309824,275002,6.768844e-02,1.437399e-01,2.078571e-03,8.170865e-03
2424832,60893,31522816,276877,7.147549e-02,1.410865e-01,2.438227e-03,7.698205e-03
2441216,60896,31735808,278739,6.947216e-02,1.430425e-01,2.244397e-03,8.045273e-03
2457600,60909,31948800,280616,7.167380e-02,1.391426e-01,2.457851e-03,7.360876e-03
2473984,60913,32161792,282534,6.984718e-02,1.367916e-01,2.280071e-03,6.962982e-03
2490368,60915,32374784,284358,7.115729e-02,1.365929e-01,2.406904e-03,6.929869e-03
2506752,60917,32587776,286183,6.957080e-02,1.322319e-01,2.253754e-03,6.222814e-03
2523136,60925,32800768,288064,7.272255e-02,1.275726e-01,2.562938e-03,5.509432e-03
2539520,60933,33013760,289847,6.740227e-02,1.271178e-01,2.052559e-03,5.442111e-03
2555904,60938,33226752,291652,6.423552e-02,1.318978e-01,1.775647e-03,6.170218e-03
2572288,60948,33439744,293586,6.835017e-02,1.263560e-01,2.139348e-03,5.330298e-03
2588672,60951,33652736,295453,7.474394e-02,1.277485e-01,2.771691e-03,5.535573e-03
2605056,60954,33865728,297382,8.232681e-02,1.309396e-01,3.627620e-03,6.020605e-03
2621440,60960,34078720,299164,8.050138e-02,1.230883e-01,3.411061e-03,4.863834e-03
2637824,60966,34291712,301015,7.690454e-02,1.190266e-01,3.003857e-03,4.313796e-03
2654208,60972,34504704,302822,7.911257e-02,1.146526e-01,3.250765e-03,3.758367e-03
2670592,60972,34717696,304690,8.177517e-02,1.108391e-01,3.561474e-03,3.305336e-03
2686976,60977,34930688,306571,7.407894e-02,1.066589e-01,2.702113e-03,2.842154e-03
2703360,60982,35143680,308447,7.866399e-02,1.107330e-01,3.199814e-03,3.293138e-03
2719744,60984,35356672,310278,8.112042e-02,1.132823e-01,3.483754e-03,3.592231e-03
2736128,60984,35569664,312165,7.610019e-02,1.109753e-01,2.916334e-03,3.321009e-03
2752512,60987,35782656,313978,8.018885e-02,1.088177e-01,3.374652e-03,3.076984e-03
2768896,61001,35995648,315873,7.940850e-02,1.096402e-01,3.284598e-03,3.168913e-03
2785280,61001,36208640,317776,7.482842e-02,1.086192e-01,2.780593e-03,3.055001e-03
2801664,61003,36421632,319709,7.826028e-02,1.080351e-01,3.154304e-03,2.990778e-03
2818048,61006,36634624,321559,7.985976e-02,1.091897e-01,3.336527e-03,3.118393e-03
2834432,61014,36847616,323470,8.262680e-02,1.000229e-01,3.663846e-03,2.178631e-03
2850816,61020,37060608,325334,8.400359e-02,1.009725e-01,3.832415e-03,2.268181e-03
2867200,61033,37273600,327145,8.791896e-02,9.564456e-02,4.332519e-03,1.789076e-03
2883584,61034,37486592,329017,8.115643e-02,9.583145e-02,3.488006e-03,1.804921e-03
2899968,61037,37699584,330914,8.245733e-02,9.209920e-02,3.643358e-03,1.501726e-03
2916352,61038,37912576,332818,8.705501e-02,9.724304e-02,4.219532e-03,1.926855e-03
2932736,61038,38125568,334645,7.760585e-02,9.780975e-02,3.081223e-03,1.976929e-03
2949120,61048,38338560,336422,7.893115e-02,1.000723e-01,3.230110e-03,2.183244e-03
2965504,61050,38551552,338212,7.729729e-02,9.577443e-02,3.047063e-03,1.800080e-03
2981888,61053,38764544,340150,7.805242e-02,9.883244e-02,3.131000e-03,2.068917e-03
2998272,61062,38977536,342001,7.956069e-02,1.005606e-01,3.302065e-03,2.229118e-03
3014656,61063,39190528,343887,8.520060e-02,1.008168e-01,3.982053e-03,2.253375e-03
3031040,61064,39403520,345726,8.537885e-02,1.009412e-01,4.004581e-03,2.265197e-03
3047424,61065,39616512,347692,8.793440e-02,9.871159e-02,4.334551e-03,2.057938e-03
3063808,61074,39829504,349494,8.891517e-02,9.831870e-02,4.464656e-03,2.022445e-03
3080192,61083,40042496,351448,8.839737e-02,1.022784e-01,4.395727e-03,2.394277e-03
3096576,61089,40255488,353328,8.815012e-02,9.914614e-02,4.363003e-03,2.097553e-03
3112960,61092,40468480,355177,9.264307e-02,9.411074e-02,4.976735e-03,1.661676e-03
3129344,61095,40681472,357047,9.020324e-02,9.942205e-02,4.638448e-03,2.122902e-03
3145728,61103,40894464,358961,8.780296e-02,9.765095e-02,4.317262e-03,1.962832e-03
3162112,61116,41107456,360815,8.379826e-02,9.211315e-02,3.807035e-03,1.502808e-03
3178496,61117,41320448,362723,8.692257e-02,9.216808e-02,4.202343e-03,1.507069e-03
3194880,61119,41533440,364538,8.626645e-02,9.477867e-02,4.117707e-03,1.716576e-03
3211264,61119,41746432,366404,8.413121e-02,9.698432e-02,3.848232e-03,1.904208e-03
3227648,61121,41959424,368243,8.673409e-02,9.546601e-02,4.177941e-03,1.774004e-03
3244032,61124,42172416,370103,8.271449e-02,9.917501e-02,3.674469e-03,2.100198e-03
3260416,61137,42385408,371986,8.044741e-02,1.004544e-01,3.404760e-03,2.219095e-03
3276800,61137,42598400,373790,8.530812e-02,9.921187e-02,3.995635e-03,2.103578e-03
3293184,61142,42811392,375653,8.358330e-02,9.286956e-02,3.780554e-03,1.562026e-03
3309568,61142,43024384,377546,8.522013e-02,9.708229e-02,3.984518e-03,1.912768e-03
3325952,61144,43237376,379403,8.685415e-02,9.219745e-02,4.193477e-03,1.509350e-03
3342336,61149,43450368,381243,8.120840e-02,8.761618e-02,3.494147e-03,1.174371e-03
