trueR , trueI
0.022097 , 0.053347
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
5592405 , 26179906 , 72701265 , 638434 ,0.026729,0.063453,2.1455424000000007e-05,0.00010213123599999994,0.00012358665999999996,0.011116953719432315
11184810 , 26223190 , 145402530 , 1276777 ,0.025756,0.063381,1.3388281000000019e-05,0.00010068115600000017,0.00011406943700000019,0.010680329442484449
16777215 , 26257017 , 218103795 , 1916372 ,0.019236,0.061505,8.185320999999993e-06,6.655296399999998e-05,7.473828499999997e-05,0.008645130710405713
22369620 , 26393447 , 290805060 , 2554990 ,0.015166,0.06044,4.803876099999997e-05,5.031064900000003e-05,9.834941e-05,0.009917127104156728
27962025 , 26404845 , 363506325 , 3194960 ,0.019112,0.05692,8.910224999999988e-06,1.2766328999999998e-05,2.1676553999999986e-05,0.0046558086300877944
33554430 , 26413311 , 436207590 , 3834431 ,0.019473,0.058,6.8853759999999885e-06,2.165040900000004e-05,2.8535785000000028e-05,0.005341889646932069
39146835 , 26413595 , 508908855 , 4473662 ,0.017485,0.057678,2.1270543999999982e-05,1.875756100000001e-05,4.002810499999999e-05,0.0063267768255249835
44739240 , 26449446 , 581610120 , 5113340 ,0.019323,0.058198,7.695075999999993e-06,2.353220100000001e-05,3.1227277e-05,0.005588137167249924
50331645 , 26464132 , 654311385 , 5752707 ,0.019519,0.057482,6.646083999999984e-06,1.7098224999999997e-05,2.374430899999998e-05,0.004872813253142375
55924050 , 26465579 , 727012650 , 6393620 ,0.016858,0.056459,2.744712099999997e-05,9.684544000000023e-06,3.713166499999999e-05,0.006093575715456401
61516455 , 26474483 , 799713915 , 7032665 ,0.017346,0.05663,2.2572000999999983e-05,1.0778089000000008e-05,3.335008999999999e-05,0.0057749536794679136
67108860 , 26522616 , 872415180 , 7671399 ,0.019197,0.057527,8.409999999999999e-06,1.7472400000000026e-05,2.5882400000000025e-05,0.0050874748156624836
72701265 , 26539137 , 945116445 , 8311598 ,0.019156,0.056185,8.649480999999995e-06,8.054244000000002e-06,1.6703724999999996e-05,0.004087019084858792
78293670 , 26557119 , 1017817710 , 8950257 ,0.019708,0.05559,5.707320999999994e-06,5.031049000000009e-06,1.0738370000000003e-05,0.003276945223832709
83886075 , 26572924 , 1090518975 , 9588832 ,0.019665,0.056544,5.914624000000001e-06,1.022080899999999e-05,1.613543299999999e-05,0.004016893451412421
89478480 , 26576079 , 1163220240 , 10227341 ,0.019718,0.056105,5.659640999999996e-06,7.6065640000000195e-06,1.3266205000000016e-05,0.003642280192406951
95070885 , 26583757 , 1235921505 , 10866202 ,0.020771,0.057216,1.758275999999993e-06,1.4969161000000034e-05,1.6727437000000027e-05,0.004089918947852149
100663290 , 26609009 , 1308622770 , 11504208 ,0.020953,0.056737,1.308735999999998e-06,1.1492100000000028e-05,1.2800836000000027e-05,0.0035778255966438647
106255695 , 26666365 , 1381324035 , 12142310 ,0.02172,0.056843,1.4212899999999914e-07,1.2222015999999995e-05,1.2364144999999994e-05,0.0035162686188628983
111848100 , 26782575 , 1454025300 , 12780423 ,0.02157,0.056391,2.777289999999997e-07,9.265935999999989e-06,9.543664999999989e-06,0.0030892822791062633
117440505 , 26879297 , 1526726565 , 13418164 ,0.022051,0.056308,2.1159999999997636e-09,8.767520999999991e-06,8.769636999999991e-06,0.0029613572901627376
123032910 , 26902474 , 1599427830 , 14056854 ,0.022509,0.056768,1.6974400000000218e-07,1.1703241000000002e-05,1.1872985000000004e-05,0.0034457198086901963
128625315 , 27040434 , 1672129095 , 14696416 ,0.022721,0.057497,3.8937600000000376e-07,1.7222500000000007e-05,1.761187600000001e-05,0.004196650569203971
134217720 , 27058226 , 1744830360 , 15336733 ,0.022779,0.057991,4.651240000000028e-07,2.156673600000002e-05,2.2031860000000023e-05,0.004693810818514102
139810125 , 52335344 , 1817531625 , 15975269 ,0.022823,0.057481,5.270760000000014e-07,1.708995599999999e-05,1.761703199999999e-05,0.004197264823667907
145402530 , 52363099 , 1890232890 , 16615247 ,0.022612,0.056963,2.652250000000016e-07,1.3075456000000009e-05,1.334068100000001e-05,0.0036524896988218885
150994935 , 52376272 , 1962934155 , 17255095 ,0.021465,0.056479,3.994239999999964e-07,9.809424000000017e-06,1.0208848000000014e-05,0.0031951287923963276
156587340 , 52450552 , 2035635420 , 17893235 ,0.021178,0.056176,8.445609999999994e-07,8.00324099999999e-06,8.847801999999989e-06,0.002974525508379444
162179745 , 52499369 , 2108336685 , 18532296 ,0.020539,0.055986,2.4273639999999904e-06,6.964321000000013e-06,9.391685000000003e-06,0.0030645856163599022
167772150 , 52598241 , 2181037950 , 19171768 ,0.021085,0.054982,1.024143999999998e-06,2.6732250000000145e-06,3.6973690000000124e-06,0.0019228543886628579
173364555 , 52640829 , 2253739215 , 19810441 ,0.021406,0.054562,4.774809999999961e-07,1.476225000000002e-06,1.953705999999998e-06,0.0013977503353603598
178956960 , 52703397 , 2326440480 , 20449986 ,0.021636,0.054819,2.1252099999999963e-07,2.166784000000003e-06,2.3793050000000027e-06,0.001542499594813562
184549365 , 52719230 , 2399141745 , 21088527 ,0.021591,0.054858,2.560359999999995e-07,2.2831209999999955e-06,2.539156999999995e-06,0.001593473250481474
190141770 , 52774196 , 2471843010 , 21726632 ,0.021805,0.054338,8.526399999999832e-08,9.820809999999977e-07,1.0673449999999959e-06,0.0010331239035081881
195734175 , 52781811 , 2544544275 , 22366909 ,0.021937,0.054264,2.5599999999999025e-08,8.408890000000021e-07,8.664890000000012e-07,0.000930853909053403
201326580 , 52787863 , 2617245540 , 23005026 ,0.022257,0.054387,2.5600000000000133e-08,1.0815999999999985e-06,1.1071999999999987e-06,0.001052235715037272
206918985 , 52800440 , 2689946805 , 23643543 ,0.022492,0.054538,1.5602500000000235e-07,1.4184810000000108e-06,1.5745060000000132e-06,0.001254793210054953
212511390 , 52805832 , 2762648070 , 24282188 ,0.022518,0.054044,1.7724100000000105e-07,4.858090000000045e-07,6.630500000000055e-07,0.0008142788220259726
218103795 , 52897999 , 2835349335 , 24922020 ,0.022453,0.054125,1.2673600000000154e-07,6.052840000000014e-07,7.320200000000029e-07,0.0008555816734830187
223696200 , 52987025 , 2908050600 , 25563183 ,0.023229,0.053775,1.2814240000000025e-06,1.8318400000000408e-07,1.4646080000000065e-06,0.0012102098991497328
229288605 , 53003322 , 2980751865 , 26202237 ,0.023013,0.05347,8.390560000000003e-07,1.5128999999999536e-08,8.541849999999998e-07,0.0009242212938468794
234881010 , 53088169 , 3053453130 , 26840762 ,0.023117,0.053638,1.0404000000000002e-06,8.468099999999976e-08,1.125081e-06,0.0010606983548587224
240473415 , 53105158 , 3126154395 , 27479202 ,0.022684,0.053713,3.4456900000000084e-07,1.3395599999999874e-07,4.785249999999996e-07,0.0006917550144379147
246065820 , 53176181 , 3198855660 , 28116255 ,0.023314,0.05339,1.4810890000000068e-06,1.8490000000001178e-09,1.482938000000007e-06,0.001217759417947571
251658225 , 53283092 , 3271556925 , 28755203 ,0.023683,0.053476,2.515396000000002e-06,1.6641000000001062e-08,2.532037000000003e-06,0.0015912375686867135
257250630 , 53306899 , 3344258190 , 29394390 ,0.023492,0.053353,1.946025000000001e-06,3.599999999998874e-11,1.946061000000001e-06,0.0013950129031661323
262843035 , 53552412 , 3416959455 , 30034268 ,0.023809,0.053314,2.930944000000006e-06,1.0889999999998884e-09,2.932033000000006e-06,0.0017123180195279164
268435440 , 53561902 , 3489660720 , 30673679 ,0.024296,0.053396,4.835601000000014e-06,2.4010000000000425e-09,4.838002000000014e-06,0.0021995458622179292
274027845 , 78332400 , 3562361985 , 31311804 ,0.024047,0.053578,3.8025000000000013e-06,5.3361000000000943e-08,3.855861000000002e-06,0.0019636346401507594
