trueR,trueI
2.209709e-02,5.334709e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,39004,212992,1967,-8.103611e-01,1.228692e+00,6.929867e-01,1.381436e+00
32768,39011,425984,3835,-2.786719e-01,7.042664e-01,9.046198e-02,4.236960e-01
49152,39027,638976,5689,-1.615694e-01,5.611326e-01,3.373336e-02,2.578461e-01
65536,39029,851968,7607,-1.858263e-01,7.262984e-01,4.323213e-02,4.528634e-01
81920,39072,1064960,9574,-1.468833e-01,5.382372e-01,2.855436e-02,2.351184e-01
98304,39090,1277952,11412,-1.895824e-01,5.289494e-01,4.480820e-02,2.261975e-01
114688,39098,1490944,13215,-9.202695e-02,4.395829e-01,1.302430e-02,1.491781e-01
131072,39106,1703936,15071,3.430063e-02,4.928034e-01,1.489264e-04,1.931219e-01
147456,39110,1916928,16985,1.356187e-02,4.694956e-01,7.284994e-05,1.731796e-01
163840,39139,2129920,18793,4.651293e-02,4.227713e-01,5.961331e-04,1.364743e-01
180224,39141,2342912,20673,1.056582e-01,4.171633e-01,6.982468e-03,1.323622e-01
196608,39146,2555904,22499,1.502096e-01,4.378758e-01,1.641282e-02,1.478623e-01
212992,39150,2768896,24389,1.616553e-01,4.584972e-01,1.947649e-02,1.641466e-01
229376,39167,2981888,26269,1.250626e-01,4.039131e-01,1.060189e-02,1.228965e-01
245760,39172,3194880,28100,1.228156e-01,4.002765e-01,1.014422e-02,1.203600e-01
262144,39177,3407872,29942,1.853316e-01,3.955150e-01,2.664550e-02,1.170789e-01
278528,39183,3620864,31728,2.047206e-01,4.155786e-01,3.335136e-02,1.312117e-01
294912,39185,3833856,33673,1.854998e-01,4.251569e-01,2.670045e-02,1.382426e-01
311296,39191,4046848,35577,2.206334e-01,4.105869e-01,3.941668e-02,1.276203e-01
327680,39197,4259840,37415,2.085854e-01,4.452212e-01,3.477789e-02,1.535654e-01
344064,39198,4472832,39270,2.362779e-01,4.512273e-01,4.587341e-02,1.583087e-01
360448,39222,4685824,41200,2.180601e-01,4.773678e-01,3.840149e-02,1.797936e-01
376832,39246,4898816,43178,2.202331e-01,4.875363e-01,3.925786e-02,1.885203e-01
393216,39250,5111808,45088,2.194041e-01,5.040922e-01,3.893005e-02,2.031711e-01
409600,39255,5324800,46973,1.927992e-01,4.944417e-01,2.913921e-02,1.945645e-01
425984,39271,5537792,48826,2.056962e-01,4.644687e-01,3.370864e-02,1.690210e-01
442368,39275,5750784,50724,2.179574e-01,4.704346e-01,3.836126e-02,1.739620e-01
458752,39277,5963776,52589,2.347215e-01,4.434686e-01,4.520914e-02,1.521948e-01
475136,39282,6176768,54407,2.652756e-01,4.027919e-01,5.913577e-02,1.221117e-01
491520,39293,6389760,56345,2.340430e-01,3.888763e-01,4.492106e-02,1.125799e-01
507904,39293,6602752,58196,2.233159e-01,3.574547e-01,4.048902e-02,9.248143e-02
524288,39295,6815744,60130,2.145657e-01,3.559052e-01,3.704416e-02,9.154142e-02
540672,39313,7028736,62107,2.245839e-01,3.670740e-01,4.100090e-02,9.842459e-02
557056,40918,7241728,63908,2.477282e-01,3.664909e-01,5.090941e-02,9.805905e-02
573440,40954,7454720,65871,2.417126e-01,3.533202e-01,4.823099e-02,8.998388e-02
589824,40964,7667712,67777,2.270303e-01,3.595371e-01,4.199763e-02,9.375231e-02
606208,40966,7880704,69643,2.085085e-01,3.372962e-01,3.474920e-02,8.062708e-02
622592,40978,8093696,71451,2.330367e-01,3.281221e-01,4.449550e-02,7.550132e-02
638976,40985,8306688,73304,2.139534e-01,3.334163e-01,3.680883e-02,7.843876e-02
655360,40990,8519680,75074,2.241451e-01,3.121834e-01,4.082339e-02,6.699623e-02
671744,40995,8732672,77072,2.215503e-01,3.239824e-01,3.978158e-02,7.324350e-02
688128,40999,8945664,78956,2.101149e-01,3.121706e-01,3.535069e-02,6.698959e-02
704512,41002,9158656,80826,2.139828e-01,3.107945e-01,3.682012e-02,6.627917e-02
720896,41017,9371648,82742,1.970384e-01,3.017826e-01,3.060444e-02,6.172021e-02
737280,41019,9584640,84692,1.544223e-01,2.933648e-01,1.750997e-02,5.760852e-02
753664,41024,9797632,86647,1.502400e-01,2.847292e-01,1.642061e-02,5.353769e-02
770048,41028,10010624,88534,1.429905e-01,2.962236e-01,1.461523e-02,5.898902e-02
786432,41029,10223616,90354,1.593878e-01,3.038429e-01,1.884873e-02,6.274817e-02
802816,41032,10436608,92244,1.579231e-01,2.921004e-01,1.844870e-02,5.700315e-02
819200,41032,10649600,94176,1.638184e-01,2.959573e-01,2.008493e-02,5.885972e-02
835584,41033,10862592,96118,1.527937e-01,2.665195e-01,1.708160e-02,4.544247e-02
851968,41035,11075584,98018,1.652855e-01,2.654815e-01,2.050291e-02,4.500101e-02
868352,41047,11288576,99818,1.711017e-01,2.495215e-01,2.220238e-02,3.848439e-02
884736,41049,11501568,101594,1.639104e-01,2.529998e-01,2.011101e-02,3.986122e-02
901120,41051,11714560,103523,1.771395e-01,2.523855e-01,2.403815e-02,3.961629e-02
917504,41056,11927552,105378,1.821015e-01,2.405824e-01,2.560140e-02,3.505707e-02
933888,41068,12140544,107155,1.751390e-01,2.369921e-01,2.342182e-02,3.372548e-02
950272,41075,12353536,108988,1.714316e-01,2.353333e-01,2.230079e-02,3.311899e-02
966656,41077,12566528,110856,1.541733e-01,2.340295e-01,1.744414e-02,3.264613e-02
983040,41083,12779520,112737,1.435076e-01,2.133680e-01,1.474050e-02,2.560670e-02
999424,41085,12992512,114597,1.466481e-01,1.927575e-01,1.551295e-02,1.943526e-02
1015808,41088,13205504,116431,1.403821e-01,1.894120e-01,1.399134e-02,1.851365e-02
1032192,41095,13418496,118339,1.461070e-01,1.822169e-01,1.537846e-02,1.660743e-02
1048576,41095,13631488,120213,1.527208e-01,1.698681e-01,1.706255e-02,1.357716e-02
1064960,41102,13844480,122064,1.490013e-01,1.618962e-01,1.610469e-02,1.178292e-02
1081344,41103,14057472,123944,1.452650e-01,1.572989e-01,1.517033e-02,1.080599e-02
1097728,41112,14270464,125723,1.473002e-01,1.521693e-01,1.567582e-02,9.765822e-03
1114112,41113,14483456,127647,1.411224e-01,1.446993e-01,1.416703e-02,8.345236e-03
1130496,41115,14696448,129487,1.379880e-01,1.367515e-01,1.343069e-02,6.956291e-03
1146880,41117,14909440,131302,1.228909e-01,1.363924e-01,1.015940e-02,6.896529e-03
1163264,41118,15122432,133212,1.230603e-01,1.088797e-01,1.019358e-02,3.083869e-03
1179648,41122,15335424,135079,1.241036e-01,1.092738e-01,1.040532e-02,3.127799e-03
1196032,41123,15548416,136933,1.026926e-01,1.045786e-01,6.495631e-03,2.624669e-03
1212416,41125,15761408,138829,1.024299e-01,8.781380e-02,6.453366e-03,1.187954e-03
1228800,41126,15974400,140710,1.013783e-01,7.917417e-02,6.285513e-03,6.670381e-04
1245184,41127,16187392,142666,1.053260e-01,7.220268e-02,6.927047e-03,3.555334e-04
1261568,41139,16400384,144606,1.033403e-01,8.328889e-02,6.600465e-03,8.965113e-04
1277952,41144,16613376,146466,9.985454e-02,8.709933e-02,6.046222e-03,1.139214e-03
1294336,41145,16826368,148381,1.163029e-01,8.787880e-02,8.874734e-03,1.192439e-03
1310720,41156,17039360,150265,1.077093e-01,9.130672e-02,7.329455e-03,1.440933e-03
1327104,41159,17252352,152087,1.057131e-01,1.003616e-01,6.991631e-03,2.210364e-03
1343488,41170,17465344,153918,1.191487e-01,9.945054e-02,9.419010e-03,2.125528e-03
1359872,41170,17678336,155788,1.247050e-01,9.837681e-02,1.052839e-02,2.027676e-03
1376256,41174,17891328,157620,1.177452e-01,1.003379e-01,9.148567e-03,2.208139e-03
1392640,41179,18104320,159486,1.110879e-01,9.534197e-02,7.919364e-03,1.763570e-03
1409024,41204,18317312,161364,1.253649e-01,8.475937e-02,1.066425e-02,9.867314e-04
1425408,41212,18530304,163160,1.162758e-01,8.608900e-02,8.869630e-03,1.072033e-03
1441792,41250,18743296,165032,1.115948e-01,7.079681e-02,8.009849e-03,3.044928e-04
1458176,41257,18956288,166895,1.039646e-01,7.202252e-02,6.702282e-03,3.487717e-04
1474560,41303,19169280,168768,1.056732e-01,6.332881e-02,6.984969e-03,9.963477e-05
1490944,41351,19382272,170659,1.013747e-01,5.764049e-02,6.284945e-03,1.843329e-05
1507328,41367,19595264,172505,1.017262e-01,4.736495e-02,6.340798e-03,3.578593e-05
1523712,45407,19808256,174389,9.910504e-02,4.983991e-02,5.930224e-03,1.230027e-05
1540096,47918,20021248,176255,9.700619e-02,4.840625e-02,5.611374e-03,2.441184e-05
1556480,49569,20234240,178157,1.089994e-01,5.570070e-02,7.552020e-03,5.539473e-06
1572864,51612,20447232,180017,1.026791e-01,6.042730e-02,6.493466e-03,5.012946e-05
1589248,52051,20660224,181927,1.067752e-01,6.005905e-02,7.170387e-03,4.505046e-05
1605632,52182,20873216,183702,1.063868e-01,5.150524e-02,7.104762e-03,3.392400e-06
1622016,52194,21086208,185616,1.102492e-01,4.459039e-02,7.770801e-03,7.667981e-05
1638400,52282,21299200,187443,1.054365e-01,4.046508e-02,6.945449e-03,1.659463e-04
1654784,53311,21512192,189267,1.084242e-01,2.884638e-02,7.452368e-03,6.002847e-04
1671168,53957,21725184,191175,1.063368e-01,3.096117e-02,7.096320e-03,5.011295e-04
1687552,54051,21938176,193046,1.061101e-01,4.365748e-02,7.058189e-03,9.388855e-05
1703936,54124,22151168,194859,9.884107e-02,3.822204e-02,5.889639e-03,2.287671e-04
1720320,58290,22364160,196743,9.551234e-02,3.973011e-02,5.389799e-03,1.854221e-04
1736704,59702,22577152,198577,9.359790e-02,4.447347e-02,5.112365e-03,7.874118e-05
1753088,60313,22790144,200447,9.177183e-02,4.153959e-02,4.854570e-03,1.394171e-04
1769472,61066,23003136,202360,9.494741e-02,3.974936e-02,5.307169e-03,1.848982e-04
1785856,61081,23216128,204323,9.496324e-02,3.827013e-02,5.309476e-03,2.273145e-04
1802240,61090,23429120,206202,9.619205e-02,3.886432e-02,5.490063e-03,2.097506e-04
1818624,61122,23642112,208076,9.441799e-02,3.785140e-02,5.230313e-03,2.401163e-04
1835008,61134,23855104,209994,9.737430e-02,3.644180e-02,5.666658e-03,2.857888e-04
1851392,61153,24068096,211939,1.087230e-01,2.901778e-02,7.504041e-03,5.919152e-04
1867776,61162,24281088,213811,1.063805e-01,3.365197e-02,7.103697e-03,3.878978e-04
1884160,61192,24494080,215557,1.095364e-01,3.764882e-02,7.645637e-03,2.464355e-04
1900544,61198,24707072,217485,1.116369e-01,4.061055e-02,8.017382e-03,1.622194e-04
1916928,61245,24920064,219277,1.114673e-01,3.761532e-02,7.987033e-03,2.474886e-04
1933312,61248,25133056,221097,1.120662e-01,4.009556e-02,8.094440e-03,1.756031e-04
1949696,61262,25346048,222952,1.170002e-01,3.901484e-02,9.006601e-03,2.054134e-04
1966080,61264,25559040,224839,1.180263e-01,3.785158e-02,9.202414e-03,2.401108e-04
1982464,61265,25772032,226667,1.093261e-01,3.212966e-02,7.608904e-03,4.501792e-04
1998848,61275,25985024,228641,1.076730e-01,3.224714e-02,7.323233e-03,4.452078e-04
2015232,61282,26198016,230580,1.123102e-01,3.515390e-02,8.138406e-03,3.309920e-04
2031616,61294,26411008,232444,1.155868e-01,3.362528e-02,8.740332e-03,3.889498e-04
2048000,61299,26624000,234224,1.222378e-01,3.951770e-02,1.002816e-02,1.912519e-04
2064384,61301,26836992,236080,1.236605e-01,4.016774e-02,1.031514e-02,1.736952e-04
2080768,61306,27049984,237968,1.228193e-01,3.849180e-02,1.014496e-02,2.206797e-04
2097152,61306,27262976,239836,1.165887e-01,3.544649e-02,8.928657e-03,3.204314e-04
2113536,61315,27475968,241728,1.077197e-01,3.565988e-02,7.331227e-03,3.128374e-04
2129920,61324,27688960,243526,1.134023e-01,3.603322e-02,8.336636e-03,2.997702e-04
2146304,61360,27901952,245388,1.134055e-01,3.434495e-02,8.337217e-03,3.610813e-04
2162688,61365,28114944,247308,1.146396e-01,3.420811e-02,8.564112e-03,3.663006e-04
2179072,61365,28327936,249156,1.108206e-01,3.894751e-02,7.871863e-03,2.073478e-04
2195456,61369,28540928,251089,1.123780e-01,3.991792e-02,8.150641e-03,1.803427e-04
2211840,61388,28753920,252959,1.105939e-01,3.423238e-02,7.831684e-03,3.653722e-04
2228224,61401,28966912,254834,1.120134e-01,3.079274e-02,8.084938e-03,5.086988e-04
2244608,61416,29179904,256706,1.079146e-01,2.981650e-02,7.364647e-03,5.536884e-04
2260992,61424,29392896,258561,1.098848e-01,3.217748e-02,7.706689e-03,4.481522e-04
2277376,61425,29605888,260447,1.082499e-01,4.558148e-02,7.422310e-03,6.030469e-05
2293760,61477,29818880,262370,1.048822e-01,4.847790e-02,6.853381e-03,2.370904e-05
2310144,62654,30031872,264244,1.096443e-01,4.723482e-02,7.664508e-03,3.735985e-05
2326528,63637,30244864,266111,1.076203e-01,4.969683e-02,7.314217e-03,1.332436e-05
2342912,64640,30457856,267981,1.094871e-01,4.347822e-02,7.637013e-03,9.739462e-05
2359296,64704,30670848,269810,1.086792e-01,4.125258e-02,7.496457e-03,1.462771e-04
2375680,64721,30883840,271699,1.027469e-01,4.372711e-02,6.504394e-03,9.254403e-05
2392064,64764,31096832,273510,9.996433e-02,3.930175e-02,6.063307e-03,1.972717e-04
2408448,64790,31309824,275375,9.793950e-02,3.331529e-02,5.752071e-03,4.012728e-04
2424832,64796,31522816,277185,1.026848e-01,3.111637e-02,6.494376e-03,4.942050e-04
2441216,64813,31735808,279082,1.019066e-01,3.035921e-02,6.369555e-03,5.284424e-04
2457600,64819,31948800,280954,9.985320e-02,3.046967e-02,6.046013e-03,5.233762e-04
2473984,64819,32161792,282781,9.689992e-02,3.448020e-02,5.595463e-03,3.559595e-04
2490368,64833,32374784,284799,9.476031e-02,3.394813e-02,5.279944e-03,3.763194e-04
2506752,64834,32587776,286615,9.092405e-02,2.942536e-02,4.737151e-03,5.722489e-04
2523136,64839,32800768,288407,8.740718e-02,3.196954e-02,4.265408e-03,4.569996e-04
2539520,64853,33013760,290288,8.671724e-02,3.148777e-02,4.175764e-03,4.778298e-04
2555904,64857,33226752,292139,8.668151e-02,3.278156e-02,4.171147e-03,4.229408e-04
2572288,64857,33439744,294032,8.913822e-02,3.323171e-02,4.494514e-03,4.046283e-04
2588672,64862,33652736,295829,9.271993e-02,2.665175e-02,4.987585e-03,7.126412e-04
2605056,64872,33865728,297629,9.293529e-02,3.280107e-02,5.018050e-03,4.221387e-04
2621440,64874,34078720,299557,9.535312e-02,3.809315e-02,5.366446e-03,2.326828e-04
2637824,64875,34291712,301433,1.003576e-01,3.934493e-02,6.124704e-03,1.960604e-04
2654208,64881,34504704,303298,1.010268e-01,3.497565e-02,6.229893e-03,3.375098e-04
2670592,64884,34717696,305165,1.015787e-01,3.451392e-02,6.317331e-03,3.546882e-04
2686976,64887,34930688,307039,9.969191e-02,3.073597e-02,6.020957e-03,5.112628e-04
2703360,64893,35143680,308778,9.838828e-02,3.401125e-02,5.820346e-03,3.738747e-04
2719744,64904,35356672,310664,9.245498e-02,3.788083e-02,4.950232e-03,2.392053e-04
2736128,64905,35569664,312540,8.874560e-02,3.617180e-02,4.442025e-03,2.949906e-04
2752512,64909,35782656,314487,8.062907e-02,3.875849e-02,3.425993e-03,2.128271e-04
2768896,64915,35995648,316299,8.284541e-02,4.201905e-02,3.690359e-03,1.283244e-04
2785280,64918,36208640,318132,8.009907e-02,3.794626e-02,3.364230e-03,2.371856e-04
2801664,64919,36421632,320045,8.540264e-02,3.889555e-02,4.007593e-03,2.088469e-04
2818048,64921,36634624,321811,8.740998e-02,3.892127e-02,4.265774e-03,2.081042e-04
2834432,64921,36847616,323700,8.564410e-02,3.734840e-02,4.038222e-03,2.559580e-04
2850816,64929,37060608,325585,8.728544e-02,3.742810e-02,4.249521e-03,2.534142e-04
2867200,64942,37273600,327480,8.137223e-02,4.045794e-02,3.513542e-03,1.661302e-04
2883584,64947,37486592,329358,8.267841e-02,3.883764e-02,3.670096e-03,2.105242e-04
2899968,64953,37699584,331148,7.984590e-02,3.602208e-02,3.334925e-03,3.001560e-04
2916352,64959,37912576,332967,8.416785e-02,3.352626e-02,3.852780e-03,3.928651e-04
2932736,64961,38125568,334850,8.633979e-02,3.104921e-02,4.127124e-03,4.971955e-04
2949120,64962,38338560,336710,8.854870e-02,3.424763e-02,4.415818e-03,3.647895e-04
2965504,64965,38551552,338578,8.897131e-02,3.520893e-02,4.472162e-03,3.289928e-04
2981888,64970,38764544,340574,8.840993e-02,3.860367e-02,4.397393e-03,2.173682e-04
2998272,64975,38977536,342389,9.334439e-02,3.805765e-02,5.076178e-03,2.337669e-04
3014656,64976,39190528,344264,9.257771e-02,3.738564e-02,4.967518e-03,2.547680e-04
3031040,64985,39403520,346120,9.182331e-02,3.328115e-02,4.861746e-03,4.026418e-04
3047424,64986,39616512,347982,8.866686e-02,3.285916e-02,4.431534e-03,4.197551e-04
3063808,64989,39829504,349824,8.925699e-02,2.893247e-02,4.510453e-03,5.960735e-04
3080192,64995,40042496,351706,8.800193e-02,2.991740e-02,4.343448e-03,5.489503e-04
3096576,64999,40255488,353551,8.533391e-02,3.418317e-02,3.998895e-03,3.672557e-04
3112960,65002,40468480,355435,8.398908e-02,2.967682e-02,3.830619e-03,5.602816e-04
3129344,65010,40681472,357377,8.116092e-02,3.124635e-02,3.488536e-03,4.884428e-04
3145728,65021,40894464,359270,7.830715e-02,3.340528e-02,3.159571e-03,3.976757e-04
3162112,65023,41107456,361151,7.601545e-02,3.002458e-02,2.907190e-03,5.439395e-04
3178496,65038,41320448,363090,7.782491e-02,3.078794e-02,3.105590e-03,5.089153e-04
3194880,65049,41533440,364924,7.368506e-02,3.349053e-02,2.661319e-03,3.942830e-04
3211264,65054,41746432,366853,7.328828e-02,3.266333e-02,2.620538e-03,4.278177e-04
3227648,65068,41959424,368682,7.463583e-02,2.991758e-02,2.760319e-03,5.489421e-04
3244032,65075,42172416,370527,7.366608e-02,2.802003e-02,2.659361e-03,6.414600e-04
3260416,65094,42385408,372413,7.088826e-02,2.944793e-02,2.380578e-03,5.711698e-04
3276800,65150,42598400,374348,6.955062e-02,2.620098e-02,2.251838e-03,7.369113e-04
3293184,65212,42811392,376204,7.026371e-02,2.597146e-02,2.320024e-03,7.494253e-04
3309568,65311,43024384,378094,7.338544e-02,3.042583e-02,2.630495e-03,5.253839e-04
3325952,65383,43237376,379925,7.877227e-02,3.054694e-02,3.212076e-03,5.198466e-04
3342336,65386,43450368,381721,8.094785e-02,3.204778e-02,3.463413e-03,4.536604e-04
3358720,65724,43663360,383487,7.871691e-02,3.537356e-02,3.205804e-03,3.230478e-04
3375104,67437,43876352,385273,8.255518e-02,3.392384e-02,3.655181e-03,3.772627e-04
3391488,67472,44089344,387159,8.636153e-02,3.366372e-02,4.129918e-03,3.874350e-04
3407872,67524,44302336,389003,8.234525e-02,3.225482e-02,3.629842e-03,4.448838e-04
3424256,67543,44515328,390867,7.999323e-02,3.480363e-02,3.351963e-03,3.438599e-04
3440640,70038,44728320,392806,7.591191e-02,3.520572e-02,2.896035e-03,3.291092e-04
3457024,71724,44941312,394642,7.420142e-02,3.685137e-02,2.714861e-03,2.721089e-04
3473408,73764,45154304,396500,7.397312e-02,3.853055e-02,2.691122e-03,2.195299e-04
3489792,74560,45367296,398408,7.634839e-02,3.812668e-02,2.943203e-03,2.316607e-04
3506176,75415,45580288,400282,7.210530e-02,4.113850e-02,2.500821e-03,1.490496e-04
3522560,75431,45793280,402064,7.220942e-02,3.545233e-02,2.511246e-03,3.202224e-04
3538944,75494,46006272,403868,6.979920e-02,3.048299e-02,2.275491e-03,5.227672e-04
3555328,76421,46219264,405783,6.946385e-02,3.167846e-02,2.243610e-03,4.695294e-04
3571712,79648,46432256,407714,6.969827e-02,3.148742e-02,2.265872e-03,4.778453e-04
3588096,79683,46645248,409652,6.802530e-02,3.375851e-02,2.109400e-03,3.837124e-04
3604480,79703,46858240,411501,7.148643e-02,2.938053e-02,2.439307e-03,5.743958e-04
3620864,81866,47071232,413403,6.935156e-02,2.426835e-02,2.232985e-03,8.455730e-04
3637248,83280,47284224,415339,6.491045e-02,2.370458e-02,1.832984e-03,8.786783e-04
3653632,83283,47497216,417290,6.356357e-02,2.265780e-02,1.719469e-03,9.418323e-04
3670016,83314,47710208,419140,6.377567e-02,2.456108e-02,1.737104e-03,8.286342e-04
3686400,83316,47923200,421005,6.266131e-02,2.916456e-02,1.645456e-03,5.847948e-04
3702784,83339,48136192,422833,6.448929e-02,2.993850e-02,1.797099e-03,5.479619e-04
3719168,83357,48349184,424714,6.325433e-02,3.257445e-02,1.693918e-03,4.315024e-04
3735552,83374,48562176,426627,6.294855e-02,3.617460e-02,1.668842e-03,2.948943e-04
3751936,83411,48775168,428520,6.542163e-02,3.920118e-02,1.877016e-03,2.001067e-04
3768320,83424,48988160,430383,6.595897e-02,4.091513e-02,1.923865e-03,1.545536e-04
3784704,83424,49201152,432206,6.306169e-02,3.988600e-02,1.678099e-03,1.812010e-04
