Alg,Circuit,DType,R_label,qubits,depth,time,init,final,samples,nodes,threads,paths,nzero_paths,estR,estI,varR,varI
BD_V,510,SP,2,10,13,1696777,0,0,134217728,1,128,1744830464,15331299,2.75677610e-02,4.98974919e-02,2.99282383e-05,1.18997159e-05
BD_V,510,SP,1,10,13,1775087,0,0,134217728,1,128,1744830464,15334812,1.96752567e-02,6.20600395e-02,5.86527767e-06,7.59155155e-05
BD_V,510,SP,3,10,13,1682154,0,0,134217728,1,128,1744830464,15341556,2.17434578e-02,5.18115722e-02,1.25055948e-07,2.35780999e-06
BD_V,510,SP,4,10,13,1864292,0,0,134217728,1,128,1744830464,15335584,1.83296241e-02,4.83495668e-02,1.41938017e-05,2.49752229e-05
BD_V,510,SP,5,10,13,1684242,0,0,134217728,1,128,1744830464,15336412,2.66137552e-02,4.87202629e-02,2.04002627e-05,2.14075135e-05
