trueR,trueI
2.209709e-02,5.334709e-02
n_samples,time,n_paths,n_NZero_paths,estimateR,estimateI,varianceR,varianceI
16384,18879,16384,29,-1.121320e+00,1.792892e+00,1.307402e+00,3.026015e+00
32768,18881,32768,48,1.146446e+00,2.207105e+00,1.264159e+00,4.638674e+00
49152,18884,49152,80,8.417079e-01,2.853551e+00,6.717618e-01,7.841143e+00
65536,18889,65536,113,1.521445e+00,2.249998e+00,2.248045e+00,4.825276e+00
81920,18919,81920,144,1.187867e+00,2.029288e+00,1.359019e+00,3.904342e+00
98304,18919,98304,176,1.534517e+00,1.652368e+00,2.287413e+00,2.556866e+00
114688,18922,114688,197,1.273458e+00,1.487744e+00,1.565904e+00,2.057493e+00
131072,18925,131072,227,1.140164e+00,9.374993e-01,1.250074e+00,7.817250e-01
147456,18925,147456,263,7.289616e-01,8.265927e-01,4.996575e-01,5.979087e-01
163840,18939,163840,292,8.414207e-01,1.029289e+00,6.712911e-01,9.524617e-01
180224,18945,180224,337,9.922004e-01,8.714345e-01,9.411005e-01,6.692669e-01
196608,18947,196608,365,6.961288e-01,8.282778e-01,4.543188e-01,6.005175e-01
212992,18949,212992,391,6.969732e-01,7.101713e-01,4.554577e-01,4.314180e-01
229376,18955,229376,420,6.767761e-01,6.446514e-01,4.286045e-01,3.496408e-01
245760,18959,245760,456,6.218946e-01,7.861923e-01,3.597570e-01,5.370620e-01
262144,18962,262144,490,6.584703e-01,8.124994e-01,4.049708e-01,5.763122e-01
278528,18967,278528,517,6.197367e-01,7.352936e-01,3.571731e-01,4.650510e-01
294912,18968,294912,549,5.622951e-01,5.765929e-01,2.918139e-01,2.737861e-01
311296,18966,311296,569,4.691687e-01,5.725617e-01,1.998731e-01,2.695838e-01
327680,18969,327680,598,2.353551e-01,4.232230e-01,4.547898e-02,1.368082e-01
344064,18970,344064,632,3.054385e-01,4.030696e-01,8.028234e-02,1.223058e-01
360448,18969,360448,669,1.590907e-01,5.399396e-01,1.876726e-02,2.367723e-01
376832,18972,376832,713,1.646427e-02,4.909950e-01,3.172861e-05,1.915357e-01
393216,18974,393216,745,7.148819e-03,4.791664e-01,2.234508e-04,1.813221e-01
409600,18977,409600,788,-4.852849e-03,5.082839e-01,7.262992e-04,2.069675e-01
425984,18981,425984,824,8.022245e-02,6.120847e-01,3.378558e-03,3.121877e-01
442368,18982,442368,861,9.670035e-02,5.609791e-01,5.565647e-03,2.576903e-01
458752,18982,458752,890,8.585010e-02,5.914518e-01,4.064447e-03,2.895566e-01
475136,18985,475136,924,-3.188350e-02,6.126812e-01,2.913905e-03,3.128546e-01
491520,18986,491520,948,-4.748737e-02,6.893989e-01,4.841997e-03,4.045618e-01
507904,18989,507904,974,-7.821356e-02,6.860566e-01,1.006223e-02,4.003212e-01
524288,18991,524288,1017,-1.980885e-01,6.646173e-01,4.848169e-02,3.736512e-01
540672,18994,540672,1055,-1.920858e-01,5.321409e-01,4.587431e-02,2.292435e-01
557056,18994,557056,1090,-2.158480e-01,4.307776e-01,5.661785e-02,1.424538e-01
573440,18995,573440,1123,-2.929441e-01,4.219360e-01,9.925093e-02,1.358578e-01
589824,18997,589824,1158,-2.922447e-01,3.946417e-01,9.881075e-02,1.164820e-01
606208,18997,606208,1192,-3.225682e-01,3.490326e-01,1.187941e-01,8.742995e-02
622592,18998,622592,1227,-3.512957e-01,4.056370e-01,1.394221e-01,1.241082e-01
638976,18999,638976,1267,-4.751593e-01,3.552192e-01,2.472639e-01,9.112675e-02
655360,19003,655360,1298,-5.059580e-01,3.441940e-01,2.788422e-01,8.459193e-02
671744,19004,671744,1332,-4.641759e-01,3.824871e-01,2.364614e-01,1.083332e-01
688128,19003,688128,1374,-4.348439e-01,4.343483e-01,2.087951e-01,1.451620e-01
704512,19004,704512,1409,-4.397649e-01,3.995807e-01,2.133165e-01,1.198777e-01
720896,19007,720896,1435,-5.020880e-01,4.486961e-01,2.747700e-01,1.563009e-01
737280,19009,737280,1462,-5.302141e-01,4.753128e-01,3.050476e-01,1.780551e-01
753664,19007,753664,1494,-5.634847e-01,5.142792e-01,3.429060e-01,2.124584e-01
770048,19008,770048,1526,-5.971646e-01,5.321360e-01,3.834851e-01,2.292389e-01
786432,19009,786432,1559,-6.037698e-01,5.627165e-01,3.917094e-01,2.594572e-01
802816,19010,802816,1594,-6.232982e-01,5.661760e-01,4.165351e-01,2.629935e-01
