trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , estimateR , estimateI, varianceR, varianceI
16384 , 28194645 , 704512 , 0.000000 , 0.000000, 1.000000, 0.000000
32768 , 28234054 , 1409024 , 0.999982 , -0.000000, 0.000000, 0.000000
49152 , 28270347 , 2113536 , 1.333310 , -0.000000, 0.111095, 0.000000
65536 , 28275880 , 2818048 , 0.999982 , -0.000000, 0.000000, 0.000000
81920 , 28316535 , 3522560 , 0.799986 , -0.000000, 0.040006, 0.000000
98304 , 28321838 , 4227072 , 0.999982 , -0.000000, 0.000000, 0.000000
114688 , 28335548 , 4931584 , 1.142837 , -0.000000, 0.020402, 0.000000
131072 , 28365207 , 5636096 , 0.999982 , -0.000000, 0.000000, 0.000000
147456 , 56296858 , 6340608 , 0.888873 , -0.000000, 0.012349, 0.000000
163840 , 56360101 , 7045120 , 0.799986 , -0.000000, 0.040006, 0.000000
180224 , 56378902 , 7749632 , 0.727260 , -0.000000, 0.074387, 0.000000
196608 , 56496973 , 8454144 , 0.666655 , -0.000000, 0.111119, 0.000000
212992 , 56502545 , 9158656 , 0.923061 , -0.000000, 0.005920, 0.000000
229376 , 56526595 , 9863168 , 0.857128 , -0.000000, 0.020412, 0.000000
245760 , 56585497 , 10567680 , 0.933317 , -0.000000, 0.004447, 0.000000
262144 , 56605710 , 11272192 , 0.874985 , -0.000000, 0.015629, 0.000000
278528 , 84589844 , 11976704 , 0.823515 , -0.000000, 0.031147, 0.000000
294912 , 84700341 , 12681216 , 0.888873 , -0.000000, 0.012349, 0.000000
311296 , 84787593 , 13385728 , 0.842090 , -0.000000, 0.024935, 0.000000
327680 , 84806071 , 14090240 , 0.799986 , -0.000000, 0.040006, 0.000000
344064 , 84835929 , 14794752 , 0.761891 , -0.000000, 0.056696, 0.000000
360448 , 84860550 , 15499264 , 0.727260 , -0.000000, 0.074387, 0.000000
376832 , 84943842 , 16203776 , 0.869550 , -0.000000, 0.017017, 0.000000
393216 , 84956813 , 16908288 , 0.833319 , -0.000000, 0.027783, 0.000000
409600 , 112789950 , 17612800 , 0.799986 , -0.000000, 0.040006, 0.000000
425984 , 112904307 , 18317312 , 0.923061 , -0.000000, 0.005920, 0.000000
442368 , 112955186 , 19021824 , 0.962946 , -0.000000, 0.001373, 0.000000
458752 , 112978850 , 19726336 , 0.928555 , -0.000000, 0.005104, 0.000000
475136 , 113055868 , 20430848 , 0.896536 , -0.000000, 0.010705, 0.000000
491520 , 113068988 , 21135360 , 0.866651 , -0.000000, 0.017782, 0.000000
507904 , 113143385 , 21839872 , 0.838695 , -0.000000, 0.026019, 0.000000
524288 , 113326562 , 22544384 , 0.812486 , -0.000000, 0.035162, 0.000000
540672 , 142281295 , 23248896 , 0.909075 , -0.000000, 0.008267, 0.000000
557056 , 142295669 , 23953408 , 0.882337 , -0.000000, 0.013844, 0.000000
573440 , 142320722 , 24657920 , 0.857128 , -0.000000, 0.020412, 0.000000
589824 , 142414641 , 25362432 , 0.833319 , -0.000000, 0.027783, 0.000000
606208 , 142428776 , 26066944 , 0.810796 , -0.000000, 0.035798, 0.000000
622592 , 142433961 , 26771456 , 0.842090 , -0.000000, 0.024935, 0.000000
638976 , 142462191 , 27475968 , 0.871779 , -0.000000, 0.016441, 0.000000
655360 , 142742293 , 28180480 , 0.849985 , -0.000000, 0.022505, 0.000000
671744 , 171220394 , 28884992 , 0.829254 , -0.000000, 0.029154, 0.000000
688128 , 171229021 , 29589504 , 0.809510 , -0.000000, 0.036287, 0.000000
704512 , 171293707 , 30294016 , 0.790684 , -0.000000, 0.043813, 0.000000
720896 , 171308460 , 30998528 , 0.772714 , -0.000000, 0.051659, 0.000000
737280 , 171546439 , 31703040 , 0.755542 , -0.000000, 0.059760, 0.000000
753664 , 171594311 , 32407552 , 0.782595 , -0.000000, 0.047265, 0.000000
770048 , 171616406 , 33112064 , 0.765944 , -0.000000, 0.054782, 0.000000
786432 , 171827065 , 33816576 , 0.791653 , -0.000000, 0.043409, 0.000000
802816 , 199314683 , 34521088 , 0.775497 , -0.000000, 0.050402, 0.000000
819200 , 199562019 , 35225600 , 0.759987 , -0.000000, 0.057606, 0.000000
835584 , 199573904 , 35930112 , 0.784300 , -0.000000, 0.046527, 0.000000
851968 , 199619634 , 36634624 , 0.769217 , -0.000000, 0.053261, 0.000000
868352 , 199841256 , 37339136 , 0.754704 , -0.000000, 0.060170, 0.000000
884736 , 199902731 , 38043648 , 0.740728 , -0.000000, 0.067222, 0.000000
901120 , 199955577 , 38748160 , 0.727260 , -0.000000, 0.074387, 0.000000
917504 , 200047890 , 39452672 , 0.714273 , -0.000000, 0.081640, 0.000000
933888 , 227507550 , 40157184 , 0.736829 , -0.000000, 0.069259, 0.000000
950272 , 227777235 , 40861696 , 0.724125 , -0.000000, 0.076107, 0.000000
966656 , 227857644 , 41566208 , 0.711852 , -0.000000, 0.083029, 0.000000
983040 , 227946287 , 42270720 , 0.699988 , -0.000000, 0.090007, 0.000000
999424 , 228038747 , 42975232 , 0.754085 , -0.000000, 0.060474, 0.000000
1015808 , 228117576 , 43679744 , 0.741922 , -0.000000, 0.066604, 0.000000
1032192 , 228210206 , 44384256 , 0.730146 , -0.000000, 0.072821, 0.000000
1048576 , 228293239 , 45088768 , 0.718737 , -0.000000, 0.079109, 0.000000
