trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , estimateR , estimateI, varianceR, varianceI
65536 , 108591438 , 2818048 , 1.999965 , -0.000000, 0.999929, 0.000000
131072 , 108690943 , 5636096 , 1.499974 , -0.000000, 0.249974, 0.000000
196608 , 108699998 , 8454144 , 1.499974 , -0.000000, 0.249974, 0.000000
262144 , 108750836 , 11272192 , 1.499974 , -0.000000, 0.249974, 0.000000
327680 , 108775408 , 14090240 , 1.299977 , -0.000000, 0.089986, 0.000000
393216 , 108808845 , 16908288 , 1.083314 , -0.000000, 0.006941, 0.000000
458752 , 108881982 , 19726336 , 0.999982 , -0.000000, 0.000000, 0.000000
524288 , 108925162 , 22544384 , 1.124980 , -0.000000, 0.015620, 0.000000
589824 , 217048858 , 25362432 , 1.055537 , -0.000000, 0.003084, 0.000000
655360 , 217238985 , 28180480 , 1.099981 , -0.000000, 0.009996, 0.000000
720896 , 217295048 , 30998528 , 0.999982 , -0.000000, 0.000000, 0.000000
786432 , 217408174 , 33816576 , 1.083314 , -0.000000, 0.006941, 0.000000
851968 , 217581633 , 36634624 , 0.999982 , -0.000000, 0.000000, 0.000000
917504 , 217714437 , 39452672 , 0.964269 , -0.000000, 0.001277, 0.000000
983040 , 217736516 , 42270720 , 0.933317 , -0.000000, 0.004447, 0.000000
1048576 , 218022352 , 45088768 , 1.093731 , -0.000000, 0.008785, 0.000000
1114112 , 325802569 , 47906816 , 1.088216 , -0.000000, 0.007782, 0.000000
1179648 , 325969030 , 50724864 , 1.083314 , -0.000000, 0.006941, 0.000000
1245184 , 326075597 , 53542912 , 1.131559 , -0.000000, 0.017308, 0.000000
1310720 , 326244173 , 56360960 , 1.149980 , -0.000000, 0.022494, 0.000000
1376256 , 326446231 , 59179008 , 1.142837 , -0.000000, 0.020402, 0.000000
1441792 , 326512015 , 61997056 , 1.113617 , -0.000000, 0.012909, 0.000000
1507328 , 326671837 , 64815104 , 1.086937 , -0.000000, 0.007558, 0.000000
1572864 , 326868546 , 67633152 , 1.124980 , -0.000000, 0.015620, 0.000000
1638400 , 434167123 , 70451200 , 1.099981 , -0.000000, 0.009996, 0.000000
1703936 , 434587941 , 73269248 , 1.076904 , -0.000000, 0.005914, 0.000000
1769472 , 434897230 , 76087296 , 1.037019 , -0.000000, 0.001370, 0.000000
1835008 , 435180700 , 78905344 , 1.017839 , -0.000000, 0.000318, 0.000000
1900544 , 435230580 , 81723392 , 0.999982 , -0.000000, 0.000000, 0.000000
1966080 , 435399370 , 84541440 , 0.999982 , -0.000000, 0.000000, 0.000000
2031616 , 435499277 , 87359488 , 1.016111 , -0.000000, 0.000260, 0.000000
2097152 , 435963725 , 90177536 , 1.015607 , -0.000000, 0.000244, 0.000000
2162688 , 544622078 , 92995584 , 1.030285 , -0.000000, 0.000917, 0.000000
2228224 , 544951749 , 95813632 , 1.014688 , -0.000000, 0.000216, 0.000000
2293760 , 545327839 , 98631680 , 1.014268 , -0.000000, 0.000204, 0.000000
2359296 , 545440289 , 101449728 , 1.027760 , -0.000000, 0.000771, 0.000000
2424832 , 545777739 , 104267776 , 1.040522 , -0.000000, 0.001642, 0.000000
2490368 , 545882212 , 107085824 , 1.013140 , -0.000000, 0.000173, 0.000000
2555904 , 545964074 , 109903872 , 1.012803 , -0.000000, 0.000164, 0.000000
2621440 , 546919094 , 112721920 , 0.999982 , -0.000000, 0.000000, 0.000000
2686976 , 653545751 , 115539968 , 0.987787 , -0.000000, 0.000149, 0.000000
2752512 , 653900685 , 118358016 , 0.976173 , -0.000000, 0.000568, 0.000000
2818048 , 654093393 , 121176064 , 0.988355 , -0.000000, 0.000136, 0.000000
2883584 , 654137881 , 123994112 , 1.011346 , -0.000000, 0.000129, 0.000000
2949120 , 654687784 , 126812160 , 0.999982 , -0.000000, 0.000000, 0.000000
3014656 , 654780377 , 129630208 , 0.989113 , -0.000000, 0.000119, 0.000000
3080192 , 654836154 , 132448256 , 0.978706 , -0.000000, 0.000453, 0.000000
3145728 , 655994677 , 135266304 , 0.968733 , -0.000000, 0.000978, 0.000000
3211264 , 764259822 , 138084352 , 0.948963 , -0.000000, 0.002605, 0.000000
3276800 , 764557097 , 140902400 , 0.959983 , -0.000000, 0.001601, 0.000000
3342336 , 764729779 , 143720448 , 0.980375 , -0.000000, 0.000385, 0.000000
3407872 , 764841704 , 146538496 , 0.971137 , -0.000000, 0.000833, 0.000000
3473408 , 765436803 , 149356544 , 0.952813 , -0.000000, 0.002227, 0.000000
3538944 , 765503894 , 152174592 , 0.944428 , -0.000000, 0.003088, 0.000000
3604480 , 765514218 , 154992640 , 0.963619 , -0.000000, 0.001324, 0.000000
3670016 , 766967843 , 157810688 , 0.955340 , -0.000000, 0.001994, 0.000000
3735552 , 873302736 , 160628736 , 0.964895 , -0.000000, 0.001232, 0.000000
3801088 , 873395360 , 163446784 , 0.956880 , -0.000000, 0.001859, 0.000000
3866624 , 873497997 , 166264832 , 0.957610 , -0.000000, 0.001797, 0.000000
3932160 , 873849542 , 169082880 , 0.966650 , -0.000000, 0.001112, 0.000000
3997696 , 874226006 , 171900928 , 0.967196 , -0.000000, 0.001076, 0.000000
4063232 , 874235472 , 174718976 , 0.951596 , -0.000000, 0.002343, 0.000000
4128768 , 874358682 , 177537024 , 0.952364 , -0.000000, 0.002269, 0.000000
4194304 , 875313155 , 180355072 , 0.945296 , -0.000000, 0.002993, 0.000000
