circuitID,psi_init,psi_final,amplitude,qubits,layers,paths,non zero paths,non zero pdf paths
19,0,0,(0.07304991685662326+0.017797982337403907j),3,6,32768,4,64
ndx,throughput,pdf
91,(-0.006986713109007309+0.0006550686352636555j),4.924327498448076e-05
1462,(0.03129038745576096+0.009859701160431963j),0.0010763020541046657
2431,(-8.06632243000765e-05-5.136601687605396e-06j),6.53294043138156e-09
3218,(0.04882690573416969+0.007288349143395894j),0.0024371867568095313
