n_samples , n_paths , estimateR , estimateI
8192 , 475136 , 1.757575 , 0.000000
16384 , 950272 , -0.060606 , 0.000000
24576 , 1425408 , -0.282828 , 0.000000
32768 , 1900544 , -1.030303 , 0.000000
40960 , 2375680 , -0.593939 , 0.000000
49152 , 2850816 , -0.515151 , 0.000000
57344 , 3325952 , -0.735931 , 0.000000
65536 , 3801088 , -0.303030 , 0.000000
73728 , 4276224 , -0.491582 , 0.000000
81920 , 4751360 , -0.272727 , 0.000000
90112 , 5226496 , -0.264463 , 0.000000
98304 , 5701632 , -0.328283 , 0.000000
106496 , 6176768 , -0.349650 , 0.000000
114688 , 6651904 , -0.216450 , 0.000000
122880 , 7127040 , -0.177778 , 0.000000
131072 , 7602176 , -0.140152 , 0.000000
139264 , 8077312 , -0.089127 , 0.000000
147456 , 8552448 , -0.043771 , 0.000000
155648 , 9027584 , -0.041467 , 0.000000
163840 , 9502720 , 0.096970 , 0.000000
172032 , 9977856 , 0.083694 , 0.000000
180224 , 10452992 , 0.123967 , 0.000000
188416 , 10928128 , 0.060606 , 0.000000
196608 , 11403264 , 0.007576 , 0.000000
204800 , 11878400 , 0.014545 , 0.000000
212992 , 12353536 , -0.011655 , 0.000000
221184 , 12828672 , 0.033670 , 0.000000
229376 , 13303808 , 0.036797 , 0.000000
237568 , 13778944 , 0.123302 , 0.000000
245760 , 14254080 , 0.078788 , 0.000000
253952 , 14729216 , 0.066471 , 0.000000
262144 , 15204352 , 0.054924 , 0.000000
270336 , 15679488 , 0.029385 , 0.000000
278528 , 16154624 , -0.023173 , 0.000000
286720 , 16629760 , -0.019048 , 0.000000
294912 , 17104896 , -0.048822 , 0.000000
303104 , 17580032 , -0.034398 , 0.000000
311296 , 18055168 , -0.038277 , 0.000000
319488 , 18530304 , -0.021756 , 0.000000
327680 , 19005440 , -0.015151 , 0.000000
335872 , 19480576 , -0.031042 , 0.000000
344064 , 19955712 , -0.047619 , 0.000000
352256 , 20430848 , -0.036645 , 0.000000
360448 , 20905984 , -0.024793 , 0.000000
368640 , 21381120 , -0.036364 , 0.000000
376832 , 21856256 , 0.000000 , 0.000000
385024 , 22331392 , -0.003868 , 0.000000
393216 , 22806528 , -0.030303 , 0.000000
401408 , 23281664 , 0.017316 , 0.000000
409600 , 23756800 , 0.026667 , 0.000000
417792 , 24231936 , 0.039216 , 0.000000
425984 , 24707072 , 0.025641 , 0.000000
434176 , 25182208 , 0.044597 , 0.000000
442368 , 25657344 , 0.037037 , 0.000000
450560 , 26132480 , 0.091460 , 0.000000
458752 , 26607616 , 0.094156 , 0.000000
466944 , 27082752 , 0.080808 , 0.000000
475136 , 27557888 , 0.103448 , 0.000000
483328 , 28033024 , 0.027735 , 0.000000
491520 , 28508160 , 0.007071 , 0.000000
499712 , 28983296 , 0.035767 , 0.000000
507904 , 29458432 , 0.034213 , 0.000000
516096 , 29933568 , 0.054834 , 0.000000
524288 , 30408704 , 0.070076 , 0.000000
532480 , 30883840 , 0.065268 , 0.000000
540672 , 31358976 , 0.062443 , 0.000000
548864 , 31834112 , 0.058797 , 0.000000
557056 , 32309248 , 0.038324 , 0.000000
565248 , 32784384 , 0.044796 , 0.000000
