n_samples , n_paths , estimateR , estimateI
569344 , 33021952 , 1.059515 , 0.000000
573440 , 33259520 , 1.048484 , 0.000000
577536 , 33497088 , 1.055662 , 0.000000
581632 , 33734656 , 1.070422 , 0.000000
585728 , 33972224 , 1.046831 , 0.000000
589824 , 34209792 , 1.042087 , 0.000000
593920 , 34447360 , 1.044932 , 0.000000
598016 , 34684928 , 1.036114 , 0.000000
602112 , 34922496 , 1.062048 , 0.000000
606208 , 35160064 , 1.053234 , 0.000000
610304 , 35397632 , 1.038844 , 0.000000
614400 , 35635200 , 1.048888 , 0.000000
618496 , 35872768 , 1.049167 , 0.000000
622592 , 36110336 , 1.043859 , 0.000000
626688 , 36347904 , 1.025153 , 0.000000
630784 , 36585472 , 1.022432 , 0.000000
634880 , 36823040 , 1.015835 , 0.000000
638976 , 37060608 , 1.023309 , 0.000000
643072 , 37298176 , 0.994402 , 0.000000
647168 , 37535744 , 0.993479 , 0.000000
651264 , 37773312 , 0.990280 , 0.000000
655360 , 38010880 , 1.006060 , 0.000000
659456 , 38248448 , 1.019386 , 0.000000
663552 , 38486016 , 1.022820 , 0.000000
667648 , 38723584 , 1.018776 , 0.000000
671744 , 38961152 , 1.033259 , 0.000000
675840 , 39198720 , 1.040954 , 0.000000
679936 , 39436288 , 1.032493 , 0.000000
684032 , 39673856 , 1.040827 , 0.000000
688128 , 39911424 , 1.055555 , 0.000000
692224 , 40148992 , 1.057199 , 0.000000
696320 , 40386560 , 1.057397 , 0.000000
700416 , 40624128 , 1.061137 , 0.000000
704512 , 40861696 , 1.064129 , 0.000000
708608 , 41099264 , 1.064984 , 0.000000
712704 , 41336832 , 1.058167 , 0.000000
716800 , 41574400 , 1.057662 , 0.000000
720896 , 41811968 , 1.037878 , 0.000000
724992 , 42049536 , 1.022427 , 0.000000
729088 , 42287104 , 1.017364 , 0.000000
733184 , 42524672 , 1.016420 , 0.000000
737280 , 42762240 , 1.012120 , 0.000000
741376 , 42999808 , 1.009877 , 0.000000
745472 , 43237376 , 1.012320 , 0.000000
749568 , 43474944 , 1.012087 , 0.000000
753664 , 43712512 , 1.008563 , 0.000000
757760 , 43950080 , 1.002456 , 0.000000
761856 , 44187648 , 0.985337 , 0.000000
765952 , 44425216 , 0.985253 , 0.000000
770048 , 44662784 , 1.001933 , 0.000000
774144 , 44900352 , 0.995350 , 0.000000
778240 , 45137920 , 0.980542 , 0.000000
782336 , 45375488 , 0.984927 , 0.000000
786432 , 45613056 , 0.988636 , 0.000000
790528 , 45850624 , 0.980373 , 0.000000
794624 , 46088192 , 0.991564 , 0.000000
798720 , 46325760 , 0.985236 , 0.000000
802816 , 46563328 , 0.989486 , 0.000000
806912 , 46800896 , 0.998615 , 0.000000
811008 , 47038464 , 0.991735 , 0.000000
815104 , 47276032 , 0.986142 , 0.000000
819200 , 47513600 , 0.985454 , 0.000000
823296 , 47751168 , 0.981154 , 0.000000
827392 , 47988736 , 0.978697 , 0.000000
831488 , 48226304 , 0.992386 , 0.000000
835584 , 48463872 , 0.967320 , 0.000000
839680 , 48701440 , 0.963192 , 0.000000
843776 , 48939008 , 0.966166 , 0.000000
847872 , 49176576 , 0.964426 , 0.000000
851968 , 49414144 , 0.963286 , 0.000000
856064 , 49651712 , 0.977236 , 0.000000
860160 , 49889280 , 0.987012 , 0.000000
864256 , 50126848 , 0.984632 , 0.000000
868352 , 50364416 , 0.995425 , 0.000000
872448 , 50601984 , 0.996443 , 0.000000
876544 , 50839552 , 1.017841 , 0.000000
880640 , 51077120 , 0.999576 , 0.000000
884736 , 51314688 , 0.999999 , 0.000000
888832 , 51552256 , 0.987571 , 0.000000
892928 , 51789824 , 0.983041 , 0.000000
897024 , 52027392 , 0.992389 , 0.000000
901120 , 52264960 , 1.007713 , 0.000000
905216 , 52502528 , 1.004798 , 0.000000
909312 , 52740096 , 1.026480 , 0.000000
