trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , estimateR , estimateI, varianceR, varianceI
16384 , 5447149 , 704512 , 0.000000 , 0.000000, 1.000000, 0.000000
32768 , 5447535 , 1409024 , 0.000000 , 0.000000, 1.000000, 0.000000
49152 , 5455920 , 2113536 , 0.000000 , 0.000000, 1.000000, 0.000000
65536 , 5457724 , 2818048 , 0.000000 , 0.000000, 1.000000, 0.000000
81920 , 5465246 , 3522560 , 0.000000 , 0.000000, 1.000000, 0.000000
98304 , 5466457 , 4227072 , 0.000000 , 0.000000, 1.000000, 0.000000
114688 , 5468051 , 4931584 , 0.000000 , 0.000000, 1.000000, 0.000000
131072 , 5471396 , 5636096 , 0.000000 , 0.000000, 1.000000, 0.000000
147456 , 10881906 , 6340608 , 0.000000 , 0.000000, 1.000000, 0.000000
163840 , 10885575 , 7045120 , 0.000000 , 0.000000, 1.000000, 0.000000
180224 , 10886150 , 7749632 , 0.000000 , 0.000000, 1.000000, 0.000000
196608 , 10893712 , 8454144 , 0.000000 , 0.000000, 1.000000, 0.000000
212992 , 10920954 , 9158656 , 0.000000 , 0.000000, 1.000000, 0.000000
229376 , 10921685 , 9863168 , 0.000000 , 0.000000, 1.000000, 0.000000
245760 , 10926931 , 10567680 , 0.000000 , 0.000000, 1.000000, 0.000000
262144 , 10931157 , 11272192 , 0.000000 , 0.000000, 1.000000, 0.000000
278528 , 16313661 , 11976704 , 0.000000 , 0.000000, 1.000000, 0.000000
294912 , 16319944 , 12681216 , 0.000000 , 0.000000, 1.000000, 0.000000
311296 , 16324957 , 13385728 , 0.000000 , 0.000000, 1.000000, 0.000000
327680 , 16334099 , 14090240 , 0.000000 , 0.000000, 1.000000, 0.000000
344064 , 16361900 , 14794752 , 0.000000 , 0.000000, 1.000000, 0.000000
360448 , 16366740 , 15499264 , 0.000000 , 0.000000, 1.000000, 0.000000
376832 , 16376281 , 16203776 , 0.000000 , 0.000000, 1.000000, 0.000000
393216 , 16378130 , 16908288 , 0.000000 , 0.000000, 1.000000, 0.000000
409600 , 21810660 , 17612800 , 0.000000 , 0.000000, 1.000000, 0.000000
425984 , 21812008 , 18317312 , 0.000000 , 0.000000, 1.000000, 0.000000
442368 , 21828998 , 19021824 , 0.000000 , 0.000000, 1.000000, 0.000000
458752 , 21849732 , 19726336 , 0.000000 , 0.000000, 1.000000, 0.000000
475136 , 21875755 , 20430848 , 0.000000 , 0.000000, 1.000000, 0.000000
491520 , 21887913 , 21135360 , 0.000000 , 0.000000, 1.000000, 0.000000
507904 , 21892886 , 21839872 , 0.000000 , 0.000000, 1.000000, 0.000000
524288 , 21894028 , 22544384 , 0.000000 , 0.000000, 1.000000, 0.000000
540672 , 27238254 , 23248896 , 0.000000 , 0.000000, 1.000000, 0.000000
557056 , 27246796 , 23953408 , 0.000000 , 0.000000, 1.000000, 0.000000
573440 , 27254703 , 24657920 , 0.000000 , 0.000000, 1.000000, 0.000000
589824 , 27276979 , 25362432 , 0.000000 , 0.000000, 1.000000, 0.000000
606208 , 27318584 , 26066944 , 0.000000 , 0.000000, 1.000000, 0.000000
622592 , 27326899 , 26771456 , 0.000000 , 0.000000, 1.000000, 0.000000
638976 , 27328235 , 27475968 , 0.000000 , 0.000000, 1.000000, 0.000000
655360 , 27342261 , 28180480 , 0.000000 , 0.000000, 1.000000, 0.000000
671744 , 32667104 , 28884992 , 0.000000 , 0.000000, 1.000000, 0.000000
688128 , 32670287 , 29589504 , 0.000000 , 0.000000, 1.000000, 0.000000
704512 , 32688971 , 30294016 , 0.000000 , 0.000000, 1.000000, 0.000000
720896 , 32700936 , 30998528 , 0.000000 , 0.000000, 1.000000, 0.000000
737280 , 32760373 , 31703040 , 0.000000 , 0.000000, 1.000000, 0.000000
753664 , 32773621 , 32407552 , 0.000000 , 0.000000, 1.000000, 0.000000
770048 , 32774848 , 33112064 , 0.000000 , 0.000000, 1.000000, 0.000000
786432 , 32789671 , 33816576 , 0.000000 , 0.000000, 1.000000, 0.000000
802816 , 38096592 , 34521088 , 0.000000 , 0.000000, 1.000000, 0.000000
819200 , 38099347 , 35225600 , 0.000000 , 0.000000, 1.000000, 0.000000
835584 , 38112569 , 35930112 , 0.000000 , 0.000000, 1.000000, 0.000000
851968 , 38124915 , 36634624 , 0.000000 , 0.000000, 1.000000, 0.000000
868352 , 38199424 , 37339136 , 0.000000 , 0.000000, 1.000000, 0.000000
884736 , 38207531 , 38043648 , 0.000000 , 0.000000, 1.000000, 0.000000
901120 , 38227662 , 38748160 , 0.000000 , 0.000000, 1.000000, 0.000000
917504 , 38230693 , 39452672 , 0.000000 , 0.000000, 1.000000, 0.000000
933888 , 43519509 , 40157184 , 0.000000 , 0.000000, 1.000000, 0.000000
950272 , 43527177 , 40861696 , 0.000000 , 0.000000, 1.000000, 0.000000
966656 , 43528648 , 41566208 , 0.000000 , 0.000000, 1.000000, 0.000000
983040 , 43533720 , 42270720 , 0.000000 , 0.000000, 1.000000, 0.000000
999424 , 43638257 , 42975232 , 0.000000 , 0.000000, 1.000000, 0.000000
1015808 , 43655595 , 43679744 , 0.000000 , 0.000000, 1.000000, 0.000000
1032192 , 43662071 , 44384256 , 0.000000 , 0.000000, 1.000000, 0.000000
1048576 , 43684729 , 45088768 , 0.000000 , 0.000000, 1.000000, 0.000000
