trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , estimateR , estimateI, varianceR, varianceI
43690 , 2278391629 , 1878670 , 1.499970 , 0.000000, 0.249970, 0.000000
87380 , 2279411467 , 3757340 , 1.499970 , 0.000000, 0.249970, 0.000000
131070 , 2279459751 , 5636010 , 0.999980 , 0.000000, 0.000000, 0.000000
174760 , 2279549792 , 7514680 , 0.749985 , 0.000000, 0.062507, 0.000000
218450 , 2279607731 , 9393350 , 0.599988 , 0.000000, 0.160010, 0.000000
262140 , 2279702117 , 11272020 , 0.749985 , 0.000000, 0.062507, 0.000000
305830 , 2279804174 , 13150690 , 0.857126 , 0.000000, 0.020413, 0.000000
349520 , 2279814083 , 15029360 , 0.749985 , 0.000000, 0.062507, 0.000000
393210 , 2279854445 , 16908030 , 0.666653 , 0.000000, 0.111120, 0.000000
436900 , 2279907525 , 18786700 , 0.749985 , 0.000000, 0.062507, 0.000000
480590 , 2280103778 , 20665370 , 0.749985 , 0.000000, 0.062507, 0.000000
524280 , 2280133262 , 22544040 , 0.812484 , 0.000000, 0.035162, 0.000000
567970 , 2280140901 , 24422710 , 0.865367 , 0.000000, 0.018126, 0.000000
611660 , 2280386926 , 26301380 , 0.857126 , 0.000000, 0.020413, 0.000000
655350 , 2280449016 , 28180050 , 0.799984 , 0.000000, 0.040006, 0.000000
699040 , 2280536093 , 30058720 , 0.890607 , 0.000000, 0.011967, 0.000000
742730 , 2280643757 , 31937390 , 0.882335 , 0.000000, 0.013845, 0.000000
786420 , 2280775190 , 33816060 , 0.833317 , 0.000000, 0.027783, 0.000000
830110 , 2280926182 , 35694730 , 0.947350 , 0.000000, 0.002772, 0.000000
873800 , 2280983902 , 37573400 , 0.937481 , 0.000000, 0.003909, 0.000000
917490 , 2280987870 , 39452070 , 0.892839 , 0.000000, 0.011483, 0.000000
961180 , 2281027994 , 41330740 , 0.954526 , 0.000000, 0.002068, 0.000000
1004870 , 2281074803 , 43209410 , 0.978241 , 0.000000, 0.000473, 0.000000
1048560 , 2281136971 , 45088080 , 0.999980 , 0.000000, 0.000000, 0.000000
1092250 , 2281174963 , 46966750 , 0.959981 , 0.000000, 0.001602, 0.000000
1135940 , 2281186480 , 48845420 , 0.951904 , 0.000000, 0.002313, 0.000000
1179630 , 2281243862 , 50724090 , 0.944426 , 0.000000, 0.003089, 0.000000
1223320 , 2281329255 , 52602760 , 0.964267 , 0.000000, 0.001277, 0.000000
1267010 , 2281381830 , 54481430 , 0.931016 , 0.000000, 0.004759, 0.000000
1310700 , 2281452618 , 56360100 , 0.924982 , 0.000000, 0.005628, 0.000000
1354390 , 2281934107 , 58238770 , 0.991916 , 0.000000, 0.000065, 0.000000
1398080 , 2282060416 , 60117440 , 0.984355 , 0.000000, 0.000245, 0.000000
1441770 , 2282240401 , 61996110 , 0.977253 , 0.000000, 0.000517, 0.000000
1485460 , 2282291384 , 63874780 , 0.970569 , 0.000000, 0.000866, 0.000000
1529150 , 2282418672 , 65753450 , 0.942838 , 0.000000, 0.003267, 0.000000
1572840 , 2282715076 , 67632120 , 0.937481 , 0.000000, 0.003909, 0.000000
1616530 , 2282727391 , 69510790 , 0.952684 , 0.000000, 0.002239, 0.000000
1660220 , 2283657747 , 71389460 , 0.947350 , 0.000000, 0.002772, 0.000000
