trueR , trueI
-0.294651 , -0.186998
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI
365887 , 223755 , 3658870 , 1342840 , -0.294210 , -0.186566 , 0.000000 , 0.000000
371348 , 227068 , 3713480 , 1363074 , -0.294334 , -0.186670 , 0.000000 , 0.000000
376809 , 230403 , 3768090 , 1383147 , -0.294347 , -0.186688 , 0.000000 , 0.000000
382270 , 233714 , 3822700 , 1403234 , -0.294393 , -0.186716 , 0.000000 , 0.000000
387731 , 237059 , 3877310 , 1423389 , -0.294475 , -0.186776 , 0.000000 , 0.000000
393192 , 240364 , 3931920 , 1443393 , -0.294468 , -0.186787 , 0.000000 , 0.000000
398653 , 243698 , 3986530 , 1463262 , -0.294375 , -0.186734 , 0.000000 , 0.000000
404114 , 247017 , 4041140 , 1483351 , -0.294423 , -0.186769 , 0.000000 , 0.000000
409575 , 250355 , 4095750 , 1503396 , -0.294447 , -0.186773 , 0.000000 , 0.000000
415036 , 253665 , 4150360 , 1523371 , -0.294464 , -0.186769 , 0.000000 , 0.000000
420497 , 256992 , 4204970 , 1543291 , -0.294425 , -0.186766 , 0.000000 , 0.000000
425958 , 260310 , 4259580 , 1563451 , -0.294494 , -0.186810 , 0.000000 , 0.000000
431419 , 263662 , 4314190 , 1583562 , -0.294494 , -0.186834 , 0.000000 , 0.000000
436880 , 266983 , 4368800 , 1603826 , -0.294555 , -0.186902 , 0.000000 , 0.000000
442341 , 270320 , 4423410 , 1623881 , -0.294502 , -0.186905 , 0.000000 , 0.000000
447802 , 273619 , 4478020 , 1644020 , -0.294548 , -0.186934 , 0.000000 , 0.000000
453263 , 276970 , 4532630 , 1664036 , -0.294503 , -0.186934 , 0.000000 , 0.000000
458724 , 280288 , 4587240 , 1684081 , -0.294513 , -0.186942 , 0.000000 , 0.000000
464185 , 283617 , 4641850 , 1704059 , -0.294527 , -0.186932 , 0.000000 , 0.000000
469646 , 286926 , 4696460 , 1724153 , -0.294623 , -0.186963 , 0.000000 , 0.000000
475107 , 290251 , 4751070 , 1744303 , -0.294688 , -0.186984 , 0.000000 , 0.000000
480568 , 293560 , 4805680 , 1764335 , -0.294659 , -0.186967 , 0.000000 , 0.000000
486029 , 296911 , 4860290 , 1784472 , -0.294688 , -0.186979 , 0.000000 , 0.000000
491490 , 300236 , 4914900 , 1804555 , -0.294728 , -0.186996 , 0.000000 , 0.000000
496951 , 303582 , 4969510 , 1824613 , -0.294757 , -0.186994 , 0.000000 , 0.000000
502412 , 306883 , 5024120 , 1844425 , -0.294631 , -0.186957 , 0.000000 , 0.000000
507873 , 310219 , 5078730 , 1864546 , -0.294618 , -0.186958 , 0.000000 , 0.000000
513334 , 313526 , 5133340 , 1884483 , -0.294585 , -0.186938 , 0.000000 , 0.000000
518795 , 316867 , 5187950 , 1904601 , -0.294618 , -0.186955 , 0.000000 , 0.000000
524256 , 320201 , 5242560 , 1924568 , -0.294608 , -0.186968 , 0.000000 , 0.000000
529717 , 323526 , 5297170 , 1944779 , -0.294670 , -0.186999 , 0.000000 , 0.000000
535178 , 326854 , 5351780 , 1965032 , -0.294739 , -0.187049 , 0.000000 , 0.000000
540639 , 330170 , 5406390 , 1985126 , -0.294726 , -0.187056 , 0.000000 , 0.000000
546100 , 333494 , 5461000 , 2005232 , -0.294775 , -0.187082 , 0.000000 , 0.000000
551561 , 336816 , 5515610 , 2025509 , -0.294862 , -0.187141 , 0.000000 , 0.000000
557022 , 340132 , 5570220 , 2045421 , -0.294787 , -0.187099 , 0.000000 , 0.000000
562483 , 343437 , 5624830 , 2065484 , -0.294769 , -0.187098 , 0.000000 , 0.000000
567944 , 346761 , 5679440 , 2085541 , -0.294782 , -0.187094 , 0.000000 , 0.000000
573405 , 350083 , 5734050 , 2105674 , -0.294753 , -0.187094 , 0.000000 , 0.000000
578866 , 353429 , 5788660 , 2125682 , -0.294758 , -0.187088 , 0.000000 , 0.000000
584327 , 356756 , 5843270 , 2145922 , -0.294825 , -0.187133 , 0.000000 , 0.000000
589788 , 360089 , 5897880 , 2166145 , -0.294856 , -0.187167 , 0.000000 , 0.000000
595249 , 363413 , 5952490 , 2186295 , -0.294878 , -0.187179 , 0.000000 , 0.000000
600710 , 366728 , 6007100 , 2206236 , -0.294817 , -0.187161 , 0.000000 , 0.000000
606171 , 370052 , 6061710 , 2226138 , -0.294782 , -0.187117 , 0.000000 , 0.000000
611632 , 373371 , 6116320 , 2246280 , -0.294796 , -0.187124 , 0.000000 , 0.000000
617093 , 376699 , 6170930 , 2266306 , -0.294788 , -0.187119 , 0.000000 , 0.000000
622554 , 380040 , 6225540 , 2286285 , -0.294772 , -0.187107 , 0.000000 , 0.000000
628015 , 383365 , 6280150 , 2306232 , -0.294722 , -0.187088 , 0.000000 , 0.000000
633476 , 386688 , 6334760 , 2326309 , -0.294717 , -0.187098 , 0.000000 , 0.000000
638937 , 390001 , 6389370 , 2346477 , -0.294775 , -0.187128 , 0.000000 , 0.000000
644398 , 393338 , 6443980 , 2366409 , -0.294729 , -0.187108 , 0.000000 , 0.000000
649859 , 396663 , 6498590 , 2386606 , -0.294739 , -0.187129 , 0.000000 , 0.000000
655320 , 400002 , 6553200 , 2406952 , -0.294800 , -0.187160 , 0.000000 , 0.000000
660781 , 403324 , 6607810 , 2427130 , -0.294798 , -0.187163 , 0.000000 , 0.000000
666242 , 406635 , 6662420 , 2447128 , -0.294781 , -0.187149 , 0.000000 , 0.000000
