trueR , trueI
0.250000 , -0.000000
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 4096 , 0.112827 , 0.029356, 0.018816, 0.000862
2048 , 8192 , 0.161632 , 0.006037, 0.007809, 0.000036
3072 , 12288 , 0.152909 , -0.005701, 0.009427, 0.000032
4096 , 16384 , 0.157442 , -0.006319, 0.008567, 0.000040
5120 , 20480 , 0.156863 , -0.007603, 0.008674, 0.000058
6144 , 24576 , 0.156746 , -0.009548, 0.008696, 0.000091
7168 , 28672 , 0.157081 , -0.000720, 0.008634, 0.000001
8192 , 32768 , 0.161151 , 0.011713, 0.007894, 0.000137
9216 , 36864 , 0.163563 , 0.007465, 0.007471, 0.000056
10240 , 40960 , 0.162035 , 0.007356, 0.007738, 0.000054
11264 , 45056 , 0.155543 , 0.001961, 0.008922, 0.000004
12288 , 49152 , 0.150770 , 0.004829, 0.009847, 0.000023
13312 , 53248 , 0.146555 , 0.003305, 0.010701, 0.000011
14336 , 57344 , 0.147998 , -0.001613, 0.010404, 0.000003
15360 , 61440 , 0.152443 , -0.002334, 0.009517, 0.000005
16384 , 65536 , 0.151433 , 0.004767, 0.009716, 0.000023
17408 , 69632 , 0.148001 , 0.003597, 0.010404, 0.000013
18432 , 73728 , 0.152384 , 0.000842, 0.009529, 0.000001
19456 , 77824 , 0.154269 , -0.000137, 0.009164, 0.000000
20480 , 81920 , 0.153737 , 0.002928, 0.009267, 0.000009
21504 , 86016 , 0.152551 , 0.002244, 0.009496, 0.000005
22528 , 90112 , 0.153632 , -0.000364, 0.009287, 0.000000
23552 , 94208 , 0.153698 , -0.004085, 0.009274, 0.000017
24576 , 98304 , 0.154667 , -0.001440, 0.009088, 0.000002
25600 , 102400 , 0.154644 , -0.004749, 0.009093, 0.000023
26624 , 106496 , 0.156355 , -0.006261, 0.008769, 0.000039
27648 , 110592 , 0.154426 , -0.004199, 0.009134, 0.000018
28672 , 114688 , 0.156116 , -0.003538, 0.008814, 0.000013
29696 , 118784 , 0.158305 , -0.004442, 0.008408, 0.000020
30720 , 122880 , 0.159556 , -0.005421, 0.008180, 0.000029
31744 , 126976 , 0.160560 , -0.004859, 0.008000, 0.000024
32768 , 131072 , 0.163252 , -0.004979, 0.007525, 0.000025
