trueR , trueI
0.250000 , -0.000000
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1024 , 4096 , 0.266853 , -0.071647, 0.000284, 0.005133
2048 , 8192 , 0.222107 , -0.024704, 0.000778, 0.000610
3072 , 12288 , 0.243121 , 0.011858, 0.000047, 0.000141
4096 , 16384 , 0.228815 , 0.017175, 0.000449, 0.000295
5120 , 20480 , 0.227777 , 0.008509, 0.000494, 0.000072
6144 , 24576 , 0.227003 , 0.008954, 0.000529, 0.000080
7168 , 28672 , 0.229536 , 0.005385, 0.000419, 0.000029
8192 , 32768 , 0.233394 , 0.000966, 0.000276, 0.000001
9216 , 36864 , 0.228859 , 0.006084, 0.000447, 0.000037
10240 , 40960 , 0.221036 , 0.016270, 0.000839, 0.000265
11264 , 45056 , 0.227133 , 0.008953, 0.000523, 0.000080
12288 , 49152 , 0.225789 , 0.011611, 0.000586, 0.000135
13312 , 53248 , 0.225266 , 0.006905, 0.000612, 0.000048
14336 , 57344 , 0.228784 , 0.000579, 0.000450, 0.000000
15360 , 61440 , 0.224330 , 0.002550, 0.000659, 0.000007
16384 , 65536 , 0.228482 , 0.005346, 0.000463, 0.000029
17408 , 69632 , 0.227994 , 0.011704, 0.000484, 0.000137
18432 , 73728 , 0.228673 , 0.009494, 0.000455, 0.000090
19456 , 77824 , 0.228429 , 0.011401, 0.000465, 0.000130
20480 , 81920 , 0.230711 , 0.009810, 0.000372, 0.000096
21504 , 86016 , 0.232136 , 0.008685, 0.000319, 0.000075
22528 , 90112 , 0.231415 , 0.009445, 0.000345, 0.000089
23552 , 94208 , 0.234908 , 0.007079, 0.000228, 0.000050
24576 , 98304 , 0.235058 , 0.008375, 0.000223, 0.000070
25600 , 102400 , 0.235159 , 0.001684, 0.000220, 0.000003
26624 , 106496 , 0.236129 , 0.002527, 0.000192, 0.000006
27648 , 110592 , 0.236970 , 0.003611, 0.000170, 0.000013
28672 , 114688 , 0.239186 , 0.001189, 0.000117, 0.000001
29696 , 118784 , 0.241737 , -0.001538, 0.000068, 0.000002
30720 , 122880 , 0.243203 , 0.000646, 0.000046, 0.000000
31744 , 126976 , 0.241583 , 0.002508, 0.000071, 0.000006
32768 , 131072 , 0.241266 , 0.002884, 0.000076, 0.000008
33792 , 135168 , 0.241683 , 0.002064, 0.000069, 0.000004
34816 , 139264 , 0.239061 , 0.001139, 0.000120, 0.000001
35840 , 143360 , 0.237177 , 0.000189, 0.000164, 0.000000
36864 , 147456 , 0.235408 , 0.001884, 0.000213, 0.000004
37888 , 151552 , 0.235983 , 0.001570, 0.000196, 0.000002
38912 , 155648 , 0.236238 , 0.002335, 0.000189, 0.000005
39936 , 159744 , 0.239589 , 0.003936, 0.000108, 0.000015
40960 , 163840 , 0.237962 , 0.002802, 0.000145, 0.000008
41984 , 167936 , 0.237856 , 0.002298, 0.000147, 0.000005
43008 , 172032 , 0.237173 , 0.002153, 0.000165, 0.000005
44032 , 176128 , 0.238344 , 0.000596, 0.000136, 0.000000
45056 , 180224 , 0.237835 , -0.000524, 0.000148, 0.000000
46080 , 184320 , 0.240089 , -0.000675, 0.000098, 0.000000
47104 , 188416 , 0.239297 , -0.000160, 0.000115, 0.000000
48128 , 192512 , 0.238985 , -0.001734, 0.000121, 0.000003
49152 , 196608 , 0.239143 , -0.001716, 0.000118, 0.000003
50176 , 200704 , 0.239795 , -0.000188, 0.000104, 0.000000
51200 , 204800 , 0.239217 , 0.000517, 0.000116, 0.000000
52224 , 208896 , 0.240742 , -0.001158, 0.000086, 0.000001
53248 , 212992 , 0.241183 , -0.000005, 0.000078, 0.000000
54272 , 217088 , 0.242541 , -0.002153, 0.000056, 0.000005
55296 , 221184 , 0.242034 , -0.000904, 0.000063, 0.000001
56320 , 225280 , 0.243566 , -0.001803, 0.000041, 0.000003
57344 , 229376 , 0.244170 , -0.001666, 0.000034, 0.000003
58368 , 233472 , 0.244196 , -0.000813, 0.000034, 0.000001
59392 , 237568 , 0.244092 , -0.001476, 0.000035, 0.000002
60416 , 241664 , 0.242776 , -0.000830, 0.000052, 0.000001
61440 , 245760 , 0.243048 , -0.000656, 0.000048, 0.000000
62464 , 249856 , 0.243450 , -0.001555, 0.000043, 0.000002
63488 , 253952 , 0.243792 , -0.001585, 0.000039, 0.000003
64512 , 258048 , 0.241893 , -0.001759, 0.000066, 0.000003
65536 , 262144 , 0.241397 , -0.003001, 0.000074, 0.000009
66560 , 266240 , 0.240635 , -0.003457, 0.000088, 0.000012
67584 , 270336 , 0.240459 , -0.003283, 0.000091, 0.000011
68608 , 274432 , 0.240748 , -0.002132, 0.000086, 0.000005
69632 , 278528 , 0.240759 , -0.002874, 0.000085, 0.000008
70656 , 282624 , 0.240867 , -0.003622, 0.000083, 0.000013
71680 , 286720 , 0.240011 , -0.003530, 0.000100, 0.000012
72704 , 290816 , 0.240733 , -0.003357, 0.000086, 0.000011
73728 , 294912 , 0.241352 , -0.003084, 0.000075, 0.000010
74752 , 299008 , 0.243266 , -0.003014, 0.000045, 0.000009
75776 , 303104 , 0.242358 , -0.002473, 0.000058, 0.000006
76800 , 307200 , 0.241940 , -0.003108, 0.000065, 0.000010
77824 , 311296 , 0.240149 , -0.003816, 0.000097, 0.000015
78848 , 315392 , 0.240594 , -0.004453, 0.000088, 0.000020
79872 , 319488 , 0.241347 , -0.003737, 0.000075, 0.000014
80896 , 323584 , 0.240949 , -0.003868, 0.000082, 0.000015
81920 , 327680 , 0.242344 , -0.003006, 0.000059, 0.000009
82944 , 331776 , 0.242147 , -0.003289, 0.000062, 0.000011
83968 , 335872 , 0.242178 , -0.003663, 0.000061, 0.000013
84992 , 339968 , 0.241573 , -0.003877, 0.000071, 0.000015
86016 , 344064 , 0.241239 , -0.004716, 0.000077, 0.000022
87040 , 348160 , 0.241341 , -0.004732, 0.000075, 0.000022
88064 , 352256 , 0.241738 , -0.004317, 0.000068, 0.000019
89088 , 356352 , 0.241632 , -0.004521, 0.000070, 0.000020
90112 , 360448 , 0.242122 , -0.004800, 0.000062, 0.000023
91136 , 364544 , 0.242053 , -0.003011, 0.000063, 0.000009
92160 , 368640 , 0.242306 , -0.003005, 0.000059, 0.000009
93184 , 372736 , 0.242250 , -0.003438, 0.000060, 0.000012
94208 , 376832 , 0.242485 , -0.003395, 0.000056, 0.000012
95232 , 380928 , 0.242033 , -0.003659, 0.000063, 0.000013
96256 , 385024 , 0.242702 , -0.003990, 0.000053, 0.000016
97280 , 389120 , 0.243508 , -0.004907, 0.000042, 0.000024
98304 , 393216 , 0.243988 , -0.005374, 0.000036, 0.000029
99328 , 397312 , 0.243733 , -0.005401, 0.000039, 0.000029
100352 , 401408 , 0.243205 , -0.006015, 0.000046, 0.000036
101376 , 405504 , 0.243870 , -0.006317, 0.000038, 0.000040
102400 , 409600 , 0.244303 , -0.006540, 0.000032, 0.000043
103424 , 413696 , 0.244582 , -0.006342, 0.000029, 0.000040
104448 , 417792 , 0.245067 , -0.006175, 0.000024, 0.000038
105472 , 421888 , 0.244826 , -0.005427, 0.000027, 0.000029
106496 , 425984 , 0.245020 , -0.005301, 0.000025, 0.000028
107520 , 430080 , 0.245095 , -0.005688, 0.000024, 0.000032
108544 , 434176 , 0.245360 , -0.006147, 0.000022, 0.000038
109568 , 438272 , 0.246216 , -0.005570, 0.000014, 0.000031
110592 , 442368 , 0.246117 , -0.005086, 0.000015, 0.000026
111616 , 446464 , 0.245751 , -0.004785, 0.000018, 0.000023
112640 , 450560 , 0.246626 , -0.003818, 0.000011, 0.000015
113664 , 454656 , 0.246273 , -0.003602, 0.000014, 0.000013
114688 , 458752 , 0.245851 , -0.004120, 0.000017, 0.000017
