trueR , trueI
-0.044194 , 0.106694
n_samples , time, n_paths , n_NZero_paths , estimateR , estimateI , varianceR , varianceI,var,L2
223696200 , 23729338 , 2013265800 , 81254869 ,-0.04424,0.106416,2.116000000000402e-09,7.728400000000026e-08,7.940000000000066e-08,0.0002817800560721086
229288605 , 23773076 , 2063597445 , 83284667 ,-0.044262,0.106295,4.624000000000756e-09,1.5920099999999727e-07,1.6382499999999801e-07,0.00040475301110677115
234881010 , 23808702 , 2113929090 , 85315773 ,-0.044202,0.1063,6.4000000000017e-11,1.5523599999999336e-07,1.5529999999999338e-07,0.00039408120990475223
240473415 , 23821944 , 2164260735 , 87349010 ,-0.044158,0.106348,1.2959999999995945e-09,1.1971599999999938e-07,1.2101199999999897e-07,0.00034786779097812287
246065820 , 23822406 , 2214592380 , 89378516 ,-0.044175,0.106346,3.6099999999993103e-10,1.2110400000000076e-07,1.214650000000007e-07,0.0003485182922028637
251658225 , 23907221 , 2264924025 , 91406746 ,-0.044191,0.106468,8.999999999976368e-12,5.10760000000018e-08,5.108500000000178e-08,0.00022601991062736436
257250630 , 23980838 , 2315255670 , 93440594 ,-0.044188,0.106459,3.599999999998874e-11,5.5224999999999576e-08,5.5260999999999564e-08,0.0002350765832659637
262843035 , 24247036 , 2365587315 , 95472191 ,-0.044197,0.106405,9.000000000018002e-12,8.352099999999861e-08,8.352999999999863e-08,0.0002890155705148057
268435440 , 24350715 , 2415918960 , 97505456 ,-0.04426,0.106499,4.356000000000469e-09,3.802500000000028e-08,4.2381000000000755e-08,0.00020586646157157498
274027845 , 34486869 , 2466250605 , 99540042 ,-0.044269,0.106493,5.625000000000843e-09,4.040099999999713e-08,4.6025999999997966e-08,0.00021453671014536876
279620250 , 34749414 , 2516582250 , 101571722 ,-0.044291,0.106518,9.408999999999974e-09,3.097599999999845e-08,4.0384999999998426e-08,0.00020096019506359567
285212655 , 34777455 , 2566913895 , 103599579 ,-0.044287,0.10648,8.649000000000521e-09,4.579599999999657e-08,5.444499999999709e-08,0.00023333452380648067
290805060 , 34849159 , 2617245540 , 105632146 ,-0.044265,0.106509,5.041000000000229e-09,3.422499999999657e-08,3.92659999999968e-08,0.00019815650380443435
296397465 , 34959148 , 2667577185 , 107664074 ,-0.044246,0.106503,2.704000000000357e-09,3.648099999999875e-08,3.918499999999911e-08,0.00019795201438732344
301989870 , 34981369 , 2717908830 , 109694289 ,-0.044208,0.106525,1.9600000000000346e-10,2.8561000000000837e-08,2.875700000000084e-08,0.00016957889019568692
307582275 , 35062281 , 2768240475 , 111722522 ,-0.044184,0.10653,9.999999999992247e-11,2.6895999999999174e-08,2.6995999999999096e-08,0.00016430459518832424
313174680 , 35107272 , 2818572120 , 113754337 ,-0.044138,0.106562,3.1360000000000553e-09,1.7423999999998214e-08,2.055999999999827e-08,0.00014338758663147333
318767085 , 35311214 , 2868903765 , 115787076 ,-0.044132,0.106556,3.843999999999945e-09,1.904399999999979e-08,2.2887999999999735e-08,0.00015128780519261867
324359490 , 35315434 , 2919235410 , 117818325 ,-0.044196,0.106504,4.000000000008001e-12,3.609999999999838e-08,3.610399999999839e-08,0.0001900105260242137
329951895 , 35340716 , 2969567055 , 119849314 ,-0.044137,0.106596,3.2489999999993795e-09,9.60400000000017e-09,1.285299999999955e-08,0.00011337107214805525
