trueR , trueI
0.100000 , -0.200000
n_samples , n_paths , estimateR , estimateI, varianceR, varianceI
1520 , 13680 , -0.023307 , 0.095307, 0.015205, 0.087206
1536 , 13824 , -0.023065 , 0.097899, 0.015145, 0.088744
1552 , 13968 , -0.022092 , 0.105149, 0.014906, 0.093116
1568 , 14112 , -0.013390 , 0.110070, 0.012857, 0.096143
1584 , 14256 , -0.011815 , 0.108958, 0.012503, 0.095455
1600 , 14400 , -0.010689 , 0.103002, 0.012252, 0.091810
1616 , 14544 , -0.007882 , 0.109502, 0.011639, 0.095791
1632 , 14688 , -0.014552 , 0.105055, 0.013122, 0.093058
1648 , 14832 , -0.004962 , 0.104035, 0.011017, 0.092437
1664 , 14976 , -0.010562 , 0.107713, 0.012224, 0.094687
1680 , 15120 , -0.008144 , 0.099736, 0.011695, 0.089842
1696 , 15264 , -0.008067 , 0.103386, 0.011679, 0.092043
1712 , 15408 , -0.021521 , 0.104027, 0.014767, 0.092433
1728 , 15552 , -0.022915 , 0.101471, 0.015108, 0.090885
1744 , 15696 , -0.027823 , 0.093573, 0.016339, 0.086185
1760 , 15840 , -0.029782 , 0.092722, 0.016843, 0.085686
1776 , 15984 , -0.030155 , 0.088145, 0.016940, 0.083028
1792 , 16128 , -0.019660 , 0.088894, 0.014319, 0.083460
1808 , 16272 , -0.015811 , 0.095720, 0.013412, 0.087450
1824 , 16416 , -0.011145 , 0.094621, 0.012353, 0.086802
1840 , 16560 , -0.008056 , 0.101898, 0.011676, 0.091143
1856 , 16704 , -0.005020 , 0.096825, 0.011029, 0.088105
1872 , 16848 , 0.004811 , 0.105786, 0.009061, 0.093505
1888 , 16992 , 0.006833 , 0.106951, 0.008680, 0.094219
1904 , 17136 , 0.004731 , 0.101117, 0.009076, 0.090671
1920 , 17280 , 0.009586 , 0.103141, 0.008175, 0.091895
1936 , 17424 , 0.007496 , 0.109154, 0.008557, 0.095576
1952 , 17568 , 0.004614 , 0.111080, 0.009098, 0.096771
1968 , 17712 , -0.002756 , 0.111576, 0.010559, 0.097079
1984 , 17856 , -0.000772 , 0.110676, 0.010155, 0.096519
2000 , 18000 , 0.001181 , 0.107038, 0.009765, 0.094272
2016 , 18144 , 0.000372 , 0.105057, 0.009926, 0.093060
2032 , 18288 , 0.000369 , 0.103436, 0.009926, 0.092074
2048 , 18432 , 0.010100 , 0.103972, 0.008082, 0.092399
2064 , 18576 , 0.006802 , 0.105281, 0.008686, 0.093197
2080 , 18720 , 0.006750 , 0.107118, 0.008696, 0.094322
2096 , 18864 , 0.005385 , 0.100503, 0.008952, 0.090302
2112 , 19008 , 0.008491 , 0.102888, 0.008374, 0.091741
2128 , 19152 , 0.009721 , 0.100821, 0.008150, 0.090493
2144 , 19296 , 0.007832 , 0.098253, 0.008495, 0.088955
2160 , 19440 , 0.003423 , 0.101876, 0.009327, 0.091129
2176 , 19584 , -0.000397 , 0.100603, 0.010080, 0.090362
2192 , 19728 , -0.001650 , 0.104677, 0.010333, 0.092828
2208 , 19872 , -0.004131 , 0.107444, 0.010843, 0.094522
2224 , 20016 , -0.008840 , 0.106159, 0.011846, 0.093733
2240 , 20160 , -0.008777 , 0.110614, 0.011832, 0.096481
2256 , 20304 , -0.018772 , 0.104949, 0.014107, 0.092994
2272 , 20448 , -0.019851 , 0.099571, 0.014364, 0.089743
2288 , 20592 , -0.014815 , 0.094269, 0.013182, 0.086594
2304 , 20736 , -0.021180 , 0.094314, 0.014685, 0.086621
2320 , 20880 , -0.020543 , 0.094155, 0.014531, 0.086527
2336 , 21024 , -0.020402 , 0.091154, 0.014497, 0.084770
2352 , 21168 , -0.019093 , 0.087708, 0.014183, 0.082776
2368 , 21312 , -0.017801 , 0.087315, 0.013877, 0.082550
2384 , 21456 , -0.024890 , 0.083463, 0.015598, 0.080351
2400 , 21600 , -0.027493 , 0.081760, 0.016254, 0.079389
2416 , 21744 , -0.028450 , 0.080746, 0.016499, 0.078818
2432 , 21888 , -0.032402 , 0.085017, 0.017530, 0.081235
2448 , 22032 , -0.033781 , 0.084461, 0.017897, 0.080918
2464 , 22176 , -0.041381 , 0.075167, 0.019989, 0.075717
2480 , 22320 , -0.044904 , 0.074682, 0.020997, 0.075450
2496 , 22464 , -0.047736 , 0.075763, 0.021826, 0.076045
2512 , 22608 , -0.037491 , 0.077472, 0.018904, 0.076991
2528 , 22752 , -0.039883 , 0.081151, 0.019567, 0.079046
2544 , 22896 , -0.044408 , 0.090904, 0.020854, 0.084625
2560 , 23040 , -0.045206 , 0.087740, 0.021085, 0.082794
2576 , 23184 , -0.045994 , 0.090401, 0.021314, 0.084332
2592 , 23328 , -0.051460 , 0.087719, 0.022940, 0.082782
2608 , 23472 , -0.053074 , 0.082521, 0.023432, 0.079818
2624 , 23616 , -0.052136 , 0.087083, 0.023145, 0.082417
2640 , 23760 , -0.050777 , 0.086987, 0.022734, 0.082362
2656 , 23904 , -0.050471 , 0.086463, 0.022642, 0.082061
2672 , 24048 , -0.046048 , 0.092377, 0.021330, 0.085484
2688 , 24192 , -0.046798 , 0.094899, 0.021550, 0.086966
2704 , 24336 , -0.043046 , 0.090862, 0.020462, 0.084601
2720 , 24480 , -0.046248 , 0.092351, 0.021388, 0.085469
2736 , 24624 , -0.039869 , 0.089972, 0.019563, 0.084084
2752 , 24768 , -0.041052 , 0.093692, 0.019896, 0.086255
2768 , 24912 , -0.038996 , 0.095310, 0.019320, 0.087208
2784 , 25056 , -0.043956 , 0.097729, 0.020723, 0.088642
2800 , 25200 , -0.044688 , 0.100934, 0.020935, 0.090561
2816 , 25344 , -0.049726 , 0.104271, 0.022418, 0.092581
2832 , 25488 , -0.048071 , 0.106431, 0.021925, 0.093900
2848 , 25632 , -0.045467 , 0.104066, 0.021161, 0.092456
2864 , 25776 , -0.048097 , 0.102523, 0.021933, 0.091520
2880 , 25920 , -0.047829 , 0.102514, 0.021854, 0.091514
2896 , 26064 , -0.043763 , 0.099489, 0.020668, 0.089694
2912 , 26208 , -0.045805 , 0.097997, 0.021259, 0.088802
2928 , 26352 , -0.044614 , 0.096522, 0.020913, 0.087925
2944 , 26496 , -0.042115 , 0.098255, 0.020197, 0.088956
2960 , 26640 , -0.043202 , 0.102758, 0.020507, 0.091663
2976 , 26784 , -0.042587 , 0.099431, 0.020331, 0.089659
2992 , 26928 , -0.043279 , 0.101883, 0.020529, 0.091133
3008 , 27072 , -0.040840 , 0.106138, 0.019836, 0.093721
3024 , 27216 , -0.039713 , 0.107774, 0.019520, 0.094725
3040 , 27360 , -0.042065 , 0.107207, 0.020183, 0.094376
3056 , 27504 , -0.043646 , 0.112578, 0.020634, 0.097705
3072 , 27648 , -0.042523 , 0.111096, 0.020313, 0.096780
3088 , 27792 , -0.045346 , 0.108737, 0.021126, 0.095319
3104 , 27936 , -0.048508 , 0.111572, 0.022055, 0.097077
3120 , 28080 , -0.049141 , 0.113130, 0.022243, 0.098050
3136 , 28224 , -0.050646 , 0.111311, 0.022694, 0.096915
3152 , 28368 , -0.053732 , 0.108638, 0.023634, 0.095257
3168 , 28512 , -0.054690 , 0.108089, 0.023929, 0.094919
3184 , 28656 , -0.055638 , 0.108768, 0.024223, 0.095338
3200 , 28800 , -0.062302 , 0.105644, 0.026342, 0.093418
3216 , 28944 , -0.056294 , 0.105974, 0.024428, 0.093620
3232 , 29088 , -0.058072 , 0.101483, 0.024987, 0.090892
3248 , 29232 , -0.057786 , 0.102182, 0.024896, 0.091314
3264 , 29376 , -0.058840 , 0.100838, 0.025230, 0.090503
3280 , 29520 , -0.059392 , 0.101185, 0.025406, 0.090713
3296 , 29664 , -0.059104 , 0.098332, 0.025314, 0.089002
3312 , 29808 , -0.059649 , 0.097513, 0.025488, 0.088514
3328 , 29952 , -0.057708 , 0.098698, 0.024872, 0.089220
3344 , 30096 , -0.055786 , 0.099872, 0.024269, 0.089923
3360 , 30240 , -0.059137 , 0.101854, 0.025324, 0.091116
3376 , 30384 , -0.060487 , 0.100218, 0.025756, 0.090131
3392 , 30528 , -0.062161 , 0.097786, 0.026296, 0.088677
3408 , 30672 , -0.063011 , 0.095043, 0.026573, 0.087050
3424 , 30816 , -0.058835 , 0.096873, 0.025229, 0.088133
3440 , 30960 , -0.060025 , 0.094490, 0.025608, 0.086724
3456 , 31104 , -0.059747 , 0.094053, 0.025519, 0.086467
3472 , 31248 , -0.061386 , 0.094412, 0.026045, 0.086679
3488 , 31392 , -0.063798 , 0.093517, 0.026830, 0.086152
3504 , 31536 , -0.061936 , 0.099105, 0.026223, 0.089464
3520 , 31680 , -0.060872 , 0.098978, 0.025880, 0.089388
3536 , 31824 , -0.057483 , 0.100087, 0.024801, 0.090052
3552 , 31968 , -0.062062 , 0.101828, 0.026264, 0.091100
3568 , 32112 , -0.063327 , 0.103367, 0.026676, 0.092031
3584 , 32256 , -0.063044 , 0.102905, 0.026583, 0.091752
3600 , 32400 , -0.062764 , 0.101367, 0.026492, 0.090822
3616 , 32544 , -0.066162 , 0.102441, 0.027610, 0.091470
3632 , 32688 , -0.064484 , 0.099088, 0.027055, 0.089453
3648 , 32832 , -0.061938 , 0.102426, 0.026224, 0.091461
3664 , 32976 , -0.060294 , 0.101227, 0.025694, 0.090738
3680 , 33120 , -0.061528 , 0.102283, 0.026091, 0.091375
3696 , 33264 , -0.062751 , 0.101841, 0.026488, 0.091108
3712 , 33408 , -0.064271 , 0.100660, 0.026985, 0.090396
3728 , 33552 , -0.066389 , 0.100966, 0.027685, 0.090581
3744 , 33696 , -0.066105 , 0.098455, 0.027591, 0.089076
3760 , 33840 , -0.065824 , 0.100714, 0.027498, 0.090429
3776 , 33984 , -0.065545 , 0.100287, 0.027405, 0.090172
3792 , 34128 , -0.062490 , 0.099988, 0.026403, 0.089993
3808 , 34272 , -0.061928 , 0.102336, 0.026221, 0.091407
3824 , 34416 , -0.061967 , 0.101188, 0.026233, 0.090714
3840 , 34560 , -0.062005 , 0.104524, 0.026246, 0.092735
3856 , 34704 , -0.061034 , 0.105396, 0.025932, 0.093267
3872 , 34848 , -0.058944 , 0.105377, 0.025263, 0.093255
3888 , 34992 , -0.058701 , 0.104943, 0.025186, 0.092990
3904 , 35136 , -0.055348 , 0.106628, 0.024133, 0.094021
3920 , 35280 , -0.052845 , 0.107888, 0.023362, 0.094795
3936 , 35424 , -0.051352 , 0.106750, 0.022907, 0.094096
3952 , 35568 , -0.049343 , 0.107711, 0.022303, 0.094686
3968 , 35712 , -0.050818 , 0.105196, 0.022746, 0.093144
3984 , 35856 , -0.059241 , 0.107537, 0.025358, 0.094579
4000 , 36000 , -0.058601 , 0.105730, 0.025154, 0.093471
4016 , 36144 , -0.060590 , 0.104624, 0.025789, 0.092796
4032 , 36288 , -0.064046 , 0.104609, 0.026911, 0.092786
4048 , 36432 , -0.062151 , 0.104477, 0.026293, 0.092706
4064 , 36576 , -0.062584 , 0.103388, 0.026433, 0.092044
4080 , 36720 , -0.064642 , 0.100679, 0.027107, 0.090408
4096 , 36864 , -0.064668 , 0.101515, 0.027115, 0.090911
