trueR , trueI
1.000000 , 0.000000
n_samples , time, n_paths , estimateR , estimateI, varianceR, varianceI
43690 , 5112854973 , 1878670 , 0.749959 , 0.000000, 0.062521, 0.000000
87380 , 5114130300 , 3757340 , 0.749959 , 0.000000, 0.062521, 0.000000
131070 , 5114282577 , 5636010 , 0.749959 , 0.000000, 0.062521, 0.000000
174760 , 5114396686 , 7514680 , 0.562469 , 0.000000, 0.191433, 0.000000
218450 , 5114483562 , 9393350 , 0.449975 , 0.000000, 0.302527, 0.000000
262140 , 5114894423 , 11272020 , 0.374979 , 0.000000, 0.390651, 0.000000
305830 , 5115179676 , 13150690 , 0.535685 , 0.000000, 0.215589, 0.000000
349520 , 5115182279 , 15029360 , 0.656214 , 0.000000, 0.118189, 0.000000
393210 , 5115307962 , 16908030 , 0.583301 , 0.000000, 0.173638, 0.000000
436900 , 5115317714 , 18786700 , 0.599967 , 0.000000, 0.160026, 0.000000
480590 , 5115478909 , 20665370 , 0.613603 , 0.000000, 0.149303, 0.000000
524280 , 5115672717 , 22544040 , 0.624966 , 0.000000, 0.140651, 0.000000
567970 , 5115724016 , 24422710 , 0.634581 , 0.000000, 0.133531, 0.000000
611660 , 5115785648 , 26301380 , 0.696390 , 0.000000, 0.092179, 0.000000
655350 , 5115941851 , 28180050 , 0.749959 , 0.000000, 0.062521, 0.000000
699040 , 5116130897 , 30058720 , 0.749959 , 0.000000, 0.062521, 0.000000
742730 , 5116624176 , 31937390 , 0.705844 , 0.000000, 0.086528, 0.000000
786420 , 5117026810 , 33816060 , 0.749959 , 0.000000, 0.062521, 0.000000
830110 , 5117242670 , 35694730 , 0.749959 , 0.000000, 0.062521, 0.000000
873800 , 5117291386 , 37573400 , 0.712461 , 0.000000, 0.082679, 0.000000
917490 , 5117725903 , 39452070 , 0.785671 , 0.000000, 0.045937, 0.000000
961180 , 5118236267 , 41330740 , 0.784048 , 0.000000, 0.046635, 0.000000
1004870 , 5118294228 , 43209410 , 0.782566 , 0.000000, 0.047278, 0.000000
1048560 , 5119168233 , 45088080 , 0.749959 , 0.000000, 0.062521, 0.000000
1092250 , 5119322838 , 46966750 , 0.749959 , 0.000000, 0.062521, 0.000000
1135940 , 5119615437 , 48845420 , 0.721114 , 0.000000, 0.077777, 0.000000
1179630 , 5119735060 , 50724090 , 0.694406 , 0.000000, 0.093388, 0.000000
1223320 , 5119860560 , 52602760 , 0.696390 , 0.000000, 0.092179, 0.000000
1267010 , 5120150929 , 54481430 , 0.749959 , 0.000000, 0.062521, 0.000000
1310700 , 5120529473 , 56360100 , 0.724960 , 0.000000, 0.075647, 0.000000
1354390 , 5122175028 , 58238770 , 0.749959 , 0.000000, 0.062521, 0.000000
1398080 , 5122307804 , 60117440 , 0.749959 , 0.000000, 0.062521, 0.000000
1441770 , 5122334244 , 61996110 , 0.772685 , 0.000000, 0.051672, 0.000000
1485460 , 5122348618 , 63874780 , 0.749959 , 0.000000, 0.062521, 0.000000
1529150 , 5122546880 , 65753450 , 0.749959 , 0.000000, 0.062521, 0.000000
1572840 , 5122644956 , 67632120 , 0.729127 , 0.000000, 0.073372, 0.000000
1616530 , 5123469159 , 69510790 , 0.770228 , 0.000000, 0.052795, 0.000000
1660220 , 5123545733 , 71389460 , 0.769695 , 0.000000, 0.053041, 0.000000
1703910 , 5124498007 , 73268130 , 0.749959 , 0.000000, 0.062521, 0.000000
1747600 , 5125686119 , 75146800 , 0.787457 , 0.000000, 0.045175, 0.000000
1791290 , 5127333622 , 77025470 , 0.768250 , 0.000000, 0.053708, 0.000000
1834980 , 5127379571 , 78904140 , 0.803527 , 0.000000, 0.038602, 0.000000
1878670 , 5129694570 , 80782810 , 0.784841 , 0.000000, 0.046294, 0.000000
